en	included
0x000	0
Laksmi	1
Isis	1
Parvati	1
Sati	1
Kushinada	1
Sarasvati	1
Uzume	1
Pazuzu	1
Ganesha	1
Wu Kong	1
Arahabaki	1
Okuninushi	1
Hanuman	1
Valkyrie	1
Atavaka	1
Rakshasa	1
Karasu	1
Hresvelgr	1
Sparna	1
Horus	1
Black Ooze	1
Gurr	1
Virtue	1
Macha	1
Principality	1
Garuda	1
Archangel	1
Badb Catha	1
Samael	1
Gorgon	1
Jatayu	1
Yurlungur	1
Girimehkala	1
Nidhoggr	1
0x023	0
Tarrasque	1
Mizuchi	1
Nozuchi	1
Tan-Ki	1
Cockatrice	1
Decarabia	1
Forneus	1
Titania	1
Queen Mab	1
Cu Chulainn	1
Baphomet	1
Succubus	1
Jinn	1
Onkot	1
Pyro Jack	1
Blob	1
Apsaras	1
High Pixie	1
Jack Frost	1
Lilim	1
Slime	1
Pixie	1
Taown	1
Catoblepas	1
0x03C	0
Senri	1
Raiju	1
Thoth	1
Nue	1
Cai-Zhi	1
Unicorn	1
Mothman	1
Nekomata	1
Kelpie	1
Shiisaa	1
Bicorn	1
Empusa	1
Isora	1
Alp	1
Ongyo-Ki	1
Shiki-Ouji	1
Girimehkala	1
Purski	1
Fuu-Ki	1
Phantom	1
Sui-Ki	1
Turdak	1
Kin-Ki	1
Fomor	1
Ikusa	1
Chatterskull	1
Gyu-Ki	1
Mou-Ryo	1
Yaka	1
Ghoul	1
Temple Guard	1
Kikuri-Hime	1
Naga	1
Saki Mitama	1
Kusi Mitama	1
Nigi Mitama	1
Ara Mitama	1
Omoikane	1
Onmoraki	1
Apis	1
0x065	0
Preta	1
0x067	0
0x068	0
0x069	0
0x06A	0
0x06B	0
0x06C	0
0x06D	0
0x06E	0
0x06F	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
Reserve	0
(Reserve)	0
(Reserve)	0
(Reserve)	0
(Reserve)	0
(Reserve)	0
Reserve	0
Reserve	0
Reserve	0
