en	desc
0x000	Reserve 00
Devourer	Hunt/physical attack skills.
Demon Beast	Hunt/auto skills.
Holy Beast	Hunt/auto skills.
Godly Beast	Hunt/auto skills.
Wikipedia	Hunt/auto skills.
Shura	Physical attack skills.
Raksas	Physical attack/auto skills.
Priestess	Physical attack/auto skills.
Maiden	Physical attack/auto skills.
Queen	Physical attack/auto skills.
Battle Demon	Hunt/physical attack skills.
Demon Lord	Hunt/physical attack skills.
Demon God	Hunt/physical attack skills.
Cruel Leader	Physical attack skills.
Amatsukami	Physical attack/auto skills.
Ogre	Physical attack/auto skills.
Violent God	Physical attack skills.
War God	Physical attack/auto skills.
Destroyer	Ultimate physical attack skills.
Fire Spirit	Fire magic skills.
Fire Demon	Fire magic skills.
Fire Lord	Fire magic skills.
Fire Emperor	Fire magic skills.
Fire God	Fire magic skills.
Ice Spirit	Ice magic skills.
Ice Demon	Ice magic skills.
Ice Wolf	Ice magic skills.
Ice Master	Ice magic skills.
Ice God	Ice magic skills.
Bolt Spirit	Electricity magic skills.
Bolt Lord	Electricity magic skills.
Bolt Emperor	Electricity magic skills.
Bolt Master	Electricity magic skills.
Bolt God	Electricity magic skills.
Dragon	Force magic skills.
Dragon Lord	Force magic skills.
Sky Dragon	Force magic skills.
Sky Wizard	Force magic skills.
Wind God	Force magic skills.
Earth Spirit	Earth magic skills.
Earth Shrine	Earth magic skills.
Earth Lord	Earth magic skills.
Earth Emperor	Earth magic skills.
Mother Earth	Earth magic skills.
Dark Leader	Almighty magic skills.
Dark Lord	Ultimate almighty magic skills.
Protection	Heal magic skills.
Fallen Hero	Heal magic skills.
Fierce Spirit	Heal magic skills.
Calm Spirit	Heal magic skills.
Death Spirit	Heal magic skills.
Goddess	Heal/revive magic skills.
Adamant	Ailment-inducing skills.
Kichijyo	Ailment-inducing skills.
Vidya Raja	Ailment-inducing skills.
Holy Leader	Ailment-inducing skills.
Hades	Revive magic skills.
Six Realms	Revive magic skills.
Yaksa	Death magic skills.
Evil Spirit	Death magic skills.
Dark Spirit	Death magic skills.
Death	Death magic skills.
Evil God	Boost magic skills.
Angel	Expel magic skills.
Thrones	Expel magic skills.
Cherubim	Expel magic skills.
Seraphim	Expel magic skills.
Insane God	Boost magic skills.
Spirit	Boost magic skills.
Karma	Boost magic skills.
Illusion	Boost magic skills.
Vicious God	Ultimate heal magic skills.
Ancient God	HP/MP drain skills.
Outer God	MP recovery skills.
Secret God	MP recovery skills.
Mitama	Karma accrual skills.
Soul	Karma accrual skills.
Godly Spirit	Ultimate auto skills.
Monotheist	Ultimate guard skills.
Gyokuza	Metatron's skills.
High Priest	Beelzebub's skills.
Five Gods	Huang Long's skills.
King	King Frost's skills.
Fire Leader	Fire magic skills.
Ice Leader	Ice magic skills.
Lightning	Electricity magic skills.
Hiten	Force magic skills.
Earth Temple	Earth magic skills.
Reserve	Reserve 59
Reserve	Reserve 5a
Reserve	Reserve 5b
Reserve	Reserve 5c
Reserve	Reserve 5d
Reserve	Reserve 5e
Reserve	Reserve 5f
