en	desc
0x000	RESERVED SKILL
Agi	Light damage\tFire\t1 enemy
Agilao	Moderate damage\tFire\t1 enemy
Agidyne	Heavy damage\tFire\t1 enemy
Maragi	Light damage\tFire\tAll
Maragion	Moderate damage\tFire\tAll
Maragidyne	Heavy damage\tFire\tAll
Flame Breath	Light damage\tFire\tRandom
Explode	Moderate damage\tFire\tRandom
Trisagion	Mega damage\tFire\tAll
Bufu	Light damage\tIce\t1 enemy\t (freeze)
Bufula	Moderate damage\tIce\t1 enemy\t (freeze)
Bufudyne	Heavy damage\tIce\t1 enemy\t (freeze)
Mabufu	Light damage\tIce\tAll\t (freeze)
Mabufula	Moderate damage\tIce\tAll\t (freeze)
Mabufudyne	Heavy damage\tIce\tAll\t (freeze)
Frost Breath	Light damage\tIce\tRandom\t (freeze)
Cold Wave	Moderate damage\tIce\tRandom\t (freeze)
Niflheim	Mega damage\tIce\tAll\t (freeze)
Zio	Light damage\tElec\t1 enemy\t (shock)
Zionga	Moderate damage\tElec\t1 enemy\t (shock)
Ziodyne	Heavy damage\tElec\t1 enemy\t (shock)
Mazio	Light damage\tElec\tAll\t (shock)
Mazionga	Moderate damage\tElec\tAll\t (shock)
Maziodyne	Heavy damage\tElec\tAll\t (shock)
Bolt Flare	Light damage\tElec\tRandom\t (shock)
Jupiter's Fury	Moderate damage\tElec\tRandom\t (shock)
Narukami	Mega damage\tElec\tAll\t (shock)
Zan	Light damage\tForce\t1 enemy
Zanma	Moderate damage\tForce\t1 enemy
Zandyne	Heavy damage\tForce\t1 enemy
Mazan	Light damage\tForce\tAll
Mazanma	Moderate damage\tForce\tAll
Mazandyne	Heavy damage\tForce\tAll
Shock Wave	Light damage\tForce\tRandom
Tempest	Moderate damage\tForce\tRandom
Vayaviya	Mega damage\tForce\tAll
Tera	Light damage\tEarth\t1 enemy
Terazi	Moderate damage\tEarth\t1 enemy
Teradyne	Heavy damage\tEarth\t1 enemy
Matera	Light damage\tEarth\tAll
Materazi	Moderate damage\tEarth\tAll
Materadyne	Heavy damage\tEarth\tAll
Avalanche	Light damage\tEarth\tRandom
Heavy Rock	Moderate damage\tEarth\tRandom
Titanomachia	Mega damage\tEarth\tAll
Megido	Moderate damage\tAlmighty\tAll
Megidola	Heavy damage\tAlmighty\tAll
Megidolaon	Mega damage\tAlmighty\tAll
HP Thief	Drain HP\tAlmighty\t1 enemy
MP Thief	Drain MP\tMute\t1 enemy
Leech	Drain HP and MP\t1 enemy
Last Word	Mega damage\tAlmighty\t1 enemy
Death March	Moderate damage\tForfeit HP\tRandom
Overload	Heavy damage\tForfeit HP\t1 enemy
Rage	Add 2 blinking\tturn icons
Psycho Rage	Add 4 blinking\tturn icons
Vanity	Inflict ailments\tAlmighty\tAll
Revert	Chance of forcing\t1 enemy to\trevert to human
Marevert	Chance of forcing\tall enemies to\trevert to humans
Hama	Reduce HP by half\tExpel\t1 enemy\t (non-human)
Hamaon	Greatly reduce HP\tExpel\t1 enemy\t (non-human)
Mahama	Reduce HP by half\tExpel\tAll\t (non-human)
Mahamaon	Reduce HP greatly\tExpel\tAll\t (non-human)
Xanadu	Heavy damage\tExpel\tAll\t (non-human)
Mudo	Death (low odds)\t1 enemy
Mudoon	Death (high odds)\t1 enemy
Mamudo	Death (low odds)\tAll
Mamudoon	Death (high odds)\tAll
Curse	Curse\tDeath type\t1 enemy
Blood Curse	Curse\tDeath type\tAll
Stone Gaze	Petrify\tDeath type\t1 enemy
