en	included
NONE_1	0
NONE_30	0
NONE_1	0
NONE_52	0
NONE_22	0
NONE_1	0
NONE_26	0
NONE_21	0
NONE_25	0
NONE_13	0
NONE_18	0
NONE_5	0
NONE_12	0
NONE_55	0
Tonatiuh	1
Chernobog	1
Wu Kong	1
Susano-o	1
Kartikeya	1
Shiva	1
Hathor	1
Sarasvati	1
Kikuri-Hime	1
Brigid	1
Scathach	1
Laksmi	1
Norn	1
Isis	1
Amaterasu	1
Mahakala	1
Thor	1
Arahabaki	1
Odin	1
Yama	1
Lugh	1
Baal	1
Asura	1
Orcus	1
Pazuzu	1
Abaddon	1
Tao Tie	1
Arioch	1
Tezcatlipoca	1
Nyarlathotep	1
Makara	1
Nozuchi	1
Pendragon	1
Gui Xian	1
Quetzalcoatl	1
Seiryuu	1
Orochi	1
Ananta	1
Hoyau Kamui	1
Toubyou	1
Bai Suzhen	1
Basilisk	1
Ym	1
Python	1
Culebre	1
Vritra	1
Vasuki	1
Divine_99	0
Angel	1
Power	1
Lailah	1
Aniel	1
Kazfiel	1
Remiel	1
Metatron	1
Itsumade	1
Moh Shuvuu	1
Hamsa	1
Suparna	1
Vidofnir	1
Badb Catha	1
Anzu	1
Feng Huang	1
Garuda	1
Gagyson	1
Abraxas	1
Flauros	1
Nisroc	1
Orobas	1
Decarabia	1
Nebiros	1
Agares	1
Murmur	1
Heqet	1
Kamapua'a	1
Shiisaa	1
Bai Ze	1
Baihu	1
Airavata	1
Ukano Mitama	1
Barong	1
Anubis	1
Kabuso	1
Hairy Jack	1
Nekomata	1
Cait Sith	1
Nue	1
Orthrus	1
Myrmecolion	1
Cerberus	1
Fenrir	1
Hare of Inaba	1
Waira	1
Garm	1
Afanc	1
Mothman	1
Taown	1
Behemoth	1
Ammut	1
Tam Lin	1
Jambavan	1
Tlaloc	1
Ictinike	1
Hanuman	1
Cu Chulainn	1
Kresnik	1
Ganesha	1
Heimdall	1
Pixie	1
Knocker	1
Kijimuna	1
Jack Frost	1
Pyro Jack	1
Silky	1
Lorelei	1
Vivian	1
Titania	1
Oberon	1
King Frost	1
Moloch	1
Hecate	1
Tzitzimitl	1
Astaroth	1
Mot	1
Loki	1
Lucifer	1
Ubelluris	1
Nalagiri	1
Hitokotonusi	1
Take-Mikazuchi	1
Zouchouten	1
Jikokuten	1
Koumoukuten	1
Bishamonten	1
Zaou-Gongen	1
Kobold	1
Bilwis	1
Gozuki	1
Mezuki	1
Ikusa	1
Lham Dearg	1
Berserker	1
Yaksa	1
Nata Taishi	1
Oumitsunu	1
Obariyon	1
Ogre	1
Mokoi	1
Ogun	1
Wendigo	1
Legion	1
Rakshasa	1
Girimehkala	1
Grendel	1
Black Frost	1
Kikimora	1
Lilim	1
Yuki Jyorou	1
Leanan Sidhe	1
Peri	1
Hariti	1
Rangda	1
Kali	1
Lilith	1
Poltergeist	1
Agathion	1
Tenong Cut	1
Kumbhanda	1
Loa	1
Pisaca	1
Kudlak	1
Purple Mirror	1
Billiken	1
Ghost Q	1
Sage of Time	1
Alice	1
Trumpeter	1
Neko Shogun	1
Hagen	1
Jeanne D'Arc	1
Yoshitsune	1
Guan Yu	1
Flaemis	1
Aquans	1
Aeros	1
Erthys	1
Ara Mitama	1
Nigi Mitama	1
Kusi Mitama	1
Saki Mitama	1
Satan	1
Beelzebub	1
Belial	1
Divine_62	0
Divine_62	0
NONE_1	0
NONE_1	0
Asp	1
Apis	1
Pabilsag	1
Sleipnir	1
Xiezhai	1
Kangiten	1
Baphomet	1
Anat	1
Pallas Athena	1
Mithra	1
Osiris	1
Gucumatz	1
Da Peng	1
Ometeotl	1
Jarilo	1
NONE_55	0
Botis	1
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
Fallen_74	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
RACE_61_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
Bifrons	1
Barbatos	1
Dzelarhons	1
Kama	1
Parvati	1
Ixtab	1
Balor	1
Nergal	1
Inti	1
Alilat	1
Beiji-Weng	1
Lord Nan Dou	1
Masakado	1
Ishtar	1
Black Maria	1
Yurlungur	1
Fafnir	1
Sraosha	1
Rukh	1
Kau	1
Cabracan	1
Catoblepas	1
Roitschaggatta	1
Spriggan	1
Troll	1
Lucifuge	1
Okuninushi	1
Dokkaebi	1
Ongyo-Ki	1
Macabre	1
Jahi	1
Sandalphon	1
Kohryu	1
Izaya Orihara	1
Celty Sturluson	1
Shizuo Heiwajima	1
Momunofu	1
Lucifer Frost	1
NONE_0	0
Frost Five	1
Fairy_42	0
Fairy_42	0
Fairy_42	0
Fairy_42	0
Fairy_42	0
Titan	1
Dionysus	1
Aramisaki	1
Shiki-Ouji	1
Xi Wangmu	1
Dominion	1
Mother Harlot	1
Dantalian	1
Seth	1
Jaki_45	0
RACE_30_65	0
RACE_28_80	0
RACE_26_30	0
RACE_36_60	0
RACE_39_20	0
RACE_40_22	0
RACE_41_32	0
RACE_42_40	0
RACE_43_45	0
RACE_44_50	0
RACE_45_60	0
RACE_46_70	0
RACE_38_75	0
RACE_48_20	0
RACE_49_32	0
RACE_49_32	0
RACE_50_35	0
RACE_51_42	0
RACE_60_72	0
RACE_39_20	0
RACE_39_20	0
RACE_68_50	0
RACE_67_45	0
RACE_44_47	0
RACE_44_48	0
RACE_44_50	0
RACE_44_47	0
RACE_44_48	0
RACE_44_50	0
RACE_52_50	0
RACE_53_60	0
RACE_54_60	0
RACE_55_60	0
RACE_56_60	0
RACE_47_70	0
RACE_59_75	0
RACE_62_70	0
RACE_63_70	0
NONE_25	0
RACE_61_1	0
RACE_61_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
Deity_1	0
RACE_37_64	0
RACE_37_64	0
RACE_37_64	0
RACE_37_64	0
RACE_37_64	0
RACE_37_64	0
RACE_37_64	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_1	0
NONE_70	0
NONE_67	0
NONE_70	0
NONE_70	0
NONE_66	0
NONE_67	0
NONE_66	0
NONE_66	0
NONE_67	0
NONE_70	0
NONE_66	0
NONE_66	0
NONE_66	0
RACE_64_70	0
RACE_65_70	0
NONE_1	0
NONE_22	0
RACE_66_83	0
RACE_38_75	0
NONE_22	0
NONE_1	0
NONE_1	0
NONE_22	0
NONE_55	0
NONE_18	0
NONE_12	0
RACE_72_88	0
RACE_72_88	0
RACE_87_98	0
RACE_73_30	0
RACE_73_27	0
RACE_73_27	0
RACE_74_33	0
RACE_74_33	0
RACE_74_33	0
RACE_74_33	0
RACE_84_38	0
RACE_75_50	0
RACE_76_55	0
RACE_76_53	0
RACE_77_52	0
RACE_80_60	0
RACE_79_64	0
RACE_78_65	0
RACE_86_52	0
NONE_52	0
RACE_81_62	0
RACE_82_62	0
RACE_83_62	0
NONE_1	0
NONE_1	0
RACE_75_54	0
RACE_73_30	0
RACE_73_30	0
RACE_73_30	0
RACE_86_52	0
RACE_73_30	0
RACE_73_27	0
RACE_73_27	0
RACE_73_30	0
RACE_73_27	0
RACE_73_27	0
RACE_76_50	0
RACE_76_50	0
RACE_75_50	0
RACE_88_64	0
RACE_88_64	0
RACE_88_64	0
RACE_81_62	0
RACE_81_62	0
RACE_85_49	0
NONE_1	0
NONE_1	0
NONE_55	0
NONE_52	0
NONE_30	0
NONE_25	0
