en	included
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
RACE_21_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
RACE_22_1	0
RACE_22_1	0
None_1	0
RACE_22_1	0
RACE_22_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
None_1	0
Sarasvati	1
Kikuri-Hime	1
Ishtar	1
Brigid	1
Laksmi	1
Norn	1
Black Maria	1
Amaterasu	1
Thor	1
Mahakala	1
Odin	1
Yama	1
Shiva	1
Susano-o	1
Asura	1
Orcus	1
Pazuzu	1
Abaddon	1
Tao Tie	1
Arioch	1
Baphomet	1
Nyarlathotep	1
Makara	1
Pendragon	1
Quetzalcoatl	1
Seiryuu	1
Orochi	1
Ananta	1
Yurlungur	1
Toubyou	1
Basilisk	1
Ym	1
Python	1
Culebre	1
Fafnir	1
Angel	1
Power	1
Lailah	1
Aniel	1
Kazfiel	1
Sraosha	1
Remiel	1
Metatron	1
Moh Shuvuu	1
Suparna	1
Vidofnir	1
Badb Catha	1
Rukh	1
Huoniao	1
Garuda	1
Gagyson	1
Nisroc	1
Orobas	1
Decarabia	1
Agares	1
Mithras	1
Murmur	1
RACE_31_73	0
Heqet	1
Shiisaa	1
Bai Ze	1
Airavata	1
Ukano Mitama	1
Barong	1
Kabuso	1
Hairy Jack	1
Nekomata	1
Cait Sith	1
Orthrus	1
Cerberus	1
Cabracan	1
Waira	1
Garm	1
Afanc	1
Mothman	1
Catoblepas	1
Behemoth	1
Jambavan	1
Tlaloc	1
Heimdall	1
Hanuman	1
Cu Chulainn	1
Kresnik	1
Seiten Taisei	1
Tschaggatta	1
Ganesha	1
Pixie	1
Kijimunaa	1
Jack Frost	1
Pyro Jack	1
Silky	1
Lorelei	1
Vivian	1
Spriggan	1
Troll	1
King Frost	1
Lucifuge	1
Hecate	1
Astaroth	1
Loki	1
Lucifer	1
Ubelluris	1
Nalagiri	1
Mikazuchi	1
Zouchou	1
Koumoku	1
Kishin_1	0
Bishamon	1
Okuninushi	1
Kobold	1
Bilwis	1
Gozuki	1
Mezuki	1
Tokebi	1
Berserker	1
Yaksa	1
Ongyo-ki	1
RACE_31_64	0
Ogre	1
Ogun	1
Wendigo	1
Loa	1
Legion	1
Kudlak	1
Jaki_55	0
Macabre	1
Kikimora	1
Lilim	1
Yuki Jyorou	1
Peri	1
Hariti	1
Rangda	1
Jahi	1
Flaemis	1
Aquans	1
Aeros	1
Erthys	1
Ara Mitama	1
Nigi Mitama	1
Kusi Mitama	1
Saki Mitama	1
RACE_31_27	0
RACE_31_50	0
RACE_26_62	0
RACE_24_55	0
Fiend_65	0
Tennou_70	0
RACE_25_59	0
RACE_23_30	0
None_1	0
None_53	0
Divine_62	0
Divine_62	0
None_1	0
None_1	0
None_1	0
Bel_77	0
RACE_33_60	0
Tennou_70	0
Tennou_70	0
Tennou_70	0
Tennou_70	0
Loki	0
None_1	0
None_1	0
None_1	0
None_1	0
RACE_22_1	0
None_1	0
RACE_32_49	0
RACE_32_57	0
RACE_32_65	0
None_1	0
None_1	0
RACE_34_87	0
RACE_35_89	0
None_1	0
None_1	0
RACE_36_72	0
Divine_62	0
Divine_62	0
None_1	0
None_1	0
None_1	0
