en	included
Raidou	0
Ukobach	1
Pyro Jack	1
Orthrus	1
Oshichi	1
Sati	1
Gdon	1
Throne	1
Cerberus	1
Muspell	1
Belial	1
Onmoraki	1
Enku	1
Vritra	1
Mada	1
Kagutsuchi	1
Asura	1
Lucifer	1
Pyro reserve 1	0
Pyro reserve 2	0
Pyro reserve 3	0
Pyro reserve 4	0
Azumi	1
Jack Frost	1
Raiho	1
Jubokko	1
Oukuninushi	1
Raja Naga	1
Tarrasque	1
Ouyamatsumi	1
Arahabaki	1
Orochi	1
Preta	1
Chou-keshin	1
Pabilsag	1
Alraune	1
Black Ooze	1
Long	1
Basilisk	1
Arioch	1
Alraune	1
Frost reserve 1	0
Frost reserve 3	0
Frost reserve 4	0
Agathion	1
Raiju	1
Tsuchigumo	1
Oboroguruma	1
Nue	1
Parvati	1
Mishaguji	1
Oumitsunu	1
Thor	1
Koropokkur	1
Makami	1
Nandi	1
Cybele	1
Baek Yong	1
Barong	1
Astaroth	1
Vishnu	1
Volt reserve 1	0
Volt reserve 2	0
Volt reserve 3	0
Volt reserve 4	0
Poltergeist	1
Moh Shuvuu	1
Anzu	1
Feng Huang	1
Ichimokuren	1
Kurama	1
Hitokotonusi	1
Power	1
Sandalphon	1
Angel	1
Archangel	1
Decarabia	1
Kohryu	1
Dominion	1
Camael	1
Ophanim	1
Metatron	1
Wind reserve 1	0
Wind reserve 2	0
Wind reserve 3	0
Wind reserve 4	0
Obariyon	1
Turdak	1
Oni	1
Lamia	1
Chernobog	1
Yoshitsune	1
Ikusa	1
Triglav	1
Rakshasa	1
Shouten	1
Siegfried	1
Susano-o	1
Slime	1
Gozuki	1
Mezuki	1
Nezha	1
Atavaka	1
Fenrir	1
Cu Chulainn	1
Mahakala	1
Shiva	1
Masakado	1
Wind reserve 1	0
Wind reserve 2	0
Wind reserve 3	0
Wind reserve 4	0
Alp	1
Mokoi	1
Okiku-mushi	1
Ghoul	1
Utai-gaikotsu	1
Nebiros	1
Gashadokuro	1
Incubus	1
Lilith	1
Beelzebub	1
Sandman	1
Inugami	1
Lilim	1
Jorougumo	1
Black Frost	1
Arachne	1
Rangda	1
Mot	1
Mara	1
Pagan reserve 1	0
Pagan reserve 2	0
Pagan reserve 3	0
Pagan reserve 4	0
Ippon-datara	1
Leanan Sidhe	1
Nekomata	1
Thoth	1
Nagasunehiko	1
Abihiko	1
Scathach	1
Kudan	1
Futsunushi	1
Legion	1
Legion	1
Legion	1
Legion	1
Legion	1
Pixie	1
Blob	1
Selket	1
Oberon	1
Titania	1
Tam Lin	1
Mikaboshi	1
Taotie	1
Belphegor	1
High Pixie	1
Tam Lin	1
Skill reserve 3	0
Skill reserve 4	0
Undine	1
Sylph	1
Aquans	1
Aeros	1
Flaemis	1
Erthys	1
Spirit reserve 1	0
Spirit reserve 2	0
Spirit reserve 3	0
Spirit reserve 4	0
Kusi Mitama	1
Ara Mitama	1
Nigi Mitama	1
Saki Mitama	1
Mitama reserve 1	0
Mitama reserve 2	0
Mitama reserve 3	0
Mitama reserve 4	0
Alice	1
White Rider	1
Red Rider	1
Black Rider	1
Pale Rider	1
Kageboushi	1
Binbou-gami	1
Yakubyou-gami	1
Fiend reserve 1	0
Fiend reserve 2	0
Fiend reserve 3	0
Fiend reserve 4	0
Zombie	1
Zombie Officer	1
Zombie Guard	1
Zombie Lady	1
Red Cape	1
Yomi-kugutsu	1
Yomi-kugutsu	1
Yomi-kugutsu	1
Hiruko	1
Nesting Doll	1
Nesting Skull	1
City reserve 1	0
City reserve 2	0
City reserve 3	0
City reserve 4	0
0x0cf	0
Ukobach	2
Pyro Jack	2
Orthrus	2
Oshichi	2
Sati	2
Gdon	2
Throne	2
Cerberus	2
Muspell	2
Belial	2
Onmoraki	2
Enku	2
Vritra	2
Mada	2
Kagutsuchi	2
Asura	2
Lucifer	2
Pyro reserve 1	0
Pyro reserve 2	0
Pyro reserve 3	0
Pyro reserve 4	0
Azumi	2
Jack Frost	2
Raiho	2
Jubokko	2
Oukuninushi	2
Raja Naga	2
Tarrasque	2
Ouyamatsumi	2
Arahabaki	2
Orochi	2
Preta	2
Chou-keshin	2
Pabilsag	2
Alraune	2
Black Ooze	2
Long	2
Basilisk	2
Arioch	2
Frost reserve 1	0
Frost reserve 2	0
Frost reserve 3	0
Frost reserve 4	0
Agathion	2
Raiju	2
Tsuchigumo	2
Rumored Oboroguruma	2
Nue	2
Parvati	2
Mishaguji	2
Oumitsunu	2
Thor	2
Koropokkur	2
Makami	2
Nandi	2
Cybele	2
Baek Yong	2
Barong	2
Astaroth	2
Vishnu	2
Volt reserve 1	0
Volt reserve 2	0
Volt reserve 3	0
Volt reserve 4	0
Poltergeist	2
Moh Shuvuu	2
Anzu	2
Feng Huang	2
Ichimokuren	2
Kurama	2
Hitokotonusi	2
Power	2
Sandalphon	2
Angel	2
Archangel	2
Decarabia	2
Kohryu	2
Dominion	2
Camael	2
Ophanim	2
Metatron	2
Wind reserve 1	0
Wind reserve 2	0
Wind reserve 3	0
Wind reserve 4	0
Obariyon	2
Turdak	2
Oni	2
Lamia	2
Chernobog	2
