en	desc
000	NOT USED Item Help 000
Medicine	Restore 120 HP: 1 ally \tMAX: 99
Ox Bezoar	Restore 350 HP: 1 ally \tMAX: 12
Life Stone	Restore 25% of HP: 1 ally \tMAX: 24
Muscle Drink	Restore 60% of HP with side \teffects: 1 ally \tMAX: 12
Bead	Restore full HP: 1 ally \tMAX: 9
Bead of Life	Restore all HP: entire party \tMAX: 9
Chakra Chip	NOT USED Restore MAG (S)
Chakra Drop	NOT USED Restore MAG (M)
Chakra Pot	NOT USED Restore MAG (L)
Great Chakra	NOT USED Restore all MAG
Soma Drop	NOT USED Restore all HP and MAG: 1 ally
Soma	Restore all MAG \tMAX: 1
Anti-Poison	Cure poison: 1 ally \tMAX: 9
Anti-Mute	Cure mute: 1 ally \tMAX: 9
Anti-Stone	Cure stone: 1 ally \tMAX: 9
Anti-Mind	Cure sleep, panic, charm and rage: \t1 ally \tMAX: 9
Jin Dan	Revive with (S) HP recovery: \t1 ally \tMAX: 9
Balm of Life	Revive with full HP recovery: \t1 ally \tMAX: 9
St Incense	Increase Strength by 1: 1 ally \tMAX: 99
Ma Incense	Increase Magic by 1: 1 ally \tMAX: 99
Vi Incense	Increase Vitality by 1: 1 ally \tMAX: 99
Lu Incense	Increase Luck by 1: 1 ally \tMAX: 99
Mansaku Sake	Increase demon's Loyalty (S): \t1 ally \tMAX: 99
Homura Sake	Increase Pyro demon's Loyalty (M): \t1 ally \tMAX: 99
Fubuki Sake	Increase Frost demon's Loyalty (M): \t1 ally \tMAX: 99
Raiden Sake	Increase Volt demon's Loyalty (M): \t1 ally \tMAX: 99
Arashi Sake	Increase Wind demon's Loyalty (M): \t1 ally \tMAX: 99
Gouriki Sake	Increase Fury demon's Loyalty (M): \t1 ally \tMAX: 99
Yamiyo Sake	Increase Pagan demon's Loyalty (M): \t1 ally \tMAX: 99
Takumi Sake	Increase Skill demon's Loyalty (M): \t1 ally \tMAX: 99
