en	desc
Item 000	Item Help 000
Medicine	Restore 75 HP: 1 ally
Ox Bezoar	Restore 250 HP: 1 ally. \nSaid to be an aphrodisiac
Life Stone	Restore HP (M): 1 ally
Muscle Drink	Restore HP (L) with side effects: \n1 ally
Bead	Restore full HP: 1 ally
Bead of Life	Restore all HP: entire party
Chakra Chip	Restore MP (S): 1 ally
Chakra Drop	Restore MP (M): 1 ally
Chakra Pot	Restore all MP: 1 ally
Great Chakra	Restore all MP: entire party
Soma Drop	Restore all HP and MP: 1 ally
Soma	Restore all HP and MP: \nentire party
Anti-Poison	Cure poison: 1 ally
Anti-Mute	Cure mute: 1 ally
Anti-Stone	Cure stone: 1 ally
Anti-Mind	Cure sleep, panic, charm and rage: \n1 ally
Jin Dan	Revive with (S) HP recovery: \n1 ally
Balm of Life	Revive with full HP recovery: \n1 ally
St Incense	Increase Strength by 1: 1 ally
Ma Incense	Increase Magic by 1: 1 ally
Vi Incense	Increase Vitality by 1: 1 ally
Lu Incense	Increase Luck by 1: 1 ally
"Mansaku" Sake	Increase demon's Loyalty (S): \n1 ally
"Homura" Sake	Increase Pyro demon's Loyalty (M): \n1 ally
"Fubuki" Sake	Increase Frost demon's Loyalty (M): \n1 ally
"Raiden" Sake	Increase Volt demon's Loyalty (M): \n1 ally
"Arashi" Sake	Increase Wind demon's Loyalty (M): \n1 ally
"Gouriki" Sake	Increase Fury demon's Loyalty (M): \n1 ally
"Yamiyo" Sake	Increase Pagan demon's Loyalty (M): \n1 ally
"Takumi" Sake	Increase Skill demon's Loyalty (M): \n1 ally
"Shishiou" Sake	Increase demon's Loyalty (M): \n1 ally
"Kotetsu" Sake	Increase demon's Loyalty (L): \n1 ally
Reserve	Reserve
Attract Water	Briefly increases encounter rate
Repulse Water	Briefly decreases encounter rate
Foxtail	An irresistible grass toy for a cat
Sealed Letter	A binding contract from \nthe Demon Lord
Smoke Ball	Instantly escape from battle
Purity Charm	A talisman said to expel evil
Item 028	Item help 028
Item 029	Item help 029
Item 02A	Item help 02A
Item 02B	Item help 02B
Item 02C	Item help 02C
Item 02D	Item help 02D
Item 02E	Item help 0E
Item 02F	Item help 02F
Item 030	Item help 030
Item 031	Item help 031
Item 032	Item help 032
Item 033	Item help 033
Item 034	Item help 034
Item 035	Item help 035
Item 036	Item help 036
Item 037	Item help 037
Item 038	Item help 038
Item 039	Item help 039
Item 03A	Item help 03A
Item 03B	Item help 03B
Item 03C	Item help 03C
Item 03D	Item help 03D
Item 03E	Item help 03E
Item 03F	Item help 03F
Wood Ornament	Fetches a hefty sum at Konnou-Ya
Asuka Mirror	Fetches a hefty sum at Konnou-Ya
Rakuyou Chalice	Fetches a hefty sum at Konnou-Ya
Javanese Figure	Fetches a hefty sum at Konnou-Ya
Roman Coin	Fetches a hefty sum at Konnou-Ya
Persian Vase	Fetches a hefty sum at Konnou-Ya
Theban Jar	Fetches a hefty sum at Konnou-Ya
Cretan Goddess	Fetches a hefty sum at Konnou-Ya
Babylon Tablet	Fetches a hefty sum at Konnou-Ya
Giza Mask	Fetches a hefty sum at Konnou-Ya
Stag Beetle	Fetches a hefty sum at Konnou-Ya
Beetle	Fetches a hefty sum at Konnou-Ya
Dainty Snack	A popular bar snack. Demons like \nit, too.
Twig	A plain old twig. There's no use \nfor it.
