en	desc
0x000	Skill Help 000
Agi	Single light Fire dmg\n+burn  Single target
Agidyne	Single heavy Fire dmg\n+burn  Area:target
Maragi	Single medium Fire dmg\n+burn  Area:self(S)
Maragidyne	Single heavy Fire dmg\n+burn  Area:self(M)
Blaze	Single medium Fire dmg\n+burn  3-way shot
Hellfire	Multiple light Fire dmg\n+burn  Single target
Fire Breath	Multiple heavy Fire dmg\n+burn  Line
Fireball	Piercing mega Fire dmg\n+burn  Single target
R	Skill Help 009
R	Skill Help 00A
R	Skill Help 00B
R	Skill Help 00C
R	Skill Help 00D
R	Skill Help 00E
R	Skill Help 00F
Bufu	Single light Ice dmg\n+freeze  Single target
Bufudyne	Single heavy Ice dmg\n+freeze  Area:target
Mabufu	Single medium Ice dmg\n+freeze  Area:self(S)
Mabufudyne	Single heavy Ice dmg\n+freeze  Area:self(M)
Frostbite	Single medium Ice dmg\n+freeze  3-way shot
Cocytus	Multiple light Ice dmg\n+freeze  Single target
Glacial Blast	Multiple heavy Ice dmg\n+freeze  Line
Frozen Lance	Piercing mega Ice dmg\n+freeze  Single target
R	Skill Help 018
R	Skill Help 019
R	Skill Help 01A
R	Skill Help 01B
R	Skill Help 01C
R	Skill Help 01D
R	Skill Help 01E
R	Skill Help 01F
Zio	Single light Elec dmg\n+shock  Single target
Ziodyne	Single heavy Elec dmg\n+shock  Area:target
Mazio	Single medium Elec dmg\n+shock  Area:self(S)
Maziodyne	Single heavy Elec dmg\n+shock  Area:self(M)
Spark	Single medium Elec dmg\n+shock  3-way shot
Bolt Storm	Multiple light Elec dmg\n+shock  Single target
Shock Wave	Multiple heavy Elec dmg\n+shock  Line
Thunderbolt	Piercing mega Elec dmg\n+shock  Single target
R	Skill Help 028
R	Skill Help 029
R	Skill Help 02A
R	Skill Help 02B
R	Skill Help 02C
R	Skill Help 02D
R	Skill Help 02E
R	Skill Help 02F
Zan	Single light Force dmg\n+impede  Single target
Zandyne	Single heavy Force dmg\n+impede  Area:target
Mazan	Single medium Force dmg\n+impede  Area:self(S)
Mazandyne	Single heavy Force dmg\n+impede  Area:self(M)
Flurry	Single medium Force dmg\n+impede  3-way shot
Tempest	Multiple light Force dmg\n+impede  Single target
Wind Cutter	Multiple heavy Force dmg\n+impede  Line
Hurricane	Piercing mega Force dmg\n+impede  Single target
Flurry	Skill Help 038
R	Skill Help 039
R	Skill Help 03A
R	Skill Help 03B
R	Skill Help 03C
R	Skill Help 03D
R	Skill Help 03E
R	Skill Help 03F
Astral Burst	Single mega Almighty dmg  \nArea:self(L)
R	Skill Help 041
R	Skill Help 042
R	Skill Help 043
R	Skill Help 044
R	Skill Help 045
R	Skill Help 046
R	Skill Help 047
R	Skill Help 048
R	Skill Help 049
R	Skill Help 04A
Maragidyne	Skill Help 04B
Mabufudyne	Skill Help 04C
Maziodyne	Skill Help 04D
Mazandyne	Skill Help 04E
Mamudo	Skill Help 04F
Mudo	Death:HP halved\n+stun  Single target
Mamudo	Death:HP halved\n+stun  Area:self(S)
R	Skill Help 052
R	Skill Help 053
R	Skill Help 054
R	Skill Help 055
R	Skill Help 056
R	Skill Help 057
R	Skill Help 058
R	Skill Help 059
R	Skill Help 05A
R	Skill Help 05B
R	Skill Help 05C
R	Skill Help 05D
R	Skill Help 05E
R	Skill Help 05F
Marin Karin	Single light Mind dmg\n+charm  Area:self(S)
Dormina	Single light Mind dmg\n+sleep  Area:self(S)
Pulinpa	Single light Mind dmg\n+panic  Single target
Makajam	Single light Mind dmg\n+mute  Single target
Petra	Single light Mind dmg\n+stone  Line
R	Skill Help 065
R	Skill Help 066
R	Skill Help 067
R	Skill Help 068
R	Skill Help 069
R	Skill Help 06A
R	Skill Help 06B
R	Skill Help 06C
R	Skill Help 06D
R	Skill Help 06E
R	Skill Help 06F
Dia	Restores HP moderately  \n1 ally
Diarama	Restores HP greatly  \n1 ally
Diarahan	Restores HP fully  \n1 ally
Media	Restores HP moderately  \nAll
Patra	Cures ailment  \n1 ally
Dia Aura	Restores HP gradually  \n1 ally
Recarm	Revives target with \nsome HP  1 ally
Samarecarm	Revives target with \nfull HP  1 ally
R	Skill Help 078
R	Skill Help 079
R	Skill Help 07A
R	Skill Help 07B
R	Skill Help 07C
R	Skill Help 07D
R	Skill Help 07E
R	Skill Help 07F
Tarukaja	Raises Phys attack for \nthe entire battle  All
Makakaja	Raises Magic attack for \nthe entire battle  All
Rakukaja	Raises defense for \nthe entire battle  All
War Cry	Boosts Phys attack for \na short time  All
Makara Aura	Boosts Magic defense for \na short time  All
Tetra Aura	Boosts Phys defense for \na short time  All
R	Skill Help 086
R	Skill Help 087
R	Skill Help 088
R	Skill Help 089
R	Skill Help 08A
R	Skill Help 08B
R	Skill Help 08C
R	Skill Help 08D
R	Skill Help 08E
R	Skill Help 08F
Tiger Thrust	Raidou sword thrust
Raidou Combo 1	Raidou combo 1st hit
Raidou Combo 2	Raidou combo 2nd hit
Raidou Combo 3	Raidou combo 3rd hit
