armor_001	A simple shirt.
armor_002	A cardigan made of wool.
armor_003	A frilly blouse.
armor_004	A formal shirt worn with a suit.
armor_005	A buttoned sweater vest.
armor_006	A zip-up hooded sweatshirt.
armor_007	A long, thick coat.
armor_008	Women's clothing for cooking or battle.
armor_009	Protects from all natural disasters.
armor_00A	A highly elastic shirt.
armor_00B	Great for field combat.
armor_00C	Firearm-resistant vest.
armor_00D	A set of protective pads.
armor_00E	A very comfortable suit.
armor_00F	0x100F
armor_010	0x1010
armor_011	0x1011
armor_012	0x1012
armor_013	Only masters may wear this.
armor_014	Cape-like outfit that covers the body.
armor_015	Firearm-resistant vest.
armor_016	Armor with a talisman attached to it.
armor_017	Robe inscribed with holy scriptures.
armor_018	A mantle that's as light as the wind.
armor_019	A robe that radiates an invisible shield.
armor_01A	A cloak that covers the entire body.
armor_01B	Very heavy, but durable armor.
armor_01C	The vestment of the famous monk, Kukai.
armor_01D	Armor with beautiful decorations.
armor_01E	Armor made from OOPArts.
armor_01F	Armor made from demon's hide.
armor_020	Women's clothes that ward off disasters.
armor_021	A robe blessed by a Pope.
armor_022	Armor engraved with a pentacle symbol.
armor_023	0x1023
armor_024	Armor with silver decorations.
armor_025	Hard leather jacket for men.
armor_026	A traditional Japanese shirt for men.
armor_027	A black studded leather jacket for men.
armor_028	0x1028
armor_029	0x1029
armor_02A	Men's belt made from tiger hide.
armor_02B	Knickers worn by manly heroes of the past.
armor_02C	0x102C
armor_02D	Men's shirt that cloaks the wearer.
armor_02E	Men's suit that amplifies one's strength.
armor_02F	0x102F
armor_030	0x1030
armor_031	0x1031
armor_032	Savior's armor, worn only by men.
armor_033	Robe made from translucent cloth.
armor_034	0x1034
armor_035	0x1035
armor_036	Armor that looks like a bikini.
armor_037	0x1037
armor_038	0x1038
armor_039	Light battle armor for females.
armor_03A	Bra with spikes attached.
armor_03B	0x103B
armor_03C	Women's armor that lasts forever.
armor_03D	Normal dog clothes.
armor_03E	Dog suit with a cross drawn on it.
armor_03F	A dog suit made of titanium.
armor_040	A very light dog suit.
armor_041	A dog suit made from leather.
armor_042	A dog suit made of metal.
armor_043	A dog suit that's been dyed black.
armor_044	Mechanical body armor for dogs.
armor_045	Dog suit with a moon embroidered on it.
armor_046	Dog suit that emits a mysterious light.
armor_047	Armored vest for Aigis.
armor_048	Bulletproof steel vest for Aigis.
armor_049	Armor that protects Aigis' torso.
armor_04A	Armor that protects Aigis' entire body.
armor_04B	Steel plate armor for Aigis.
armor_04C	Steel plate armor for Aigis' front and back.
armor_04D	Scaled armor for Aigis.
armor_04E	Armor made from special steel for Aigis.
armor_04F	Flanked equipment for Aigis.
armor_050	Colorful armor for Aigis.
armor_051	A bathing suit for Makoto.
armor_052	A bathing suit for Yukari.
armor_053	A bathing suit for Akihiko.
armor_054	A bathing suit for Mitsuru.
armor_055	A one-piece dress for Aigis.
armor_056	Summer clothes for Ken.
armor_057	A shirt to keep your neck warm.
armor_058	A bathing suit for Junpei.
armor_059	1059
armor_05A	Shiny torso for Metis.
armor_05B	Torso for Metis made from processed leather.
armor_05C	Torso for Metis made from mother-of-pearl.
armor_05D	Torso for Metis made from ceramic.
armor_05E	Torso for Metis made from synthetic fibers.
armor_05F	Torso for Metis made from metal plating.
armor_060	Torso for Metis made from diamond.
armor_061	Torso for Metis made by a skilled craftsman.
armor_062	Torso for Metis made by a master craftsman.
armor_063	Torso for Metis made from divine scales.
armor_064	Goddess' chestplate for Aigis.
armor_065	A legendary warrior's torso for Metis.
armor_066	The ultimate prototype armor for Aigis.
armor_067	A divine torso for Metis.
armor_068	???
armor_069	Dog suit with slightly increased hardness.
armor_06A	Summer outfit for Makoto.
armor_06B	Winter outfit for Makoto.
armor_06C	Summer outfit for Junpei.
armor_06D	Winter outfit for Junpei.
armor_06E	Summer outfit for Akihiko.
armor_06F	Winter outfit for Akihiko.
armor_070	Summer outfit for Yukari.
armor_071	Winter outfit for Yukari.
armor_072	Summer outfit for Mitsuru.
armor_073	Winter outfit for Mitsuru.
armor_074	Winter outfit for Ken.
armor_075	Maid outfit for Yukari.
armor_076	Maid outfit for Mitsuru.
armor_077	Summer uniform for Makoto.
armor_078	Summer uniform for Junpei.
armor_079	Summer uniform for Akihiko.
armor_07A	Summer uniform for Yukari.
armor_07B	Summer uniform for Mitsuru.
armor_07C	Winter uniform for Aigis.
armor_07D	Summer uniform for Ken.
armor_07E	Maid outfit for Aigis.
armor_07F	Dog suit with a punk rock design.
armor_080	Santa outfit for Yukari.
armor_081	Santa outfit for Aigis.
armor_082	Santa outfit for Mitsuru.
armor_083	Butler outfit for Junpei.
armor_084	Butler outfit for Akihiko.
armor_085	Butler outfit for Ken.
armor_086	Butler outfit for Shinjiro.
armor_087	Butler outfit for Koromaru...?
armor_088	A simple, yet refined blouse.
armor_089	Summer clothes for the female main character.
armor_08A	Winter clothes for the female main character.
armor_08B	Maid outfit for the female main character.
armor_08C	Swimsuit for the female main character.
armor_08D	0x08D
armor_08E	0x08E
armor_08F	0x08F
armor_090	0x090
armor_091	0x091
armor_092	0x092
armor_093	0x093
armor_094	0x094
armor_095	0x095
armor_096	0x096
armor_097	0x097
armor_098	0x098
armor_099	0x099
armor_09A	0x09A
armor_09B	0x09B
armor_09C	0x09C
armor_09D	0x09D
armor_09E	0x09E
armor_09F	0x09F
armor_0A0	0x0A0
armor_0A1	0x0A1
armor_0A2	0x0A2
armor_0A3	0x0A3
armor_0A4	0x0A4
armor_0A5	0x0A5
armor_0A6	0x0A6
armor_0A7	0x0A7
armor_0A8	0x0A8
armor_0A9	0x0A9
armor_0AA	0x0AA
armor_0AB	0x0AB
armor_0AC	0x0AC
armor_0AD	0x0AD
armor_0AE	0x0AE
armor_0AF	0x0AF
armor_0B0	0x0B0
armor_0B1	0x0B1
