Imitation Katana	It looks real, but...
Outenta Mitsuyo	Famous katana that banishes darkness.
Mikazuki Munechika	Katana with crescent- shaped patterns.
Myohou Muramasa	Cursed katana that slices everything.
Onimaru Kunitsuna	Famous katana that purifies illness.
Juzumaru	Katana owned by the monk Nichiren.
Kishido Blade	Long, heavy two-handed sword.
Two-Handed Sword	Sword requiring both hands.
Claymore	Unusually long two- handed sword.
Deathbringer	Sword with a mysterious glow.
Apocalypse	Sword that symbolizes turmoil.
Balmung	Mystical sword of Siegfried.
Great Sword	A huge sword, wielded with both hands.
0x00E	0x00E
0x00F	0x00F
Zanbatou	A humongous blade, more like a lump of metal.
Elixir Sword	Broadsword made of the Philosopher's Stone.
Caladbolg	Its name means "hard lightning."
Basic Katana	A basic fused katana.
Basic Sword	A basic fused sword.
Basic Guan Dao	A basic fused 2h sword.
Spiked Bat	Bat with nails driven into it.
Laevateinn	Sword capable of destroying the world.
Masakado's Katana	Sword once used by General Masakado.
All-Purpose Katana	Katana with many different uses.
0x01A	0x01A
Tsubaki-maru	Very heavy and thick katana.
Raikou	Light, sharp katana.
Tobi-botaru	Katana with good cutting power.
0x01E	0x01E
0x01F	0x01F
Rapier	A thrusting practice sword.
Elegant Fleuret	Sword designed for thrusting.
Skrep	A rust-proof sword.
Damascus Rapier	Rapier made from Damascus steel.
Main Gauche	Short sword used for defense.
Night Falcon	Rapier that's light as a feather.
Saber	Sword that's easy to wield with one hand.
Tizona	Brave champion's sword.
Silver Saber	Saber crafted from silver.
Da Xia Long Que	A sword made by refining 100 times.
0x02A	0x02A
Qi Xing Dao	A sword named after the Big Dipper.
Shortsword	Very easy-to-use sword.
Gimlet	Sword with a very sharp tip.
Gladius	Short sword designed for thrusting.
Sin Blade	Sword adorned with a moon god's symbol.
Aroundight	Sword that emits a cold light.
Excalibur	Legendary holy sword.
Origin Rapier	A basic fused 1h sword.
Nameless Cutlass	A basic fused curved sword.
Nameless Katana	A basic fused katana.
Steel Pipe	Old metal pipe with some rust stains.
Deus Xiphos	Golden sword held by the archangel Michael.
Lucifer's Blade	Sword made of a fallen angel's jewels.
Long Wakizashi	A wakizashi with a 60cm blade.
Fudou Masamune	A work of art forged by Masamune.
Kaneshige	Musashi Miyamoto's famed katana.
Amakuni	The katana used by Yoshitsune Minamoto.
Kogarasumaru	The family treasure of the Taira clan.
Nikkari Aoe	A katana said to have sliced demons.
Nameless Wakizashi	A basic fused wakizashi.
Legendary Cleaver	Some legendary kitchen knife.
0x040	0x040
Sonic Fist	Gloves of very light material.
Fists of Fury	Knuckles of barely contained anger.
Supreme Gloves	Gloves of state-of- the-art technology.
Pugilist's Fists	Gloves for boxers.
Golden Gloves	Legendary boxing gloves.
Champion Gloves	Replica gloves of a champion.
Kaiser Knuckles	Perfectly balanced knuckles.
Crusher Fist	Knuckles designed to deal heavy damage.
Brass Knuckles	Simple, effective knuckles.
Blood Baghnakh	Fist spurs that have drawn much blood.
Titanic Knuckles	Knuckles of exceptional power.
Wings of Vanth	Fist spurs that are light as air.
Beast Fangs	Fist spurs resembling animal fangs.
Wicked Cestus	Cestus with sharp blades attached.
Bladefist	Knuckles made from a famous sword.
Double Ziggurat	Delivers punches of divine punishment.
Dragon Fangs	Fist spurs that resemble dragon fangs.
Root Gloves	Basic fused gloves.
Root Knuckles	Basic fused knuckles.
Root Cestus	A basic fused cestus.
Jack's Gloves	The Jack Brothers' gloves.
Sabazios	Gloves used for holy rituals.
Evil Gloves	Fist spurs with demonic power.
0x058	0x058
0x059	0x059
0x05A	0x05A
0x05B	0x05B
0x05C	0x05C
0x05D	0x05D
0x05E	0x05E
0x05F	0x05F
Staff of Guts	Labeled "Increases Your Willpower!"
0x061	0x061
Megaton Rod	Rod that can smash through shields.
0x063	0x063
Night Stalker	A murderer's assault weapon.
Staff of Wrath	A famous blacksmith's creation.
0x066	0x066
Cross Rod	A striking weapon topped with a cross.
Guillotine Axe	Axe used in executions.
Heavy Axe	Axe used to destroy the opponent's armor.
Executioner's Axe	Axe that ends criminals' anguish.
Celtis	Easy-to-use, yet very lethal axe.
0x06C	0x06C
Ogre Hammer	A gigantic hammer.
Gaea's Grace	Hammer blessed by the goddess of earth.
Charun's Hammer	Hammer of brutal power.
Colossus	Fairies are said to have made this hammer.
Golden Crusher	Hammer of the brave hero-king.
Origin Club	A basic fused club.
Origin Axe	A basic fused axe.
Origin Hammer	A basic fused hammer.
Bus Stop Sign	It says, "Gekkoukan High School."
Corpse Rod	Beelzebub's staff.
Mjolnir	A stone hammer with holy powers.
Crescent Rod	An enhanced version of the Cross Rod.
0x079	0x079
0x07A	0x07A
0x07B	0x07B
0x07C	0x07C
0x07D	0x07D
0x07E	0x07E
0x07F	0x07F
Omega Spear	Spear with omega-level power.
Ranseur	Well-made lance for piercing.
Lance of Death	Lance that brings a swift death.
Friuli Spear	Lightweight but strong spear.
Rhongowennan	King Arthur's famous lance.
Gae Bolg	The mystical spear held by Cu Chulainn.
Glaive	Long weapon strengthened by battle.
Treason Couse	Spear commonly used by revolutionaries.
Sexy Lance	A beautiful bee's sting charms everything.
Voulge	Simple long halberd.
Poison Glaive	Glaive with a blade steeped in poison.
Romulus' Spear	The spear of a Roman king.
Cross Spear	Spear with a cross- shaped tip.
Shiden	0x08D
Ningen Mukotsu	An incredibly sharp cross-shaped spear.
Ote-gine	Famously beautiful spear.
Nihon-gou	Famous spear sung of in the "Kuroda-bushi."
