Plain Shirt	A simple shirt.
Knit Cardigan	A cardigan made of wool.
Ruffled Blouse	A frilly blouse.
Dress Shirt	A formal shirt worn with a suit.
Red Vest	A buttoned sweater vest.
Zip Hoodie	A zip-up hooded sweatshirt.
Long Pea Coat	A long, thick coat.
All-Purpose Apron	Women's clothing for cooking or battle.
Emergency Vest	Protects from all natural disasters.
Rash Guard	A highly elastic shirt.
Camo Shirt	Great for field combat.
Bulletproof Shirt	Firearm-resistant vest.
Metal Protector	A set of protective pads.
Amenity Suit	A very comfortable suit.
0x20F	0x100F
0x210	0x1010
0x211	0x1011
0x212	0x1012
Master's Garment	Only masters may wear this.
Amigo Poncho	Cape-like outfit that covers the body.
Bulletproof Vest	Firearm-resistant vest.
Tetra Jammer	Armor with a talisman attached to it.
Robe of Salvation	Robe inscribed with holy scriptures.
Mantle of Wind	A mantle that's as light as the wind.
Robe of Warding	A robe that radiates an invisible shield.
Defender Cloak	A cloak that covers the entire body.
Gigantic Armor	Very heavy, but durable armor.
Kukai's Vestment	The vestment of the famous monk, Kukai.
Kaiser Armor	Armor with beautiful decorations.
Final Armor	Armor made from OOPArts.
Demon's Mail	Armor made from demon's hide.
Rangda Robe	Women's clothes that ward off disasters.
Papal Robe	A robe blessed by a Pope.
Armor of Light	Armor engraved with a pentacle symbol.
0x223	0x1023
Silver Plate	Armor with silver decorations.
Carbon Jacket	Hard leather jacket for men.
Shirt of Chivalry	A traditional Japanese shirt for men.
Sid's Jacket	A black studded leather jacket for men.
0x228	0x1028
0x229	0x1029
Tigerhide Belt	Men's belt made from tiger hide.
Hero's Knickers	Knickers worn by manly heroes of the past.
0x22C	0x102C
Stealth Shirt	Men's shirt that cloaks the wearer.
Powered Suit	Men's suit that amplifies one's strength.
0x22F	0x102F
0x230	0x1030
0x231	0x1031
Hallowed Plate	Savior's armor, worn only by men.
Phantom Robe	Robe made from translucent cloth.
0x234	0x1034
0x235	0x1035
Battle Panties	Armor that looks like a bikini.
0x237	0x1037
0x238	0x1038
Battle Leotard	Light battle armor for females.
Spiked Bra	Bra with spikes attached.
0x23B	0x103B
Eternal Plate	Women's armor that lasts forever.
Dog Suit	Normal dog clothes.
Cross Dog Suit	Dog suit with a cross drawn on it.
Titanium Dog Suit	A dog suit made of titanium.
Light Dog Suit	A very light dog suit.
Leather Dog Suit	A dog suit made from leather.
Metal Dog Suit	A dog suit made of metal.
Dark Dog Suit	A dog suit that's been dyed black.
Powered Dog Suit	Mechanical body armor for dogs.
Lunar Dog Suit	Dog suit with a moon embroidered on it.
Aura Dog Suit	Dog suit that emits a mysterious light.
Aramid Vest	Armored vest for Aigis.
Aramid Harness	Bulletproof steel vest for Aigis.
Aramid Semi-Shell	Armor that protects Aigis' torso.
Aramid Full-Shell	Armor that protects Aigis' entire body.
Aramid Plate	Steel plate armor for Aigis.
Aramid Compound	Steel plate armor for Aigis' front and back.
Ergo Scale	Scaled armor for Aigis.
Ergo Armor	Armor made from special steel for Aigis.
Fifth Number	Flanked equipment for Aigis.
Papillon Method	Colorful armor for Aigis.
Blue Shorts	A bathing suit for Makoto.
Pink Bikini	A bathing suit for Yukari.
Blue Swimwear	A bathing suit for Akihiko.
Elegant Bikini	A bathing suit for Mitsuru.
Sky Sundress	A one-piece dress for Aigis.
Baseball Jersey	Summer clothes for Ken.
Turtleneck	A shirt to keep your neck warm.
Red Shorts	A bathing suit for Junpei.
0x259	1059
Enamel Torso	Shiny torso for Metis.
Velour Torso	Torso for Metis made from processed leather.
Nacre Torso	Torso for Metis made from mother-of-pearl.
Bisque Torso	Torso for Metis made from ceramic.
Bulletproof Torso	Torso for Metis made from synthetic fibers.
Chevalier Torso	Torso for Metis made from metal plating.
Zircon Torso	Torso for Metis made from diamond.
Jacquedrose	Torso for Metis made by a skilled craftsman.
Vermelies	Torso for Metis made by a master craftsman.
Oceanus Scale	Torso for Metis made from divine scales.
Soul of Athena	Goddess' chestplate for Aigis.
Joruri Tengu	A legendary warrior's torso for Metis.
Aigis Armor v.100	The ultimate prototype armor for Aigis.
Meseauzer	A divine torso for Metis.
0x268	???
Hard Dog Suit	Dog suit with slightly increased hardness.
Raglan T-Shirt	Summer outfit for Makoto.
Dark Jacket	Winter outfit for Makoto.
S.Outfit Junpei	Summer outfit for Junpei.
W.Outfit Junpei	Winter outfit for Junpei.
S.Outfit Akihiko	Summer outfit for Akihiko.
W.Outfit Akihiko	Winter outfit for Akihiko.
S.Outfit Yukari	Summer outfit for Yukari.
W.Outfit Yukari	Winter outfit for Yukari.
S.Outfit Mitsuru	Summer outfit for Mitsuru.
W.Outfit Mitsuru	Winter outfit for Mitsuru.
W.Outfit Ken	Winter outfit for Ken.
Maid Outfit (Y)	Maid outfit for Yukari.
Maid Outfit (M)	Maid outfit for Mitsuru.
S.Uniform Main	Summer uniform for Makoto.
S.Uniform Junpei	Summer uniform for Junpei.
