Engineer Boots	Solidly made work boots.
Brown Loafers	An ordinary pair of loafers.
Knee-High Boots	Long, black boots.
Straight Tip	Boots with a horizontal line over the toes.
Inverse Shoes	Classic-model sneakers.
Soccer Shoes	Shoes for playing indoor soccer.
Western Boots	Low-heeled boots.
Health Sandals	Sandals that massage your pressure points.
Max Safety Shoes	Strong enough to take any punishment.
Rubber Sole	Boots with thick soles.
High-Tech Sandals	Sandals with many bumps.
Leather Boots	Boots made out of leather.
Inline Skates	Shoes with a single row of wheels.
Mechanical Geta	Geta made with the latest technology.
Combat Boots	Boots from military surplus.
Crimson Greaves	Greaves colored a dark red.
Magic Sandals	Sandals that boost the wearer's magic.
Cyber Shoes	Shoes made with modern technology.
Silent Sandals	Sandals worn by ninjas.
Needle Shoes	Shoes with needles on the soles.
Jet Boots	Boots with jet engines attached.
Greaves of Dawn	Exceptionally durable greaves.
Assassin's Shoes	Very light shoes.
Mirage Sandals	Sandals with dazzling silver ornaments.
0x319	0x019
0x31A	0x01A
Shoes of Light	Shoes with pentacle symbols.
Shoes of Bane	Hitmen's favorite shoes.
Idaten's Sandals	Unbelievably light pair of sandals.
War God's Boots	A war god's spirit dwells in these boots.
Holy Shoes	Boots that have been blessed.
Goddess Boots	Women's boots that lend beauty.
Hanzo's Sandals	A famous ninja's sandals.
0x322	0x022
0x323	0x022
Dragon Boots	Men's boots embroidered with dragons.
R/C Geta	Can supposedly be remote-controlled...
0x326	0x026
Rugged Geta	A manly pair of geta, for men.
Killer Cleats	Shoes with vicious- looking spikes.
0x329	0x029
Lion Sandals	Sandals with a lion drawn on them.
Warrior's Boots	Men's greaves, worn by a veteran warrior.
0x32C	0x02C
0x32D	0x02D
Vernal Sandals	Sandals with a fresh grass scent.
0x32F	0x02F
0x330	0x030
0x331	0x031
Hallowed Boots	Savior's boots worn only by men.
0x333	0x033
Beast Leggings	Leopard-print leggings for women.
0x335	0x035
Quick Pumps	Lightweight pumps for women.
0x337	0x037
Sexy Heels	Heels that make women supersexy.
0x339	0x039
0x33A	0x03A
0x33B	0x03B
Eternal Shoes	Women's boots that last forever.
Bare Paws	The paw pads are very soft to the touch.
0x33E	0x03E
0x33F	0x03F
0x340	0x040
0x341	0x041
0x342	0x042
0x343	0x043
0x344	0x044
0x345	0x045
0x346	0x046
Civilized Legs	Ordinary leg parts for Aigis.
Fiber Legs	Leg parts for Aigis made with strong fibers.
Pearlite Legs	Processed iron leg parts for Aigis.
Fullerene Legs	Molecularly cohesive leg parts for Aigis.
Ceramic Legs	Ceramic leg parts for Aigis.
Cobalt Legs	Cobalt leg parts for Aigis.
Titanium Legs	Lightweight leg parts for Aigis.
Cermet Legs	Alloyed leg parts for Aigis.
Ergo Legs	Consolidated leg parts for Aigis.
Kugelbein	Leg parts for Aigis from the Beast God.
Black Loafers	Black loafers.
Enamel Pied	2052
Suede Pied	Shining leg parts for Metis.
Solid Pied	Leather-covered leg parts for Metis.
Bisque Pied	Resin leg parts for Metis.
Alumina Pied	Light ceramic leg parts for Metis.
Titanium Pied	Light alloy leg parts for Metis.
Zircon Pied	Titanium leg parts for Metis.
Baskins	Zirconium leg parts for Metis.
Leprechaun Toe	Imitation dancing shoes for Metis.
Blood Aries	Magical leg parts for Metis.
Swan Legs	Crimson leg parts for Metis.
Ella's Slippers	Angelic leg parts for Aigis.
Aigis Legs v.100	Mysterious glass leg parts for Metis.
Centurion	The ultimate prototype leg parts for Aigis.
Vamp Loafers	Supreme pitch-black leg parts for Metis.
0x362	Comfortable leather shoes.
0x363	0x062
0x364	0x063
0x365	0x064
0x366	0x065
0x367	0x066
0x368	0x067
0x369	0x068
0x36A	0x069
0x36B	0x06A
0x36C	0x06B
0x36D	0x06C
0x36E	0x06D
0x36F	0x06E
0x370	0x06F
0x371	0x070
0x372	0x071
0x373	0x072
0x374	0x073
0x375	0x074
0x376	0x075
0x377	0x076
0x378	0x077
0x379	0x078
0x37A	0x079
0x37B	0x07A
0x37C	0x07B
0x37D	0x07C
0x37E	0x07D
0x37F	0x07E
0x380	0x07F
0x381	0x080
0x382	0x081
0x383	0x082
0x384	0x083
0x385	0x084
0x386	0x085
0x387	0x086
0x388	0x087
0x389	0x088
0x38A	0x089
0x38B	0x08A
0x38C	0x08B
0x38D	0x08C
0x38E	0x08D
0x38F	0x08E
0x390	0x08F
0x391	0x090
0x392	0x091
0x393	0x092
0x394	0x093
0x395	0x094
0x396	0x095
0x397	0x096
0x398	0x097
0x399	0x098
0x39A	0x099
0x39B	0x09A
0x39C	0x09B
0x39D	0x09C
0x39E	0x09D
0x39F	0x09E
0x3A0	0x09F
0x3A1	0x0A0
0x3A2	0x0A1
0x3A3	0x0A2
0x3A4	0x0A3
0x3A5	0x0A4
0x3A6	0x0A5
0x3A7	0x0A6
0x3A8	0x0A7
0x3A9	0x0A8
0x3AA	0x0A9
0x3AB	0x0AA
0x3AC	0x0AB
0x3AD	0x0AC
0x3AE	0x0AD
0x3AF	0x0AE
0x3B0	0x0AF
0x3B1	0x0B0
0x3B2	0x0B1
0x3B3	0x0B2
0x3B4	0x0B3
0x3B5	0x0B4
0x3B6	0x0B5
0x3B7	0x0B6
0x3B8	0x0B7
0x3B9	0x0B8
0x3BA	0x0B9
0x3BB	0x0BA
0x3BC	0x0BB
0x3BD	0x0BC
0x3BE	0x0BD
0x3BF	0x0BE
0x3C0	0x0BF
0x3C1	0x0C0
0x3C2	0x0C1
0x3C3	0x0C2
0x3C4	0x0C3
0x3C5	0x0C4
0x3C6	0x0C5
0x3C7	0x0C6
0x3C8	0x0C7
0x3C9	0x0C8
0x3CA	0x0C9
0x3CB	0x0CA
0x3CC	0x0CB
0x3CD	0x0CC
0x3CE	0x0CD
0x3CF	0x0CE
0x3D0	0x0CF
0x3D1	0x0D0
0x3D2	0x0D1
0x3D3	0x0D2
0x3D4	0x0D3
0x3D5	0x0D4
0x3D6	0x0D5
0x3D7	0x0D6
0x3D8	0x0D7
0x3D9	0x0D8
0x3DA	0x0D9
0x3DB	0x0DA
0x3DC	0x0DB
0x3DD	0x0DC
0x3DE	0x0DD
