Power Band	Strength increases by 1.
Mega Power Band	Strength increases by 5.
Giga Power Band	Strength increases by 10.
Tera Power Band	Strength increases by 4.
Magic Band	Magic increases by 1.
Mega Magic Band	Magic increases by 5.
Giga Magic Band	Magic increases by 10.
Tera Magic Band	Magic increases by 4.
Guard Band	Endurance increases by 1.
Mega Guard Band	Endurance increases by 5.
Giga Guard Band	Endurance increases by 10.
Tera Guard Band	Endurance increases by 4.
Speed Band	Agility increases by 1.
Mega Speed Band	Agility increases by 5.
Giga Speed Band	Agility increases by 10.
Tera Speed Band	Agility increases by 4.
Luck Band	Luck increases by 1.
Mega Luck Band	Luck increases by 5.
Giga Luck Band	Luck increases by 10.
Tera Luck Band	Luck increases by 4.
0x415	???
Black God's Rock	Nullifies Slash damage.
0x417	???
0x418	???
0x419	???
Kohryuu's Scale	Nullifies Strike damage.
0x41B	???
0x41C	???
0x41D	???
Mystic Rock	Nullifies Pierce damage.
0x41F	???
0x420	???
0x421	???
Blazing Flame	Nullifies Fire damage.
0x423	???
0x424	???
0x425	???
Frozen Stone	Nullifies Ice damage.
0x427	???
0x428	???
0x429	???
Lightning Gloves	Nullifies Electricity damage.
0x42B	???
0x42C	???
0x3AD	???
Storm Ring	Nullifies Wind damage.
0x42F	???
0x430	???
White Feather	Resistance against Light.
Radiant Halo	Nullifies Light.
0x433	???
Black Feather	Resistance against Darkness.
Ring of Darkness	Nullifies Darkness.
0x436	???
Narcissus Flower	Prevents you from becoming Charmed.
Staunch Anklets	Prevents you from becoming Distressed.
Unbreakable Cage	Prevents you from becoming Panicked.
Serpent's Eye	Prevents you from becoming Frightened.
Ring of Serenity	Prevents you from becoming Enraged.
Frost Cap	Prevents you from being Frozen.
Lightning Armlet	Prevents you from being Shocked.
Alicorn	Prevents you from being Poisoned.
Tome of the Void	Protects you from ailments.
Omnipotent Orb	Nullifies all attacks except Almighty.
Slash Ward	Increases dodge against Slash attacks.
Slash Repeller	Higher chance of dodge against Slash attacks.
Strike Ward	Increases chance of dodge against Strikes.
Strike Repeller	Higher chance of dodge against Strikes.
Pierce Ward	Increases chance of dodge against Piercing.
Pierce Repeller	Higher chance of dodge against Piercing.
Flame Charm	Increases dodge against Fire attacks.
Eye of Flame	Higher chance of dodge against Fire attacks.
Ice Charm	Increases dodge against Ice attacks.
Eye of Ice	Higher chance of dodge against Ice attacks.
Wind Charm	Increases dodge against Wind attacks.
Eye of Wind	Higher chance of dodge against Wind attacks.
