Velvet Key	A key that unlocks the door to the Velvet Room.
Steel Fragment	A heavy piece of steel from Rampage Drive.
0x603	5003
Handmade Choker	A choker Kenji made. Enables fusion of Surt.
0x605	eventitem_005
0x606	eventitem_006
Cheap Lighter	Proof Hidetoshi solved the smoking incident. Enables fusion of Odin.
Persimmon Fruit	Fruit from Bunkichi's son's tree. Enables fusion of Kohryu.
Yukari's Strap	Yukari's treasured cell phone strap. Enables fusion of Cybele.
Headphones	The headphones Fuuka made. Enables fusion of Scathach.
Motorcycle Key	The key to Mitsuru's motorcycle. Enables fusion of Alilat.
Kids' Letter	Letters from the kids Yuko trained. Enables fusion of Siegfried.
Manga	A manga by Chihiro's favorite artist. Enables fusion of Melchizedek.
Sports Tape	A roll of sports tape from Kazushi. Enables fusion of Thor.
0x60F	eventitem_00F
Screenshot Data	The message Maya left in the MMORPG. Enables fusion of Arahabaki.
Award Letter	Notification of Keisuke's prize. Enables fusion of Norn.
Charred Screw	Broken component from Aigis' body. Enables fusion of Metatron.
Bead Ring	The ring Maiko made. Enables fusion of Attis.
0x614	eventitem_014
Money Pouch	Pouch Bebe made from Japanese cloth. Enables fusion of Yurlungur.
Thank-you Letter	Letter President Tanaka received. Enables fusion of Beelzebub.
Reserve Tag	Mutatsu's bottle tag. Enables fusion of Chi You.
Car Key	A car key received from Mamoru. Enables fusion of Helel.
Gourmet License	A license received from Nozomi. Enables fusion of Sandalphon.
Worn Notebook	A notebook containing Akinari's story. Enables fusion of Asura.
0x61B	501B
Red Fountain Pen	A blood-red fountain pen.
Persimmon Leaf	A fallen leaf from a young tree.
0x61E	501E
0x61F	501F
Platinum Bookmark	Elizabeth's precious bookmark.
Torn Black Cloth	Enables the fusion of Pale Rider (Death).
Sugar Key	Enables the fusion of King Frost (Emperor).
Machine Core	Enables the fusion of Nata Taishi (Chariot).
Marionette	Enables the fusion of Nebiros (Hermit).
Lily Petal	Enables the fusion of Lilith (Devil).
Masakados	Enables the fusion of Masakado (Tower).
Old Document 01	A 10-year-old document found in Tartarus.
Old Document 02	A 10-year-old document found in Tartarus.
Old Document 03	A 10-year-old document found in Tartarus.
Old Document 04	A 10-year-old document found in Tartarus.
Old Document 05	A 10-year-old document found in Tartarus.
Old Document 06	A 10-year-old document found in Tartarus.
Old Document 07	A 10-year-old document found in Tartarus.
Old Document 08	A 10-year-old document found in Tartarus.
0x62F	eventitem_047
Small Cheongsam	Enables the fusion of Hua Po (Magician).
Book of Ancients	Enables the fusion of Thoth (Temperance).
Blue Scale	Enables the fusion of Empusa (Fortune).
Rainbow Feather	Enables the fusion of Kartikeya (Star).
Red Muffler	Enables the fusion of Hell Biker (Hanged Man).
Kanetsugu's Helm	Replica of a Sengoku- era helm.
Colorless Mask	Enables the fusion of Orpheus Telos (Fool).
Pine Resin	Powder used for archery. Looks like soybean powder.
Fencing Epee	The triangular tip of the sword is hard to bend.
Glasses Wipe	It's wiped things besides his glasses...
Poinsettia	A plant with red leaves.
Handheld Game	The "Odin Cube" disc is already in the tray.
Fruit Knife	It seems old, but it's perfectly maintained.
Featherman R	It's not a doll. It's an action figure.
Amateur Protein	Very effective protein for amateur athletes.
Gourmet Dog Food	Expensive dog food fit for wild animals.
Machine Oil	Used to maintain Aigis's advanced weaponry.
Key of Time	Combined key needed to open the last door.
True Key	Key that opens the door to the outside world.
0x643	eventitem_067
0x644	eventitem_068
0x645	eventitem_069
0x646	eventitem_070
0x647	eventitem_071
0x648	eventitem_072
0x649	eventitem_073
0x64A	eventitem_074
0x64B	eventitem_075
0x64C	eventitem_076
0x64D	eventitem_077
0x64E	eventitem_078
Dirty Collar	The collar Koromaru gave. Enables fusion of Siegfried.
Rabbit Doll	The doll Akihiko chose. Enables fusion of Helel.
Silver Key	The key to Ken's house. Enables fusion of Melchizedek.
Leather Watch	A gift from Shinjiro. Enables fusion of Sandalphon.
Pig Key Holder	Junpei's old house keys. Enables fusion of Surt.
Annotated Guide	Proof of Rio's efforts. Enables fusion of Thor.
PA Recording	Proof of Saori's courage. Enables fusion of Arahabaki.
Faint Glow Ring	A ring colored like the moon. Enables fusion of Norn.
Fragrant Bookmark	Theo's precious bookmark.
Jade Bookmark	Margaret's precious bookmark.
0x659	eventitem_089
0x65A	eventitem_090
0x65B	eventitem_091
0x65C	eventitem_092
0x65D	eventitem_093
0x65E	eventitem_094
0x65F	eventitem_095
Old Pocketwatch	A splendid, well- maintained pocket watch.
Dog Food	Made at cooking club. A dog would like this.
0x662	eventitem_098
0x663	eventitem_099
0x664	eventitem_100
0x665	eventitem_101
0x666	eventitem_102
0x667	eventitem_103
0x668	eventitem_104
0x669	eventitem_105
0x66A	eventitem_106
0x66B	eventitem_107
0x66C	eventitem_108
0x66D	eventitem_109
0x66E	eventitem_110
0x66F	eventitem_111
0x670	eventitem_112
0x671	eventitem_113
0x672	eventitem_114
0x673	eventitem_115
0x674	eventitem_116
0x675	eventitem_117
0x676	eventitem_118
0x677	eventitem_119
0x678	eventitem_120
0x679	eventitem_121
0x67A	eventitem_122
0x67B	eventitem_123
0x67C	eventitem_124
0x67D	eventitem_125
0x67E	eventitem_126
0x67F	eventitem_127
0x680	eventitem_128
0x681	eventitem_129
0x682	eventitem_130
0x683	eventitem_131
0x684	eventitem_132
0x685	eventitem_133
0x686	eventitem_134
0x687	eventitem_135
0x688	eventitem_136
0x689	eventitem_137
0x68A	eventitem_138
0x68B	eventitem_139
0x68C	eventitem_140
0x68D	eventitem_141
0x68E	eventitem_142
0x68F	eventitem_143
