weapon_001	It looks real, but...
weapon_002	Famous katana that banishes darkness.
weapon_003	Katana with crescent- shaped patterns.
weapon_004	Cursed katana that slices everything.
weapon_005	Famous katana that purifies illness.
weapon_006	Katana owned by the monk Nichiren.
weapon_007	Long, heavy two-handed sword.
weapon_008	Sword requiring both hands.
weapon_009	Unusually long two- handed sword.
weapon_00A	Sword with a mysterious glow.
weapon_00B	Sword that symbolizes turmoil.
weapon_00C	Mystical sword of Siegfried.
weapon_00D	A huge sword, wielded with both hands.
weapon_00E	0x00E
weapon_00F	0x00F
weapon_010	A humongous blade, more like a lump of metal.
weapon_011	Broadsword made of the Philosopher's Stone.
weapon_012	Its name means "hard lightning."
weapon_013	A basic fused katana.
weapon_014	A basic fused sword.
weapon_015	A basic fused 2h sword.
weapon_016	Bat with nails driven into it.
weapon_017	Sword capable of destroying the world.
weapon_018	Sword once used by General Masakado.
weapon_019	Katana with many different uses.
weapon_01A	0x01A
weapon_01B	Very heavy and thick katana.
weapon_01C	Light, sharp katana.
weapon_01D	Katana with good cutting power.
weapon_01E	0x01E
weapon_01F	0x01F
weapon_020	A thrusting practice sword.
weapon_021	Sword designed for thrusting.
weapon_022	A rust-proof sword.
weapon_023	Rapier made from Damascus steel.
weapon_024	Short sword used for defense.
weapon_025	Rapier that's light as a feather.
weapon_026	Sword that's easy to wield with one hand.
weapon_027	Brave champion's sword.
weapon_028	Saber crafted from silver.
weapon_029	A sword made by refining 100 times.
weapon_02A	0x02A
weapon_02B	A sword named after the Big Dipper.
weapon_02C	Very easy-to-use sword.
weapon_02D	Sword with a very sharp tip.
weapon_02E	Short sword designed for thrusting.
weapon_02F	Sword adorned with a moon god's symbol.
weapon_030	Sword that emits a cold light.
weapon_031	Legendary holy sword.
weapon_032	A basic fused 1h sword.
weapon_033	A basic fused curved sword.
weapon_034	A basic fused katana.
weapon_035	Old metal pipe with some rust stains.
weapon_036	Golden sword held by the archangel Michael.
weapon_037	Sword made of a fallen angel's jewels.
weapon_038	A wakizashi with a 60cm blade.
weapon_039	A work of art forged by Masamune.
weapon_03A	Musashi Miyamoto's famed katana.
weapon_03B	The katana used by Yoshitsune Minamoto.
weapon_03C	The family treasure of the Taira clan.
weapon_03D	A katana said to have sliced demons.
weapon_03E	A basic fused wakizashi.
weapon_03F	Some legendary kitchen knife.
weapon_040	0x040
weapon_041	Gloves of very light material.
weapon_042	Knuckles of barely contained anger.
weapon_043	Gloves of state-of- the-art technology.
weapon_044	Gloves for boxers.
weapon_045	Legendary boxing gloves.
weapon_046	Replica gloves of a champion.
weapon_047	Perfectly balanced knuckles.
weapon_048	Knuckles designed to deal heavy damage.
weapon_049	Simple, effective knuckles.
weapon_04A	Fist spurs that have drawn much blood.
weapon_04B	Knuckles of exceptional power.
weapon_04C	Fist spurs that are light as air.
weapon_04D	Fist spurs resembling animal fangs.
weapon_04E	Cestus with sharp blades attached.
weapon_04F	Knuckles made from a famous sword.
weapon_050	Delivers punches of divine punishment.
weapon_051	Fist spurs that resemble dragon fangs.
weapon_052	Basic fused gloves.
weapon_053	Basic fused knuckles.
weapon_054	A basic fused cestus.
weapon_055	The Jack Brothers' gloves.
weapon_056	Gloves used for holy rituals.
weapon_057	Fist spurs with demonic power.
weapon_058	0x058
weapon_059	0x059
weapon_05A	0x05A
weapon_05B	0x05B
weapon_05C	0x05C
weapon_05D	0x05D
weapon_05E	0x05E
weapon_05F	0x05F
weapon_060	Labeled "Increases Your Willpower!"
weapon_061	0x061
weapon_062	Rod that can smash through shields.
weapon_063	0x063
weapon_064	A murderer's assault weapon.
weapon_065	A famous blacksmith's creation.
weapon_066	0x066
weapon_067	A striking weapon topped with a cross.
weapon_068	Axe used in executions.
weapon_069	Axe used to destroy the opponent's armor.
weapon_06A	Axe that ends criminals' anguish.
weapon_06B	Easy-to-use, yet very lethal axe.
weapon_06C	0x06C
weapon_06D	A gigantic hammer.
weapon_06E	Hammer blessed by the goddess of earth.
weapon_06F	Hammer of brutal power.
weapon_070	Fairies are said to have made this hammer.
weapon_071	Hammer of the brave hero-king.
weapon_072	A basic fused club.
weapon_073	A basic fused axe.
weapon_074	A basic fused hammer.
weapon_075	It says, "Gekkoukan High School."
weapon_076	Beelzebub's staff.
weapon_077	A stone hammer with holy powers.
weapon_078	An enhanced version of the Cross Rod.
weapon_079	0x079
weapon_07A	0x07A
weapon_07B	0x07B
weapon_07C	0x07C
weapon_07D	0x07D
weapon_07E	0x07E
weapon_07F	0x07F
weapon_080	Spear with omega-level power.
weapon_081	Well-made lance for piercing.
weapon_082	Lance that brings a swift death.
weapon_083	Lightweight but strong spear.
weapon_084	King Arthur's famous lance.
weapon_085	The mystical spear held by Cu Chulainn.
weapon_086	Long weapon strengthened by battle.
