Blank	blank
Wristwatch	A men's wristwatch.
Plain Ring	A ring with a simple\ndesign.
Aluminum Badge	A badge with a cute\ndesign.
Hair Band	A headband to keep\nhair in order.
Spiral Earrings	A pair of simple but\nstylish silver earrings.
Silver Locket	A locket attached to a\nweathered chain.
Bear Ears	A headband with fuzzy\nbear ears.
Ribbon	A plain, cute ribbon.
0x209	Accessory 209
Worn Rosary	This rusted bracelet no\nlonger has any effects.
Fire Vow	Increases Fire damage\nby 10%.
Flame Vow	Increases Fire damage\nby 20%.
Blaze Vow	Increases Fire damage\nby 30%.
Oven Vow	Increases Fire damage\nby 40%.
Kagutsuchi Vow	Increases Fire damage\nby 50%.
Ice Vow	Increases Ice damage\nby 10%.
Snow Vow	Increases Ice damage\nby 20%.
Blizzard Vow	Increases Ice damage\nby 30%.
Icicle Vow	Increases Ice damage\nby 40%.
Kuraokami Vow	Increases Ice damage\nby 50%.
Wind Vow	Increases Wind damage\nby 10%.
Gust Vow	Increases Wind damage\nby 20%.
Storm Vow	Increases Wind damage\nby 30%.
Gale Vow	Increases Wind damage\nby 40%.
Shinatobe Vow	Increases Wind damage\nby 50%.
Thunder Vow	Increases Electricity\ndamage by 10%.
Spark Vow	Increases Electricity\ndamage by 20%.
Volt Vow	Increases Electricity\ndamage by 30%.
Lightning Vow	Increases Electricity\ndamage by 40%.
Takefutsu Vow	Increases Electricity\ndamage by 50%.
Worn Talisman	This damaged talisman no\nlonger has any effects.
Fire Pin	Reduces Fire damage\nby 10%.
Flame Pin	Reduces Fire damage\nby 20%.
Blaze Pin	Reduces Fire damage\nby 30%.
Oven Pin	Reduces Fire damage\nby 40%.
Kagutsuchi Pin	Reduces Fire damage\nby 50%.
Ice Pin	Reduces Ice damage\nby 10%.
Snow Pin	Reduces Ice damage\nby 20%.
Blizzard Pin	Reduces Ice damage\nby 30%.
Icicle Pin	Reduces Ice damage\nby 40%.
Kuraokami Pin	Reduces Ice damage\nby 50%.
Wind Pin	Reduces Wind damage\nby 10%.
Gust Pin	Reduces Wind damage\nby 20%.
Storm Pin	Reduces Wind damage\nby 30%.
Gale Pin	Reduces Wind damage\nby 40%.
Shinatobe Pin	Reduces Wind damage\nby 50%.
Thunder Pin	Reduces Electricity\ndamage by 10%.
Spark Pin	Reduces Electricity\ndamage by 20%.
Volt Pin	Reduces Electricity\ndamage by 30%.
Lightning Pin	Reduces Electricity\ndamage by 40%.
Takefutsu Pin	Reduces Electricity\ndamage by 50%.
Worn Evil Eye	Dried Evil Eye
Marksman Eye 1	Raises Hit Rate by 10%.
Marksman Eye 2	Raises Hit Rate by 20%.
Marksman Eye 3	Raises Hit Rate by 30%.
Marksman Eye 4	Raises Hit Rate by 40%.
Marksman Eye 5	Raises Hit Rate by 50%.
Old Prayer Beads	Several broken beads.
Sight Beads 1	Raises Evasion Rate\nby 10%.
Sight Beads 2	Raises Evasion Rate\nby 20%.
Sight Beads 3	Raises Evasion Rate\nby 30%.
Sight Beads 4	Raises Evasion Rate\nby 40%.
Sight Beads 5	Raises Evasion Rate\nby 50%.
Disinfectant	Reduces the chance\nof Poison.
Tranquil Buddha	Reduces the chance\nof Panic.
Bravery Vessel	Reduces the chance\nof Fear.
