Blank	Item 300
Peach Seed	Restores 20HP to an\nally.
Medicine	Restores 100HP to an\nally.
Ointment	Restores 200HP to an\nally.
Antibiotic Gel	Restores 400HP to an\nally.
Life Stone	Restores 30% of an\nally's max HP.
Bead	Fully restores an\nally's HP.
Value Medicine	Restores 100HP to all\nallies.
Medical Kit	Restores 200HP to all\nallies.
Macca Leaf	Restores 400HP to all\nallies.
Bead Chain	Fully restores party's\nHP.
Soul Drop	Restores 10SP to an\nally.
Snuff Soul	Restores 50SP to an\nally.
Chewing Soul	Restores 100SP to an\nally.
Soul Food	Restores all of an\nally's SP.
Revival Bead	Revives an ally, and\nrestores 50% of HP.
Balm of Life	Revives an ally, and\nfully restores HP.
Royal Jelly	Cures Enervation and\nExhaustion (1 ally).
Dokudami Tea	Cures Poison (1 ally).
Mouthwash	Cures Silence\n(1 ally).
Sedative	Cures Panic, Fear, and\nRage (1 ally).
Stimulant	Cures Dizzy and Down\n(1 ally).
Goho-M	Leave the dungeon.
Vanish Ball	100% chance of escaping\na battle (some battles\nare inescapable).
Soma	Fully restores\nparty's HP and SP.
Amrita Soda	Cure all ailments\nbesides Down and\nUnconscious (party).
Hiranya	Cure all ailments\nbesides Down and\nUnconscious (1 ally).
Muscle Drink	Restores 100HP to an\nally. It may cause the\nRage ailment.
Odd Morsel	Restores 100HP to an\nally. It may cause the\nFear ailment.
Rancid Gravy	Restores 100HP to an\nally. It may cause the\nSilence ailment.
Moon Tsukubame	Revives all allies with full\nHP and SP if the protagonist\nfalls unconscious.
Magic Mirror	Barrier that reflects\nmagic one time\n(1 ally).
Physical Mirror	Barrier that reflects\nphys atk one time\n(1 ally).
Assault Signal	Briefly raises the\nentire party's\nAttack.
Super Sonic	Briefly raises the\nentire party's\nEvasion/Hit rate.
Diamond Shield	Briefly raises the\nentire party's\nDefense.
Purifying Water	Nullifies stat bonuses\n(all foes).
Purifying Salt	Nullifies stat\npenalties (party).
Firecracker	Deals 50 points of Fire\ndamage to 1 enemy.
