Blank	Eventitem 
Velvet Key	An ultramarine-colored\nkey given to you by\nIgor.
Mitsuo's Photo	A picture of a boy.\nThe name "Mitsuo Kubo"\nis written on it.
0x403	Eventitem 403
0x404	Eventitem 404
0x405	Eventitem 405
0x406	Eventitem 406
0x407	Eventitem 407
0x408	Eventitem 408
0x409	Eventitem 409
0x40A	Eventitem 40A
0x40B	Eventitem 40B
0x40C	Eventitem 40C
0x40D	Eventitem 40D
0x40E	Eventitem 40E
0x40F	Eventitem 40F
0x410	Eventitem 410
0x411	Eventitem 411
0x412	Eventitem 412
0x413	Eventitem 413
0x414	Eventitem 414
0x415	Eventitem 415
0x416	Eventitem 416
0x417	Eventitem 417
Spiral Bookmark	Margaret's precious\nbookmark.
Orb of Sight	A jewel that leads\nseekers to the truth.
Aqua Invitation	It says, "I will be\nwaiting for you at\nHeaven's end. -Margaret"
0x41B	Eventitem 41B
0x41C	Eventitem 41C
Fishhook	A hook that was stuck\nin a fish's throat at\nShiroku Pub.
Deep-Sea Rod	A sturdy fishing rod\nthat the fishing freak\nused in the ocean.
Butterfly Net	A bug net. There seems\nto be a name written on\nit too, but it's faded.
River Rod	A basic fishing rod\nthe fishing freak used\nfor river fishing.
Angler's Set	The fishing freak's\nhandmade fishing rod.\nNeeded to catch Guardian.
0x422	Eventitem 422
0x423	Eventitem 423
0x424	Eventitem 424
0x425	Eventitem 425
0x425	Eventitem 426
0x427	Eventitem 427
0x428	Eventitem 428
0x429	Eventitem 429
0x42A	Eventitem 42A
0x42B	Eventitem 42B
0x42C	Eventitem 42C
0x42D	Eventitem 42D
0x42E	Eventitem 42E
0x42F	Eventitem 42F
0x430	Eventitem 430
Scooter License	A license to operate\nvehicles that are less\nthan 50cc.
Glass Key	A key obtained at\nYukiko's Castle.
Bathhouse Key	A key obtained from the\nSteamy Bathhouse.
Research Card	A key for researchers\nfound in the Secret\nResearch Lab.
Leader Card	A key for executives\nfound in the Secret\nResearch Lab.
Orb of Darkness	A pitch-black sphere\nobtained at Void Quest.
0x437	Eventitem 437
0x438	Eventitem 438
0x439	Eventitem 439
