Blank	Unused Material
Coward's Orb	Part of Cowardly Maya.\nThe owner of Daidara may\nbe able to use it...
Selfish Ornament	Part of Selfish Basalt.\nThe owner of Daidara may\nbe able to use it...
4th Girl's Talc	Part of Rainy Sister 4.\nThe owner of Daidara may\nbe able to use it...
Notched Heart	Unused Material
Light Iron	Part of Magic Hand.\nThe owner of Daidara may\nbe able to use it...
Thick Hide	Part of Dancing Hand.\nThe owner of Daidara may\nbe able to use it...
Glossy Clasp	Part of Killing Hand.\nThe owner of Daidara may\nbe able to use it...
Electric Rock	Part of Almighty Hand.\nThe owner of Daidara may\nbe able to use it...
Magic Cross	Part of Laughing Table.\nThe owner of Daidara may\nbe able to use it...
Brave Lumber	Part of Crying Table.\nThe owner of Daidara may\nbe able to use it...
Divine Bark	Part of Angry Table.\nThe owner of Daidara may\nbe able to use it...
Thought Cross	Part of Sleeping Table.\nThe owner of Daidara may\nbe able to use it...
Supple Metal	Part of Magical Magus.\nThe owner of Daidara may\nbe able to use it...
Smooth Fabric	Part of Wondrous Magus.\nThe owner of Daidara may\nbe able to use it...
Smart Clasp	Part of Prime Magus.\nThe owner of Daidara may\nbe able to use it...
Living Metal	Part of Grand Magus.\nThe owner of Daidara may\nbe able to use it...
Big Incisor	Part of Lying Hablerie.\nThe owner of Daidara may\nbe able to use it...
Sturdy Molar	Part of Forgotten Hablerie.\nThe owner of Daidara may\nbe able to use it...
Sharp Premolar	Part of Flattering Hablerie.\nThe owner of Daidara may\nbe able to use it...
Diamond Canine	Part of Agitating Hablerie.\nThe owner of Daidara may\nbe able to use it...
Brutal Orb	Part of Merciless Maya.\nThe owner of Daidara may\nbe able to use it...
Powered Iron	Part of Autonomic Basalt.\nThe owner of Daidara may\nbe able to use it...
4th Boy's Talc	Part of Rainy Brother 4.\nThe owner of Daidara may\nbe able to use it...
Bluff Mask	Mask of the Corrading Ruler.\nThe owner of Daidara may\nbe able to use it...
Curious Line	Part of Cloudgirl Pot.\nThe owner of Daidara may\nbe able to use it...
Rare Poncho	Part of Rainy Pot.\nThe owner of Daidara may\nbe able to use it...
Orb of Love	Part of Yearning Pot.\nThe owner of Daidara may\nbe able to use it...
Klein Bottle	Part of Mistress Pot.\nThe owner of Daidara may\nbe able to use it...
Paleograph	Part of Spurious Book.\nThe owner of Daidara may\nbe able to use it...
Crimson Cover	Part of Maniacal Book.\nThe owner of Daidara may\nbe able to use it...
Word String	Part of Silent Book.\nThe owner of Daidara may\nbe able to use it...
Prophecy Orb	Part of Wrathful Book.\nThe owner of Daidara may\nbe able to use it...
Decorative Stone	Part of Tranquil Idol.\nThe owner of Daidara may\nbe able to use it...
Heavy Iron Lump	Part of Liberating Idol.\nThe owner of Daidara may\nbe able to use it...
Trial Obsidian	Part of Leading Idol.\nThe owner of Daidara may\nbe able to use it...
Calm Marble	Part of Vehement Idol. \nThe owner of Daidara may\nbe able to use it...
Force Rock	Part of Primative Idol.\nThe owner of Daidara may\nbe able to use it...
Idea Paper	Part of Calm Pesce.\nThe owner of Daidara may\nbe able to use it...
