Default Clothing	Default Clothing
Winter Yaso Outfit	Yasogami High winter\nuniform for men.
Winter Yaso Outfit	Yasogami High winter\nuniform for men.
Winter Yaso Outfit	Yasogami High winter\nuniform for women.
Winter Yaso Outfit	Yasogami High winter\nuniform for women.
Blank	Unused Costume
Winter Yaso Outfit	Yasogami High winter\nuniform for men.
Winter Yaso Outfit	Yasogami High winter\nuniform for men.
Teddie Costume	A beary cute costume\nthat's beloved by all.
Summer Yaso Outfit	Yasogami High summer\nuniform for men.
Summer Yaso Outfit	Yasogami High summer\nuniform for men.
Summer Yaso Outfit	Yasogami High summer\nuniform for women.
Summer Yaso Outfit	Yasogami High summer\nuniform for women.
Blank	Unused Costume
Summer Yaso Outfit	Yasogami High summer\nuniform for men.
Summer Yaso Outfit	Yasogami High summer\nuniform for men.
Blank	Unused Costume
Summer Clothes	Simple clothes for\nInaba's hot summers.
Summer Clothes	Simple clothes for\nInaba's hot summers.
Summer Clothes	Simple clothes for\nInaba's hot summers.
Summer Clothes	Simple clothes for\nInaba's hot summers.
Blank	Unused Costume
Summer Clothes	Simple clothes for\nInaba's hot summers.
Summer Clothes	Simple clothes for\nInaba's hot summers.
Summer Clothes	Summer clothes for Teddie\nbought on Yosuke's tab.
Winter Clothes	Warm clothes for\nInaba's cold winters.
Winter Clothes	Warm clothes for\nInaba's cold winters.
Winter Clothes	Warm clothes for\nInaba's cold winters.
Winter Clothes	Warm clothes for\nInaba's cold winters.
Blank	Unused Costume
Winter Clothes	Warm clothes for\nInaba's cold winters.
Winter Clothes	Warm clothes for\nInaba's cold winters.
Blank	Unused Costume
Gekkou Uniform	Classy Gekkoukan High\nuniform for men.
Gekkou Uniform	Classy Gekkoukan High\nuniform for men.
Gekkou Uniform	Classy Gekkoukan High\nuniform for women.
Gekkou Uniform	Classy Gekkoukan High\nuniform for women.
Blank	Unused Costume
Gekkou Uniform	Classy Gekkoukan High\nuniform for men.
Gekkou Uniform	Classy Gekkoukan High\nuniform for women.
Gekkou Uniform	Classy Gekkoukan High\nuniform for men.
Drag Costume	Traditional girl gang style.\nWith a shinai over your\nshoulder, you rule the school.
Drag Costume	The red hairtie, big ribbon,\nand glasses are an authentic\nschoolgirl costume.
Blank	Unused Costume
Blank	Unused Costume
Blank	Unused Costume
Drag Costume	A white dress patterned after\na famous movie star. Be careful\nwalking over street vents.
Blank	Unused Costume
Drag Costume	He's all set to adventure\nin TVland. Gimme your hearts,\nShadows!
Cool Trunks	A regular set of swim trunks.\nThe odd patterns are quite\ncharming.
Summer Trunks	Swim trunks with flashy\npatterns. Wearing them is\nlike being in paradise!
Striped Bikini	A sporty yellow bikini\nwith stripes.
Trim Bikini	A white bikini with a skirt.\nWearing it makes you feel\nlike a lady.
Blank	Unused Costume
Dangerous Briefs	A stylish, black swimsuit\nsuitable even for\nprofessional swimmers.
School Swimsuit	Women's Yasogami High\nswimsuit. Rarely used, since\nthe school has no pool.
Sailor Trunks	The refreshing light blue and\nwhite will make you feel like\na real sailor.
Yaso High Jersey	Yasogami High P.E. jersey.\nCarries a sense of nostalgia\nonly found in rural schools.
Yaso High Jersey	Yasogami High P.E. jersey.\nCarries a sense of nostalgia\nonly found in rural schools.
Yaso High Jersey	Yasogami High P.E. jersey.\nCarries a sense of nostalgia\nonly found in rural schools.
Yaso High Jersey	Yasogami High P.E. jersey.\nCarries a sense of nostalgia\nonly found in rural schools.
Blank	Unused Costume
