Blank	Unused Evenitemgold
Unfinished Scooter	A silver scooter model.\nIt is unfinished.
Unfinished Scooter	An orange scooter model.\nIt is unfinished.
Unfinished Scooter	A light blue scooter\nmodel. It is unfinished.
Unfinished Scooter	A red scooter model.\nIt is unfinished.
Unfinished Scooter	A pink scooter model.\nIt is unfinished.
Unfinished Scooter	A blue scooter model.\nIt is unfinished.
0x82F	Unused Evenitemgold
Jack Frost Doll	A cute Jack Frost doll.
Black Frost Doll	A cute Black Frost doll.
King Frost Doll	A cute King Frost doll.
Pyro Jack Doll	A cute Pyro Jack doll.
Neko Shogun Doll	A cute Neko Shogun doll.
Silver Scooter	A mature silver scooter\nmodel.
Orange Scooter	A cool orange scooter\nmodel.
Light Blue Scooter	A sturdy light blue\nscooter model.
Red Scooter	A retro red scooter\nmodel.
Pink Scooter	A cute pink scooter\nmodel.
Blue Scooter	A smart blue scooter\nmodel.
0x813	Unused Evenitemgold
0x814	Unused Evenitemgold
0x815	Unused Evenitemgold
0x816	Unused Evenitemgold
0x817	Unused Evenitemgold
0x818	Unused Evenitemgold
0x819	Unused Evenitemgold
0x81A	Unused Evenitemgold
0x81B	Unused Evenitemgold
0x81C	Unused Evenitemgold
0x81D	Unused Evenitemgold
0x81E	Unused Evenitemgold
0x81F	Unused Evenitemgold
0x820	Unused Evenitemgold
0x821	Unused Evenitemgold
0x822	Unused Evenitemgold
0x823	Unused Evenitemgold
0x824	Unused Evenitemgold
0x825	Unused Evenitemgold
0x826	Unused Evenitemgold
0x827	Unused Evenitemgold
0x828	Unused Evenitemgold
Tomato Seedling	A tomato seedling. Takes\naround 5 days to harvest.
Eggplant Seedling	An eggplant seedling. Takes\naround 9 days to harvest.
Daikon Seedling	A daikon seedling. Takes\naround 5 days to harvest.
Barrier Corn	A corn seedling. Takes\naround 8 days to harvest. Can\nyield 2 types of produce.
Cabbage Seedling	A cabbage seedling. Takes\naround 6 days to harvest.
Wall Paprika	A paprika seedling. Takes\naround 7 days to harvest. Can\nyield 4 types of produce.
Wheat Seedling	A wheat seedling. Takes\naround 6 days to harvest.
Melon Seedling	A melon seedling. Takes\naround 10 days to harvest.
Tiny Soul Tomato	Recovers 20SP for one ally.
Scapegoat Eggplant	Takes your place once when\nhit with instant death magic.
Return Daikon	Lets you leave the dungeon.
Tetracorn	Allows one ally to reflect\none physical attack.
Hiranya Cabbage	Heals one ally's ailments\nother than Down/KO.
Red Paprika	Gives one ally Fire\nresistance for 3 turns.
Crack Wheat	Opens a locked treasure box.
Bead Melon	Fully restores one ally's\nHP and SP.
0x839	Unused Evenitemgold
0x83A	Unused Evenitemgold
Makaracorn	Allows one ally to reflect\none magical attack.
White Paprika	Gives one ally Ice\nresistance for 3 turns.
Blue Paprika	Gives one ally Elec\nresistance for 3 turns.
Green Paprika	Gives one ally Wind\nresistance for 3 turns.
0x83F	Unused Evenitemgold
0x840	Unused Evenitemgold
0x841	Unused Evenitemgold
0x842	Unused Evenitemgold
0x843	Unused Evenitemgold
0x844	Unused Evenitemgold
0x845	Unused Evenitemgold
0x846	Unused Evenitemgold
0x847	Unused Evenitemgold
0x848	Unused Evenitemgold
0x849	Unused Evenitemgold
0x84A	Unused Evenitemgold
0x84B	Unused Evenitemgold
0x84C	Unused Evenitemgold
0x84D	Unused Evenitemgold
0x84E	Unused Evenitemgold
0x84F	Unused Evenitemgold
Iolite	A beautiful blue-violet\nstone.
Blue Quartz	A deep blue piece of\ncrystal.
Fluorite	A pretty stone that glows\nwhen heated.
Smoky Quartz	A brown-black piece of\ncrystal.
Lepidolite	A pretty light purple\nstone.
Lemon Quartz	A bright yellow piece\nof crystal.
Olive Stone	A soft, milky green stone.
Howlite	A beautiful, shining\nwhite stone.
Milky Quartz	A soft, milky piece\nof crystal.
Bloodstone	A black stone with\nred specks.
Meteorite	A beautiful stone, said\nto be a piece of a star.
Rose Quartz	A rare, soft red\ncrystal shard.
Buffalo Stone	A shiny ammonite fossil.
Sphalerite	A sharply shining\nyellowish stone.
Aurora Quartz	A crystal shard that\nshines like the aurora.
Sunstone	A brilliantly shining\nreddish stone.
Angelite	A beautiful, sky blue\nstone.
Rainbow Quartz	A crystal shard that\nshines like the rainbow.
Moonstone	A beautiful stone with\nthe light of the moon.
Magatsu Xandrite	A darkly shining stone.
Kingyou Stone	A clear, soft yellow\nstone with small lines.
Gyosen Stone	A clear, light blue stone\nthat's grainy to the touch.
Yazu Stone	A round, small, dark\ngreen stone.
Masuda Stone	A hexagonal stone that\nlooks gold or silver.
Taisui Stone	A light blue stone with\nair pockets in it.
Mondo Stone	A translucent light blue\nstone of various patterns.
Takou Stone	A translucent, light red,\npolyhedral stone.
Meguro Stone	A black stone in the\nshape of an eyeball.
Kaiou Stone	A strong, translucent\ndark blue stone.
Ryugu Stone	An enthralling, translucent\nblue stone of dark navy.
0x86E	Unused Evenitemgold
0x86F	Unused Evenitemgold
0x870	Unused Evenitemgold
0x871	Unused Evenitemgold
0x872	Unused Evenitemgold
0x873	Unused Evenitemgold
0x874	Unused Evenitemgold
0x875	Unused Evenitemgold
0x876	Unused Evenitemgold
0x877	Unused Evenitemgold
0x878	Unused Evenitemgold
0x879	Unused Evenitemgold
0x87A	Unused Evenitemgold
0x87B	Unused Evenitemgold
0x87C	Unused Evenitemgold
0x87D	Unused Evenitemgold
0x87E	Unused Evenitemgold
0x87F	Unused Evenitemgold
0x880	Unused Evenitemgold
0x881	Unused Evenitemgold
0x882	Unused Evenitemgold
0x883	Unused Evenitemgold
0x884	Unused Evenitemgold
0x885	Unused Evenitemgold
0x886	Unused Evenitemgold
0x887	Unused Evenitemgold
0x888	Unused Evenitemgold
0x889	Unused Evenitemgold
0x88A	Unused Evenitemgold
0x88B	Unused Evenitemgold
0x88C	Unused Evenitemgold
0x88D	Unused Evenitemgold
0x88E	Unused Evenitemgold
0x88F	Unused Evenitemgold
0x890	Unused Evenitemgold
0x891	Unused Evenitemgold
0x892	Unused Evenitemgold
0x893	Unused Evenitemgold
0x894	Unused Evenitemgold
0x895	Unused Evenitemgold
0x896	Unused Evenitemgold
0x897	Unused Evenitemgold
0x898	Unused Evenitemgold
0x899	Unused Evenitemgold
0x89A	Unused Evenitemgold
0x89B	Unused Evenitemgold
0x89C	Unused Evenitemgold
0x89D	Unused Evenitemgold
0x89E	Unused Evenitemgold
0x89F	Unused Evenitemgold
0x8A0	Unused Evenitemgold
0x8A1	Unused Evenitemgold
0x8A2	Unused Evenitemgold
0x8A3	Unused Evenitemgold
0x8A4	Unused Evenitemgold
0x8A5	Unused Evenitemgold
0x8A6	Unused Evenitemgold
0x8A7	Unused Evenitemgold
0x8A8	Unused Evenitemgold
0x8A9	Unused Evenitemgold
0x8AA	Unused Evenitemgold
0x8AB	Unused Evenitemgold
0x8AC	Unused Evenitemgold
0x8AD	Unused Evenitemgold
0x8AE	Unused Evenitemgold
0x8AF	Unused Evenitemgold
0x8B0	Unused Evenitemgold
0x8B1	Unused Evenitemgold
0x8B2	Unused Evenitemgold
0x8B3	Unused Evenitemgold
0x8B4	Unused Evenitemgold
0x8B5	Unused Evenitemgold
0x8B6	Unused Evenitemgold
0x8B7	Unused Evenitemgold
0x8B8	Unused Evenitemgold
0x8B9	Unused Evenitemgold
0x8BA	Unused Evenitemgold
0x8BB	Unused Evenitemgold
0x8BC	Unused Evenitemgold
0x8BD	Unused Evenitemgold
0x8BE	Unused Evenitemgold
0x8BF	Unused Evenitemgold
0x8C0	Unused Evenitemgold
0x8C1	Unused Evenitemgold
0x8C2	Unused Evenitemgold
0x8C3	Unused Evenitemgold
0x8C4	Unused Evenitemgold
0x8C5	Unused Evenitemgold
0x8C6	Unused Evenitemgold
0x8C7	Unused Evenitemgold
0x8C8	Unused Evenitemgold
0x8C9	Unused Evenitemgold
0x8CA	Unused Evenitemgold
0x8CB	Unused Evenitemgold
0x8CC	Unused Evenitemgold
0x8CD	Unused Evenitemgold
0x8CE	Unused Evenitemgold
0x8CF	Unused Evenitemgold
0x8D0	Unused Evenitemgold
0x8D1	Unused Evenitemgold
0x8D2	Unused Evenitemgold
0x8D3	Unused Evenitemgold
0x8D4	Unused Evenitemgold
0x8D5	Unused Evenitemgold
0x8D6	Unused Evenitemgold
0x8D7	Unused Evenitemgold
0x8D8	Unused Evenitemgold
0x8D9	Unused Evenitemgold
0x8DA	Unused Evenitemgold
0x8DB	Unused Evenitemgold
0x8DC	Unused Evenitemgold
0x8DD	Unused Evenitemgold
0x8DE	Unused Evenitemgold
0x8DF	Unused Evenitemgold
0x8E0	Unused Evenitemgold
0x8E1	Unused Evenitemgold
0x8E2	Unused Evenitemgold
0x8E3	Unused Evenitemgold
0x8E4	Unused Evenitemgold
0x8E5	Unused Evenitemgold
0x8E6	Unused Evenitemgold
0x8E7	Unused Evenitemgold
0x8E8	Unused Evenitemgold
0x8E9	Unused Evenitemgold
0x8EA	Unused Evenitemgold
0x8EB	Unused Evenitemgold
0x8EC	Unused Evenitemgold
0x8ED	Unused Evenitemgold
0x8EE	Unused Evenitemgold
0x8EF	Unused Evenitemgold
0x8F0	Unused Evenitemgold
0x8F1	Unused Evenitemgold
0x8F2	Unused Evenitemgold
0x8F3	Unused Evenitemgold
0x8F4	Unused Evenitemgold
0x8F5	Unused Evenitemgold
0x8F6	Unused Evenitemgold
0x8F7	Unused Evenitemgold
0x8F8	Unused Evenitemgold
0x8F9	Unused Evenitemgold
0x8FA	Unused Evenitemgold
0x8FB	Unused Evenitemgold
0x8FC	Unused Evenitemgold
0x8FD	Unused Evenitemgold
0x8FE	Unused Evenitemgold
0x8FF	Unused Evenitemgold
