0x000	Blank
Agi	Deals light Fire\ndamage to 1 foe.
Agilao	Deals medium Fire\ndamage to 1 foe.
Agidyne	Deals heavy Fire\ndamage to 1 foe.
Maragi	Deals light Fire\ndamage to all foes.
Maragion	Deals medium Fire\ndamage to all foes.
Maragidyne	Deals heavy Fire\ndamage to all foes.
Prominence	Deals heavy Fire\ndamage to all foes.
Ragnarok	Deals severe Fire\ndamage to 1 foe.
Immortal Flame	Deals severe Fire\ndamage to all foes.
Tiny Soul Tomato	Skill00A
Tetracorn	Skill00B
Run Amok	Skill00C
Shake Off	Skill00D
Garu	Deals light Wind\ndamage to 1 foe.
Garula	Deals medium Wind\ndamage to 1 foe.
Garudyne	Deals heavy Wind\ndamage to 1 foe.
Magaru	Deals light Wind\ndamage to all foes.
Magarula	Deals medium Wind\ndamage to all foes.
Magarudyne	Deals heavy Wind\ndamage to all foes.
Divine Vacuum	Deals heavy Wind\ndamage to all foes.
Panta Rhei	Deals severe Wind\ndamage to 1 foe.
Hiranya Cabbage	Skill016
Cry of Denial	Skill017
Hot Lightning	Skill018
Draining Fog	Skill019
Bufu	Deals light Ice\ndamage to 1 foe.
Bufula	Deals medium Ice\ndamage to 1 foe.
Bufudyne	Deals heavy Ice\ndamage to 1 foe.
Mabufu	Deals light Ice\ndamage to all foes.
Mabufula	Deals medium Ice\ndamage to all foes.
Mabufudyne	Deals heavy Ice\ndamage to all foes.
Cocytus Pain	Deals heavy Ice\ndamage to all foes.
Niflheim	Deals severe Ice\ndamage to 1 foe.
Bloody Rain	Deals severe Ice\ndamage to all foes.
Red Paprika	Skill023
Enclosure Shell	Skill024
Hot Lightning	Skill025
Shell of Denial	Skill026
Zio	Deals light Elec\ndamage to 1 foe.
Zionga	Deals medium Elec\ndamage to 1 foe.
Ziodyne	Deals heavy Elec\ndamage to 1 foe.
Mazio	Deals light Elec\ndamage to all foes.
Mazionga	Deals medium Elec\ndamage to all foes.
Maziodyne	Deals heavy Elec\ndamage to all foes.
Jihad	Deals heavy Elec\ndamage to all foes.
Thunder Reign	Deals severe Elec\ndamage to 1 foe.
Bead Melon	Skill02F
Mid Soul Tomato	Skill030
Big Soul Tomato	Skill031
Makaracorn	Skill032
Megido	Deals medium Almighty\ndamage to all foes.
Megidola	Deals heavy Almighty\ndamage to all foes.
Megidolaon	Deals severe Almighty\ndamage to all foes.
Last Resort	Deals medium Almighty\ndamage to everyone,
Black Viper	Deals massive Almighty\ndamage to 1 foe.
Morning Star	Deals massive Almighty\ndamage to all foes.
White Paprika	Skill039
Blue Paprika	Skill03A
Green Paprika	Skill03B
Blank	Skill03C
Hama	Light: low chance of\ninstant kill, 1 foe.
Hamaon	Light: medium chance of\ninstant kill, 1 foe.
Mahama	Light: low chance of\ninstant kill, all foes.
Mahamaon	Light: medium chance of\ninstant kill, all foes.
Eternal White	Light: chance of\nreducing foes to 1/4 HP.
God's Judgment	Light: chance of\nreducing foes to 1/2 HP.
Samsara	Light: instant kill to\nall foes with no Light\nresistance.
Blank	Skill044
Blank	Skill045
Blank	Skill046
Blank	Skill047
Mudo	Darkness: low chance of\ninstant kill, 1 foe.
Mudoon	Darkness: medium chance\nof instant kill, 1 foe.
Mamudo	Darkness: low chance of\ninstant kill, all foes.
Mamudoon	Darkness: med chance of\ninstant kill, all foes.
Eternal Black	Darkness: chance of\nreducing foes to 1/4 HP.
Demonic Judgment	Darkness: chance of\nreducing foes to 1/2 HP.
Die for Me!	Darkness: instant kill\nto all foes with no\nDarkness resistance.
Blank	Skill04F
Blank	Skill050
Blank	Skill051
Blank	Skill052
Pulinpa	Makes 1 foe Panic.
Tentarafoo	Makes all foes Panic.
Evil Touch	Instills Fear in 1 foe.
Evil Smile	Instills Fear in all\nfoes.
Ghastly Wail	Instantly kills foes\nwho are Feared.
Balzac	Enrages 1 foe.
Valiant Dance	Enrages all foes.
Poisma	Poisons 1 foe.
Poison Mist	Poisons all foes.
Soul Break	Exhausts 1 foe.
Anima Freeze	Exhausts all foes.
Enervation	Enervates 1 foe.
Old One	Enervates all foes.
Galgalim Eyes	Reduces 1 foe's HP to 1\nand has a chance of\nEnervation.
Makajam	Silences 1 foe.
Foolish Whisper	Silences all foes.
Foul Breath	Increases chances of all\nstatus ailments for 1\nfoe (temporary)
Stagnant Air	Increases chances of all\nstatus ailments for all\nfoes (temporary)
Life Drain	Drains 1 foe's HP.
Spirit Drain	Drains 1 foe's SP.
Life Leech	Drains a large amount\nof 1 foe's HP.
Spirit Leech	Drains a large amount\nof a foe's SP.
Judgement	HP of all foes that are\nweark to Light/Darkness\nare reduced to 1.
Balzac	Enrages 1 target.
Last Resort	Skill06B
Last Resort	Skill06C
Kamui Miracle	Skill06D
Kamui Miracle	Skill06E
Kamui Miracle	Skill06F
Kamui Miracle	Skill070
Kamui Miracle	Skill071
Kamui Miracle	Skill072
Kamui Miracle	Skill073
