Hip Glasses	Black-framed glasses that makes one look smart.
Suspenders	Suspenders that go with casual attire.
Fanny Pack	A fanny pack that can hold small items.
Hairpin	A simple accessory used to hold hair.
Silver Key Ring	A classic key ring coated in silver.
Black Tights	Thick, black tights.
Dotted Tights	Polka-dotted tights made overseas.
Headphones	High fidelity for real audiophiles.
Black Necktie	A formal necktie for fancy events.
RESERVE	RESERVE
Breath Ring	Breathes new life into any outfit.
Energy Ring	Effectively energizes any outfit.
Ring of Vitality	Greatly improves one's vitals.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Chakra Choker	A choker that helps open up the chakras.
Mind Choker	A choker that strengthens the mind.
Soul Choker	A choker that empowers the soul.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Red Band	A wristband enhancing fire attacks.
Blue Band	A wristband enhancing ice attacks.
Green Band	A wristband enhancing wind attacks.
Yellow Band	A wristband enhancing electric attacks.
Lantern Necklace	A jack-o-lantern necklace that enhances fire attacks.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Star Bracelet	A bracelet enhancing nuclear attacks.
Circular Band	A wristband enhancing psychokinetic attacks.
White Band	A wristband enhancing bless attacks.
Black Band	A wristband enhancing curse attacks.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Raging Wristband	A wristband that fills one with burning passion.
Eccentric Belt	A brilliantly colored belt. You may get odd looks from others when wearing it.
RESERVE	RESERVE
Magnetic Necklace	A necklace with a magnetic clasp.
Pick-Me-Up Tie	An uplifting necktie.
Sturdy Suspenders	Suspenders that can hold up anything.
Strength Belt	A belt that makes you feel stronger.
Wood Clappers	Clappers that can put out fires.
Hot Water Pouch	A rubber pouch filled with hot water.
Rubber Gloves	Gloves that help prevent being shocked.
Shield Goggles	Goggles that protect the eyes from harm.
Calming Mask	An innately soothing mask.
Wooden Clogs	Wooden clogs that take courage to wear.
Notebook	A notebook used to write down reminders.
Well-Fed Cape	A cape that somehow makes one feel sated.
Sleepless Gem	Magical gem that stops one from falling asleep.
Calming Cape	A cape that feels soothing when worn.
Cape of Hope	A cape that makes one feel hopeful.
RESERVE	RESERVE
Brain Guard	A headband that clears your mind.
Burn Charm	A charm that protects against burns.
Freeze Charm	A charm that protects against freezing.
Grand Slam Charm	A charm that lets one hit like an all-star.
Shockproof Charm	A charm that protects against shocks.
RESERVE	RESERVE
Fearless Cape	A mysterious cape that lets you forget your fears.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Despair Charm	A charm that makes one unable to be sad.
RESERVE	RESERVE
RESERVE	RESERVE
Revenge Mirror	A mirror that exacts vengeance.
Reprisal Mirror	A mirror that retaliates against any action.
Retribution Mirror	A mirror that punishes evil for their deeds.
Caffeine Patch	A patch that keeps one awake and alert.
Peaceful Potpourri	Potpourri bearing a relaxing fragrance.
Positivity Calendar	A calendar full of daily encouragements.
Designer Shades	Stylish sunglasses that protect the eyes as well.
Clarity Cape	A cape that makes one see things clearly.
Oil Pack	A pack of flammable oil.
Cooling Pack	A reusable ice pack.
Portable Battery	A rechargeable battery pack.
Dizzy Mask	A mask that may cause vertigo.
Mysterious Mask	A mask shrouded in mystique.
Sinister Mask	An absolutely terrifying mask.
Forgetful Mask	A distracting mask that wipes away thoughts.
Drowsy Mask	A hypnotic mask that lulls viewers to sleep.
Clown Mask	A taunting mask begging for a hit.
Corrupting Mask	A decadent mask with an air of arrogance.
Occult Mask	A cursed mask.
Ring of Lust	Bears the seal of a deviant. Allows wearer to use a unique two-in-one skill.
Ring of Vanity	Bears the seal of a narcissist. Nullifies wearer's weaknesses.
Ring of Gluttony	Bears the seal of a hoarder. Innate barrier can deflect all attacks except Almighty.
Ring of Wrath	Bears the seal of a berserker. Increases wearer's Agility for 3 turns at start of battle.
Ring of Greed	Bears the seal of a miser. Increases wearer's Attack for 3 turns at start of battle.
Ring of Envy	Bears the seal of a schemer. Wearer's first magic attack does over double damage.
Ring of Pride	Bears the seal of an egotist. Increases wearer's Defense for 3 turns at start of battle.
Ring of Sorrow	Bears the seal of a mourner. Wearer recovers 8% HP and SP after victory.
Crystal of Lust	A crystal that holds the power of lust.
Crystal of Vanity	A crystal that holds the power of vanity.
Crystal of Gluttony	A crystal that holds the power of gluttony.
Crystal of Wrath	A crystal that holds the power of wrath.
Crystal of Greed	A crystal that holds the power of greed.
Crystal of Envy	A crystal that holds the power of envy.
Crystal of Pride	A crystal that holds the power of pride.
Crystal of Sorrow	A crystal that holds the power of sorrow.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Rakshasa Belt	A belt with the power of a ferocious deity.
Vajra Belt	A belt shaped like a weapon of the gods.
Skanda Belt	A belt once worn by a god of war.
Ace Cap	A baseball cap once worn by an MVP.
Willful Belt	A belt that provides the will to withstand attacks.
Lure Keychain	A deceptively safe- looking keychain.
Bravery Sash	A sash that imbues bravery in its wearer.
Magic Misanga	An empowered friendship bracelet.
Hades Harp	A harp that stops bewitchment.
Hades Harp R	A royal harp that stops bewitchment.
Darkness Ring	A ring housing the Reaper's power.
Darkness Ring R	A royal ring housing even more of the Reaper's power.
White Headband	A headband filled with energy.
White Headband R	A royal headband filled with even more energy.
Black Headband	A headband that shows one's inner desires.
Black Headband R	A royal headband that shows one's inner desires.
Red String	A ball of yarn that leads to salvation.
Red String R	A royal ball of yarn that leads to salvation.
Blazing Horns	Horns like that of a wild, fierce bull.
Inferno Horns	Royal horns like that of a wild, fierce bull.
Black Moon	A stone with a dull glisten.
Black Moon R	A royal stone with a dull glisten.
RESERVE	RESERVE
Graceful Harp	An enchanting heart-shaped harp.
Graceful Harp R	A royal, bewitching heart-shaped harp.
Kugelbein	A set of armor that raises everyone's defense.
Kugelbein R	A royal set of armor that raises everyone's defense.
Shiny Belt	A belt with a shine that fills the soul.
Shiny Belt R	A royal belt with a shine that fills the soul.
Picaresque Hat	The silk hat of a phantom thief.
Picaresque Crown	The crown of a legendary phantom thief.
RESERVE	RESERVE
RESERVE	RESERVE
Bold Eyepatch	An eyepatch worn by a warrior.
Compression Socks	Socks that increases the wearer's response time.
RESERVE	RESERVE
Fireproof Choker	A choker that avoids fire attacks.
Fireproof Bracelet	A bracelet that avoids fire attacks.
RESERVE	RESERVE
Iceproof Choker	A choker that avoids ice attacks.
Iceproof Bracelet	A bracelet that avoids ice attacks.
RESERVE	RESERVE
Elecproof Choker	A choker that avoids electric attacks.
Elecproof Bracelet	A bracelet that avoids electric attacks.
RESERVE	RESERVE
Windproof Choker	A choker that avoids wind attacks.
Windproof Bracelet	A bracelet that avoids wind attacks.
RESERVE	RESERVE
Nukeproof Choker	A choker that avoids nuclear attacks.
Nukeproof Bracelet	A bracelet that avoids nuclear attacks.
RESERVE	RESERVE
Psyproof Choker	A choker that avoids psychokinetic attacks.
Psyproof Bracelet	A bracelet that avoids psychokinetic attacks.
RESERVE	RESERVE
Blessproof Choker	A choker that avoids bless attacks.
Blessproof Bracelet	A bracelet that avoids bless attacks.
RESERVE	RESERVE
Curseproof Choker	A foul choker that avoids curse attacks.
Apotropaic Hairpin	A red hairpin that avoids curse attacks.
RESERVE	RESERVE
Angel Badge	An angel-etched badge that avoids magic attacks.
RESERVE	RESERVE
RESERVE	RESERVE
Expedite Ring	A ring that lets you learn more quickly.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Regent	A gem that empowers its owner.
Queen's Necklace	A magic necklace that uplifts the wearer's heart.
Stone of Scone	A mystical gem that raises the wearer's spirits.
Koh-i-Noor	An alluring crown that makes the wearer radiant.
Orlov	A magical gem that brings calamity.
Emperor's Charm	A magical gem with the power of an emperor.
Hope Diamond	Famous gem said to be cursed, but healing.
Crystal Skull	A magical gem that helps avoid magic skills.
Cross-Shaped Charm	A charm shaped like a cross.
Umi Sachihiko's Belt	The belt of a man of the sea.
Idaten's Belt	The belt of a swift- footed god.
Hall of Fame Belt	The belt of a man in the hall of fame.
Thief Mask	A mask bearing the Phantom Thieves logo.
Black Rock	A stone able to transform into various equipment.
Skull Charm	A spooky, skull-shaped charm.
Crimson Necklace	A stone necklace that's hot to the touch.
Silver Ice Necklace	A stone necklace that's cold as ice.
Jade Wind Necklace	A green stone necklace.
Purple Bolt Necklace	A necklace with lightning shaped stones.
Atom Necklace	A necklace that looks like a ring of atoms.
Psy Necklace	A necklace with a psychic motif.
Heavenly Necklace	A lovely, sky-colored necklace.
Night Necklace	A necklace as dark as night.
RESERVE	RESERVE
Menehune Dolls	Pair of dolls in the shape of Hawaiian dwarves.
Hawaiian Ring	A lei-shaped ring that's engraved with initials.
Forneus Badge	A badge won for beating Star Forneus.
Train Badge	A badge won for beating Train of Life.
PI Badge	A badge won for beating Power Intuition.
Punch Badge	A badge won for beating Punch Ouch.
Gambla Badge	A badge won for beating Gambla Goemon.
Golfer Badge	A badge won for beating Golfer Sarutahiko.
Tough Belt	A belt for men who have the eye of the tiger.
Dandy Mirror	A compact mirror used by a seasoned veteran.
Leblanc Charm	Contains Boss's finest coffee beans.
Boss Undies	Boss's select, game time underpants.
2nd Mate Badge	A badge with the rank of Lt. Commander.
1st Mate Badge	A badge with the rank of Commander.
Captain Badge	A badge with the rank of Captain.
Regen Patch 1	A patch that heals a bit of health.
Regen Patch 2	A patch that heals some health.
Regen Patch 3	A patch that heals a bunch of health.
SP Adhesive 1	An adhesive that restores a bit of spirit.
SP Adhesive 2	An adhesive that restores some spirit.
SP Adhesive 3	An adhesive that restores much spirit.
RESERVE	RESERVE
RESERVE	RESERVE
The Victory Cup	A cup that only the victorious can hold.
Fish God's Badge	A badge that makes one able to avoid any attack.
Omnipotent Orb	An orb with almost godlike power.
Divine Pillar	A pillar that provides heavenly protection.
Invisible Veil	A veil that shields you from the weak-willed.
RESERVE	RESERVE
Attachment Pearl	A pearl that causes one to latch onto things.
Nuisance Belt	A belt that uses bad weather to ail people.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Holy Stone	It looks like it could fetch a tidy sum, but...
Team Glasses	Glasses that allow one to see clearly in the fog.
S.E.E.S. Armband	An armband with "S.E.E.S." written on it.
Sevens Emblem	Seven Sisters High School emblem. Beware of rumors.
St. Hermelin Badge	An emblem from St. Hermelin High School.
ARM PC	Arm computer with the Demon Summoner program.
Midnight Bandana	A yellow bandana that can dance all night.
Evoker	A portable Evoker.
Honu Charm	A good luck charm shaped like a turtle.
Tiki Keychain	A keychain with a wooden Tiki statue.
Beast Headphones	Has extra bass to increase one's rhythm.
Babel Headphones	Closed-air to allow one to focus.
Lambs' Pillow	Carried by sleepless men in their dreams.
Gauntlet	Has an internal PC that only Samurai can use.
Kuzunoha Tubes	Tubes the Kuzunoha Clan use to summon demons.
Featherman Badge	A badge won for beating Featherman Seeker.
Fire Augite	Unused
Ice Augite	Unused
Lightning Augite	Unused
Wind Augite	Unused
Psy Augite	Unused
Nuclear Augite	Unused
Cross Augite	Unused
Skeleton Augite	Unused
Healing Augite	Unused
RESERVE	RESERVE
Ultimate Augite	Unused
RESERVE	RESERVE
Wing Ring	A ring that makes one move like the wind.
Engraved Dog Tag	A dog tag etched with a fabled sniper's name.
Red Ribbon	A big red ribbon.
Ember Ring	A ring charged by fire.
Flame Ring	A ring powered by fire.
Inferno Ring	A ring generating fiery power.
Spiral Ember Ring	A spiral ring charged by fire.
Spiral Flame Ring	A spiral ring powered by fire.
Spiral Inferno Ring	A spiral ring generating fiery power.
Frost Ring	A ring charged by ice.
Snow Ring	A ring powered by ice.
Blizzard Ring	A ring generating icy power.
Spiral Frost Ring	A spiral ring charged by ice.
Spiral Snow Ring	A spiral ring powered by ice.
Spiral Blizzard Ring	A spiral ring generating icy power.
Breeze Ring	A ring charged by the wind.
Wind Ring	A ring powered by the wind.
Gale Ring	A ring generating wind power.
Spiral Breeze Ring	A spiral ring charged by the wind.
Spiral Wind Ring	A spiral ring powered by the wind.
Spiral Gale Ring	A spiral ring generating wind power.
Static Ring	A small ring charged by electricity.
Spark Ring	A ring powered by electricity.
Thunder Ring	A ring generating electricity.
Spiral Static Ring	A spiral ring charged by electricity.
Spiral Spark Ring	A spiral ring powered by electricity.
Spiral Thunder Ring	A spiral ring generating electricity.
Holy Ring	A ring with the might of the heavens.
Hallowed Ring	A ring powered by the heavens.
Spiral Holy Ring	A spiral ring with the might of the heavens.
Spiral Hallowed Ring	A spiral ring powered by the heavens.
Prayer Ring	A ring charged by the heavens.
Blessing Ring	A ring powered by the heavens.
Divine Ring	A ring generating heavenly power.
Spiral Prayer Ring	A spiral ring charged by the heavens.
Spiral Blessing Ring	A spiral ring powered by the heavens.
Spiral Divine Ring	A spiral ring generating heavenly power.
Death Ring	A ring with the might of hell.
Hell Ring	A ring with the great might of hell.
Spiral Death Ring	A spiral ring with the might of hell.
