RESERVE	Unused
Dark Undershirt	Plain black tee.
Print T-Shirt	A yellow tee with a flashy design on it.
Neckerchief	A yellow neckerchief.
Baseball Jacket	Baseball jacket. Goes well with casual clothes.
Dress Shirt	A white dress shirt.
Turtleneck	A slimming, long sleeve turtleneck.
Pink Top	A comfortable pink top.
Loose Cutsew	A simple, but fun, cutsew.
Formal Shirt	A tailored shirt that goes well with a suit.
Light Undershirt	Undershirt designed to absorb moisture well.
Chaos Undershirt	Undershirt that absorbs the blood of enemies.
RESERVE	RESERVE
Sooty Ghastly Gear	Unisex equipment. Dusty; feudal design.
RESERVE	RESERVE
Shoulder Pads	Protective pads for your shoulders.
Confident Camisole	A camisole that helps combat memory loss.
Lynx Camo Vest	Vest worn by snipers to help stay awake and alert.
Memorial Collar	A cat collar made to memorialize the owner.
Old Cat Collar	Old suit of armor once worn by a feline knight.
Cat Knight's Collar	Suit of armor once worn by a feline knight.
Old Duke's Coat	A worn jacket that makes you look like royalty.
Duke's Coat	A fine jacket that makes you look like royalty.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Cat Sweater	A cute sweater for a cat to wear.
Old Angels' Cape	A worn, white cape. It's light as an angel's wings.
Angel's Cape	A white cape. It's light as an angel's wings.
Old Pajamas	Worn yet revealing set of pajamas. 
Succubus Pajamas	A rather revealing set of pajamas. 
Saint's Tunic	An ancient Roman tunic worn by the very patient.
Robust Apron	A well-insulated apron worn for many reasons.
Amulet Shirt	A shirt with a curse sewn into every stitch.
Breeze Scarf	A scarf that takes a weight off your heart.
Silk Dress	A soft, silk dress that soaks up magic.
Fine Silk Dress	A top quality silk dress that soaks up magic.
Frost Hood	A lovely blue hood that bolsters mental prowess.
Frost Ace Hood	A regal blue hood that bolsters mental prowess.
Survival Vest	A bulletproof vest used by survivalists.
Lady's Dress	A ladylike dress that soothes the wearer.
Zen Outfit	Clothes that calm your heart and mind.
Cone Collar	A pet cone designed to help wounds heal.
Old Ghastly Dress	An old Japanese-style outfit made out of paper.
Shikigami Dress	A Japanese-style outfit made out of paper.
Old Cheongsam	Worn Chinese dress said to be woven by a fairy.
Fairy Cheongsam	A Chinese dress said to be woven by a fairy.
Old Mythical Scarf	A faded scarf decorated with mythological figures.
Mythical Scarf	Colorful scarf decorated with mythological figures.
RESERVE	RESERVE
RESERVE	RESERVE
Cosmic Undies	Makes the wearer feel at one with the cosmos.
Lightning Blouse	A blouse with bright, eyecatching patterns.
Night Shift Haori	Made for night shifts to help fight drowsiness.
Rubber Scarf	Protects against electricity.
Heavensent Dress	A dress with colorful feathers.
Godsent Dress	A top-quality dress with colorful feathers.
RESERVE	RESERVE
RESERVE	RESERVE
Athletic Shirt	A durable men's athletic shirt.
Power Camisole	A camisole that helps increase endurance.
RESERVE	RESERVE
Hard Scarf	A scarf woven with tough thread to withstand impact.
Old Haori	An old haori that makes  struggle more bearable.
Dishonored Haori	A haori that makes  struggle more bearable.
Old Coat	Old coat of mail once worn by a Nekomata.
Nekomata Coat	Coat of mail once worn by a Nekomata.
Old Fiery Apron	A worn apron that fills you with burning passion.
Fiery Apron	An apron that fills you with burning passion.
Blood Red Capote	A red cape once owned by a bullfighter.
Bloodied Capote	A blood-red cape once owned by a bullfighter.
Mandala Vest	A vest with a depiction of Buddha.
Elysian Robe	A light robe said to be favored by the gods.
Papal Robes	The Pope's regal robes.
Id Collar	A cat collar with real impulse-control issues.
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
RESERVE	RESERVE
Army Vest	A military-grade utility vest.
Hard Corset	A sturdy corset made with tough materials.
RESERVE	RESERVE
Sparkly Collar	A radiant, bejeweled cat collar.
Old Shroud	An old robe woven in the image of ancient Pharaohs.
Royal Holy Shroud	A robe woven in the image of ancient Pharaohs.
Old Robe	A worn mystical robe used in secret rituals.
Arcane Robe	A mystical robe used in secret rituals.
Old Snakeskin Scarf	An exotic but old scarf made of snake skin.
Snakeskin Scarf	An exotic, perfect scarf made of snake skin.
Fairy Knight Armor	A breastplate imbued with the will of a knight.
Fairy Hero Armor	A breastplate imbued with the will of a knight.
Cool Vest	Lightweight vest that makes the wearer calm.
Titanium Corset	An incredibly tight titanium corset.
Hope Shirt	A shirt made to help prevent despair.
Morose Collar	A collar that makes it hard to feel rage.
Tapsuan	Magic armor that evades the wind.
Fine Tapsuan	Top-quality armor that evades the wind.
RESERVE	RESERVE
RESERVE	RESERVE
Gigas Vest	A vest that can survive a stomping from a giant.
Maillot	A swimsuit designed to make movement easier.
RESERVE	RESERVE
Armada Collar	A collar with the will to defeat your enemies.
Old Undershirt	A worn seductive undershirt.
Lil Devil Undershirt	A seductive undershirt.
Old Shocking Scarf	An old, surprisingly staticky scarf.
Shocking Scarf	A surprisingly staticky scarf.
Old Ghillie Vest	Faded military fatigues that aid in survival skills.
