Metatron	1	Shadow of God	0
Beelzebub	1	Fly of the Dead	0
Cu Chulainn	1	Spear-Wielding General	1	1700
Jack-o'-Lantern	1	Crypt-Dwelling Pyromaniac	1	120
Jack Frost	1	Mocking Snowman	1	362
Pixie	1	Beguiling Girl	1	125
Cerberus	1	Guard Dog of Hades	1	712
Lilim	1	Woman Who Brings Ruin	1	489
Eligor	1	War-Hungry Horseman	1	910
Odin	1	Hero-Gathering Tyrant	0
Hua Po	1	Girl of the Hanging Tree	1	287
Decarabia	1	Vicious Pentagram	1	458
Mara	1	Throbbing King of Desire	1	2800
Ose	1	Cruel Leopard	1	635
Thor	1	Thunder Emperor	1	1620
Unicorn	1	Expressionless Beast	1	623
Uriel	1	Herald of Death	0
Sarasvati	1	Strumming Veena Player	1	651
Valkyrie	1	Funerary Warrior	1	735
Yaksini	1	Human-Eating Lady	1	318
Ganesha	1	Auspicious Pachyderm	1	1325
Anubis	1	Bearer of the Scales	1	1531
Mot	1	Coffin-Borne God	1	2300
Raphael	1	Cleanser of Heaven	0
Scathach	1	The Shadowed One	1	1600
High Pixie	1	Prankster Leader	1	205
Barong	1	Dancing Lion	1	705
Girimehkala	1	Rebellious Elephant	1	3000
King Frost	1	Monarch of Snow	1	1425
Narcissus	1	Self-Infatuated Star	1	632
Isis	1	She of Life and Death	1	585
Lamia	1	Slithering Snakewoman	1	410
Legion	1	Fused Ghost	1	856
Rakshasa	1	Battle Fiend	1	320
Mokoi	1	Night-Walking Warrior	1	285
Forneus	1	Rhetorician of the Sea	1	758
Setanta	1	Vicious Young Warrior	0
Titania	1	Scandalous Queen	1	713
Incubus	1	Bedside Brute	1	135
Oni	1	Chivalrous Fiend	1	380
Lilith	1	Harlot of Desire	1	932
Rangda	1	Dancing Witch	1	902
Makami	1	Hunting Wolf Spirit	1	698
Parvati	1	Destructive Beauty	1	672
Gabriel	1	Declarer of Anguish	0
Zaou-Gongen	1	Angry Warrior	0
Alice	1	Mysterious Little Girl	0
Kali	1	The Blackened Fury	1	5500
Kurama Tengu	1	Monk of the Valley	1	2702
Oberon	1	Unfaithful Dream-King	1	1585
Shiki-Ouji	1	Bringer of Misfortune	1	1362
Yamata-no-Orochi	1	Drunken Serpents	1	1680
Orobas	1	Equine Sage	1	302
Hanuman	1	Nimble Monkey King	1	761
Archangel	1	Heavenly Punisher	1	320
Obariyon	1	Piggyback Demon	1	283
Queen Mab	1	Midnight Queen	1	720
Sandalphon	1	Prison Master	0
Abaddon	1	Abyssal King of Avarice	1	8021
Shiisaa	1	Rooftop Lion	1	585
Sandman	1	Envoy of Slumber	1	320
Belial	1	Missionary of Depravity	1	2165
Leanan Sidhe	1	Jealous Lover	1	314
Cybele	1	Bloody Goddess	0
Chernobog	1	The Black Avenger	1	956
Flauros	1	RESERVE	0
Ippon-Datara	1	Embittered Blacksmith	1	219
Orthrus	1	Twin-Headed Guardian	1	312
Succubus	1	Twilight Prostitute	1	232	232
Mothman	1	Vampire Moth	1	462
RESERVE	0	RESERVE	0
Dominion	1	Merciless Inquisitor	1	1200
Nekomata	1	Ascended Feline	1	292
Black Frost	1	Evil Snowman	0
Arahabaki	1	Awakened God	1	472
Angel	1	Zealous Messenger	1	236
Skadi	1	Quaking Lady of Shadow	1	4300
Kikuri-Hime	1	Mountain Girl	1	671
Chi You	1	RESERVE	0
Power	1	Divine Warrior	1	658
Inugami	1	Possessing Dog Ghost	1	535
Nebiros	1	Wandering Reviver	1	965
RESERVE	0	RESERVE	0
Slime	1	Viscid Rotting Meat	1	252
Anzu	1	Thief of Tablets	1	365
Yatagarasu	1	RESERVE	0
Yoshitsune	1	Grudging Warrior Arisen	0
Take-Minakata	1	Defeated Avenger	1	2314
Ame-no-Uzume	1	Captivating Dancer	1	702
Kushinada	1	Lamenting Sacrifice	1	673
Kumbhanda	1	Life-Draining Spirit	1	505
Ongyo-Ki	1	Shadowy Ninja	0
Kin-Ki	1	Samurai Killer	1	773
Sui-Ki	1	Raging Water Demon	1	342
Fuu-Ki	1	Tornado Devil	1	466
Jatayu	1	Arrogant Vulture	1	905
Kaiwan	1	Wishless Star	1	525
Kelpie	1	Mad Marsh Horse	1	192
Thoth	1	Chanting Baboon	1	468
Dionysus	1	Hedonistic Braggart	1	1025
Apsaras	1	Waterside Nymph	1	312
Andras	1	Menacing Owlman	1	430
RESERVE	0	Torn King of Desire	920
Koropokkuru	1	Leafy Old Man	1	286
Koppa Tengu	1	Foolish Monk	1	386
Regent	1	Regent D	0	4000
Queen's Necklace	1	Queen's Necklace D	0	8000
Stone of Scone	1	Stone of Scone D	0	12000
Koh-i-Noor	1	Koh-i-Noor D	0	15000
Orlov	1	Orlov D	0	20000
Emperor's Amulet	1	Emperor's Amulet D	0	1	25000
Hope Diamond	1	Hope Diamond D	0	30000
Crystal Skull	1	Crystal Skull D	0	40000
Orichalcum	1	Orichalcum D	0	50000
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
Mandrake	1	Gallows Flower	1	121
Baal	1	Reviled Dictator	1	2200
Dakini	1	Bloodthirsty Demoness	1	685
Silky	1	Troublesome Housemaid	1	141
Bugs	1	Killer Teddy Bear	0	860
Black Ooze	1	Pulsing Mud	1	296
Bicorn	1	Dirty Two-Horned Beast	1	125
Mithras	1	Dark Sun	1	550
Sudama	1	Noisy Mountain Spirit	1	307
Kodama	1	Wavering Tree Spirit	1	250
Agathion	1	Apprentice in a Jug	1	130
Onmoraki	1	Corpse Bird	1	341
Nue	1	Night Chimera	1	1205
Pisaca	1	Corpse-Eating Corpse	1	211
Melchizedek	1	Pagan Savior	1	921
Baphomet	1	Heretic Goat	1	726
Raja Naga	1	Snake King	0
Naga	1	Cavern Snakeman	1	415
Garuda	1	Raging Bird God	1	752
Moloch	1	Sacrificial Pyrekeeper	1	925
Norn	1	Final Assessor	1	1400
Belphegor	1	Ambassador of Filth	1	682
Berith	1	Brutal Cavalryman	1	500
Choronzon	1	Gathering Devil	1	199
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
RESERVE	0	RESERVE	0
Nigi Mitama	1	RESERVE	0
Kusi Mitama	1	RESERVE	0
Ara Mitama	1	RESERVE	0
Saki Mitama	1	RESERVE	0
RESERVE	0	RESERVE	0
Shiva	1	RESERVE	0
Michael	1	Apocalyptic Guide	0
Asura	1	RESERVE	0
Mada	1	RESERVE	0
Mother Harlot	1	RESERVE	0
Clotho	1	RESERVE	0
Lachesis	1	RESERVE	0
Atropos	1	RESERVE	0
Ardha	1	RESERVE	0
RESERVE	0	RESERVE	0
Vishnu	1	RESERVE	0
Hariti	1	RESERVE	0
Yurlungur	1	RESERVE	0
Hecatoncheires	1	RESERVE	0
Satanael	1	Execurobo MDL-ED	0
RESERVE	0	Corporobo MDL-?	0
RESERVE	0	Corporobo MDL-?	0
RESERVE	0	Corporobo MDL-?	0
RESERVE	0	Corporobo MDL-CH	0
RESERVE	0	Corporobo MDL-WKR	0
RESERVE	0	Samurai Killer	0
RESERVE	0	Raging Water Demon	0
RESERVE	0	Tornado Devil	0
RESERVE	0	Raging Bird God	0
RESERVE	0	Viscid Rotting Meat	0
Orpheus	0	Troublesome Housemaid	0
Thanatos	0	Dancing Witch	0
Izanagi	0	Shadow Takanashi	0
Magatsu-Izanagi	0	Shadow Nakanohara	0
Kaguya	0	Defeated Avenger	0
Ariadne	0	Raging Bird God	0
Asterius	0	Torn King of Desire	0
Tsukiyomi	0	RESERVE	0
Messiah	0	RESERVE	0
Messiah Picaro	0	The Reaper	0
Orpheus Picaro	0	RESERVE	0
Thanatos Picaro	0	RESERVE	0
Izanagi Picaro	0	RESERVE	0
M. Izanagi Picaro	0	Incubus	0
Kaguya Picaro	0	Justine	0
Ariadne Picaro	0	Caroline	0
Asterius Picaro	0	Holy Grail Tentacle A	0
Tsukiyomi Picaro	0	Holy Grail Tentacle B	0
Satanael	0	Holy Grail Tentacle C	0
???	0	RESERVE	0
Arsene	1	Suguru Asmodeus Kamoshida	0
Captain Kidd	0	Trophy of Obsession	0
Zorro	0	Teacher Boss Post Aff Change	0
Carmen	0	Weak Tomb of Human Sacrifice	0
Goemon	0	Holy Grail	0
Johanna	0	Painter's Right Eye	0
Milady	0	Painter's Left Eye	0
Necronomicon	0	Painter's Nose	0
Robin Hood	0	Painter's Mouth	0
Loki	0	Ichiryusai Azazel Madarame	0
Satanael	0	Museum Boss All Weakness	0
Seiten Taisei	0	Treasure of Mementos?	0
Mercurius	0	Junya Bael Kaneshiro	0
Hecate	0	Piggytron	0
Kamu Susano-o	0	Beast That Rules the Palace	0
Anat	0	Piggytron	0
Astarte	0	Goro Akechi	0
Prometheus	0	Cognitive Wakaba Isshiki	0
Loki	0	Guard Dog of Hades	0
Arsene	0	Spear-Wielding General	0
Captain Kidd	0	Kunikazu Mammon Okumura	0
Zorro	0	Execurobo MDL-ED	0
Carmen	0	Corporobo MDL-GM	0
Goemon	0	Corporobo MDL-DM	0
Johanna	0	Corporobo MDL-AM	0
Milady	0	Corporobo MDL-CH	0
Necronomicon	0	Corporobo MDL-WKR	0
Robin Hood	0	Shadow Sae	0
???	0	Sae Leviathan Niijima	0
Lucifer	0	Holy Grail	0
Seiten Taisei	0	Goro Akechi	0
Mercurius	0	Goro Akechi	0
Hecate	0	Beast of Human Sacrifice	0
Kamu Susano-o	0	Wings of Human Sacrifice	0
Anat	0	Tomb of Human Sacrifice	0
Astarte	0	Masayoshi Samael Shido	0
Prometheus	0	True Masayoshi Samael Shido	0
Loki	0	Holy Grail	0
Loki	0	God of Control Yaldabaoth	0
Cendrillon	0	Sword of Conviction	0
Vanadis	0	Gun of Execution	0
William	0	Bell of Declaration	0
Diego	0	Book of Commandments	0
Celestine	0	Justine	0
Gorokichi	0	Caroline	0
Agnes	0	Haru's Fiance	0
Lucy	0	Museum Boss, Right Eye	0
Al Azif	0	Museum Boss, Left Eye	0
Hereward	0	Museum Boss, Nose	0
Ella	0	Museum Boss, Mouth	0
RESERVE	0	Shadow TV President	0
Satan	1	Shadow Cleaner	0
Lucifer	1	Crypt-dwelling Pyromaniac	0
Kohryu	1	Final Assessor	0
Okuninushi	1	Snake King	0
Norn	0	Guard Captain	0
RESERVE	0	Guard Captain	0
RESERVE	0	Sacrificial Pyrekeeper	0
Futsunushi	1	Gallows-Flower	0
RESERVE	0	Cruel Leopard	0
Seth	1	Dirty Two-horned Beast	0
Ishtar	1	Shadow Mr. Takase	0
RESERVE	0	Viscid Rotting Meat	0
Surt	0	Shadow Mrs. Magario	0
???	0	Beguiling Girl	0
Lakshmi	1	Shadow Oyamada	0
RESERVE	0	Rhetorician of the Sea	0
RESERVE	0	Shadow Mr. Magario	0
Ex-Belphegor	0	Shadow Nejima	0
RESERVE	0	Funerary Warrior	0
Garuda	0	The Black Avenger	0
Fortuna	1	Auspicious Pachyderm	0
Suzaku	1	Shadow Uchimura	0
Seiryu	1	Heretic Goat	0
Genbu	1	Shadow Akitsu	0
Byakko	1	RESERVE	0
Bishamonten	1	Security Shadow	0
Koumokuten	1	Shadow Wakasa	0
Jikokuten	1	Life-Draining Spirit	0
Zouchouten	1	Guard Dog of Hades	0
Hell Biker	1	Wandering Reviver	0
Daisoujou	1	Shadow Politician	0
Trumpeter	1	Shadow Shimizu	0
White Rider	1	Shadow IT President	0
Matador	1	Embittered Blacksmith	0
Pale Rider	1	Shadow Honjo	0
Horus	1	Hunting Wolf Spirit	0
RESERVE	0	Shadow Jochi	0
Attis	1	Zealous Messenger	0
RESERVE	0	Sacrificial Pyrekeeper	0
RESERVE	0	Coffin-borne God	0
Sraosha	1	Shadow Fukurai	0
Berith	0	Shadow Takanashi	0
RESERVE	0	Tornado Devil	0
Mithra	1	Shadow Oda	0
Phoenix	1	RESERVE	0
Principality	1	Shadow Sakoda	0
Neko Shogun	1	Shadow Mrs. Takase	0
Vasuki	1	Shadow Mogami	0
Ananta	1	Shadow Togo	0
Throne	0	Chivalrous Fiend	0
RESERVE	0	Cavern Snakeman	0
Quetzalcoatl	1	Heretic Goat	0
Red Rider	1	Shadow Tsuda	0
Black Rider	1	Shadow Isazuka	0
RESERVE	0	Midnight Queen	0
Ex-Moloch	0	Shadow Hashisato	0
Pazuzu	1	Shadow Isshiki	0
???	0	Shadow Asakura	0
Slime	0	Shadow Arita	0
Jack-o'-Lantern	0	Shadow Shimomi	0
Agathion	0	Shadow Kishi	0
Mandrake	0	RESERVE	0
Shiisaa	0	Shadow Takena	0
Jack Frost	0	Shadow Naguri	0
Sudama	0	Shadow Akitsu	0
Onmoraki	0	Shadow Oda	0
Bugs	0	Shadow Yoshioka	0
Pixie	0	Wandering Reviver	0
Pixie	0	Shadow Odo	0
Ardha	0	Shadow Asakura	0
RESERVE	0	Bearer of the Scales	0
Asmodeus	0	Shadow Mrs. Togo	0
Azazel	0	Shadow Tsuboi	0
Baal	0	Shadow Former Noble	0
Tithoes	0	Thief of Tablets	0
Mammon	0	Shadow Kiritani	0
Leviathan	0	Thunder Emperor	0
