Devil Fruit	Restores 20 HP to one ally.
Recov-R: 50 mg	Fast-acting formula. Restores 50 HP to one ally.
Recov-R: 100 mg	Fast-acting formula. Restores 100 HP to one ally.
Takemedic	A new drug developed by TMC. Restores 200 HP to one ally.
Life Stone	Restores 30% HP to one ally.
Bead	Fully restores HP of one ally.
Takemedic-All	A new drug developed by TMC. Restores 50 HP to all allies.
Takemedic-All V	A new drug developed by TMC. Restores 100 HP to all allies.
Takemedic-All Z	A new drug developed by TMC. Restores 200 HP to all allies.
Bead Chain	Fully restores HP of all allies.
Soul Drop	Restores 10 SP to one ally.
Snuff Soul	Restores 50 SP to one ally.
Chewing Soul	Restores 100 SP to one ally.
Soul Food	Fully restores SP of one ally.
Revival Bead	Revives one fallen ally to 50% HP.
Balm of Life	Revives one fallen ally to full HP.
RESERVE	Unused
Nohar-M	Medical ointment. Cures Burn/Freeze/ Shock for one ally.
Relax Gel	Topical balm. Cures Rage/ Despair/Brainwash/Fear/ Confuse for one ally.
Alert Capsule	Over-the-counter capsule. Cures Dizzy/Forget/Sleep/ Hunger for one ally.
RESERVE	Unused
RESERVE	Unused
Vanish Ball	Guarantees escape from battle. Not all battles apply.
Soma	Fully restores HP and SP of all allies.
Amrita Soda	Cures all non-special ailments for all allies.
Hiranya	Cures all non-special ailments for one ally.
Muscle Drink	Restores 30% HP to one ally. Raises Attack and lowers Defense.
Odd Morsel	Restores 30% HP to one ally. Raises Attack and lowers Accuracy/Evasion.
Rancid Gravy	Restores 30% HP to one ally. Raises Accuracy/Evasion and lowers Attack.
RESERVE	Unused
Magic Ointment	Barrier that reflects magical attacks except Almighty for one ally one time.
Physical Ointment	Barrier that reflects physical attacks for one ally one time.
Rasetsu Ofuda	Raises Attack for all allies for three turns.
Idaten Ofuda	Raises Accuracy/ Evasion for all allies for three turns.
Kongou Ofuda	Raises Defense for all allies for three turns.
Kajaclear-R	A new antiseptic made by TMC. Removes stat buffs for all foes.
Kundaclear-R	A new antiseptic made by TMC. Removes stat debuffs for all allies.
Molotov Cocktail	Deals 50 Fire dmg to one foe. High chance of inflicting Burn.
Blowtorch	Deals 50 Fire dmg to all foes.
Freeze Spray	Deals 50 Ice dmg to one foe. High chance of inflicting Freeze.
Dry Ice	Deals 50 Ice dmg to all foes.
Air Cannon	Deals 50 Wind dmg to one foe.
Vacuum Cutter	Deals 50 Wind dmg to all foes.
Stun Gun	Deals 50 Elec dmg to one foe. High chance of inflicting Shock.
Magneto Coil	Deals 50 Elec dmg to all foes.
Megido Bomb	Deals 100 Almighty dmg to all foes.
Sacramental Bread	Medium chance of Bless insta-kill to one foe.
Straw Doll	Medium chance of Curse insta-kill to one foe.
Hell Magatama	Deals 150 Fire dmg to one foe.
Cyclone Magatama	Deals 150 Wind dmg to one foe.
Frost Magatama	Deals 150 Ice dmg to one foe.
Arc Magatama	Deals 150 Elec dmg to one foe.
Psycho Bomb	Deals 50 Psy dmg to one foe.
Psy-Wheel	Deals 50 Psy dmg to all foes.
Atom Match	Deals 50 Nuke dmg to one foe.
Nuke Cracker	Deals 50 Nuke dmg to all foes.
Happy Bomb	Deals 50 Bless dmg to one foe.
Segaki Rice	Deals 50 Bless dmg to all foes.
Curse Bomb	Deals 50 Curse dmg to one foe.
Five-inch Nail	Deals 50 Curse dmg to all foes.
Revivadrin	Revives one fallen ally to 50% HP.
Medicine	Restores 50 HP to one ally.
Life Ointment	New drug by TMC. Revives one fallen ally to full HP.
Homunculus	Protects from insta- kill attacks one time.
RESERVE	Unused
Reviv-All	New drug developed by TMC. Revives all fallen allies to 50% HP.
Renew-All	New drug developed by TMC. Revives all fallen allies to full HP.
Recover Oil	A spring-exclusive body oil. Cures all non-special ailments for one ally.
RESERVE	Unused
DVD Player	A pre-owned DVD player. Very old, but still functional. Missing the remote.
Garden Energy	A cheap plant nutrient. For those who want basic care for their plants.
Bio Nutrients	A pricey plant nutrient. For those who want good care for their plants.
Mega Fertilizer	A premium plant nutrient. For those who want serious care for their plants.
Godly Magatama	Deals 150 Psy dmg to one foe.
Blast Magatama	Deals 150 Nuke dmg to one foe.
Holy Magatama	Deals 150 Bless dmg to one foe.
Grudge Magatama	Deals 150 Curse dmg to one foe.
RESERVE	Unused
RESERVE	Unused
PC Tool Set	A tool set for fixing computers.
RESERVE	Unused
Glass Vase	A palm-sized, colorful vase made of glass. For the flower lover in your life.
Star Mirror	A star-shaped hand mirror that's supposed to be lucky. For a spiritual someone.
Snack Pack	A box of stick-like snacks that come in a variety of flavors. For the young at heart.
Musty Pages	A guide that lets you feel the atmosphere of the antique book town.
Homemaker Hero	A book that teaches the tricks of buying household electronics for cheap.
Heart Ring	A ring inset with a heart- shaped jewel. Made to captivate a woman's heart.
Heart Necklace	A necklace adorned with a heart-shaped jewel. Made to captivate a woman's heart.
Designer Perfume	A famous brand of perfume with a gentle scent. For a sensual person in your life.
Luxury Aroma Set	A deluxe aromatherapy set to relax the mind and body after intense focus.
Mini Cactus	A small cactus that looks nice in an office setting. For the desk jockey.
Flower Basket	A basket full of flowers from every season. For the flower lover in your life.
Bath of Roses	A rose-scented fragrance for a luxurious bathtime. For the special lady in your life.
Black Mug	A chic, black mug. For the one who's married to their desk.
Sakura Fan	A small fan with a bright sakura pattern. For a traditional lady.
Fountain Pen	An elegant fountain pen, rereleased due to demand. For the discerning eye.
Robot Vacuum	The latest robot vacuum that cleans automatically. For the busy businessperson.
Motorbike Figure	A 1/12 scale figurine made with attention to detail. For the bike lover in your life.
Local Mascot Set	A set of plushies of a popular character. For the one who likes rare finds.
Spotlight	Raises chances of being targeted by foes for one ally.
Goho-M	A tool that allows you to return to the Metaverse entrance.
RESERVE	Unused
Smokescreen	Elude enemy pursuit by becoming temporarily undetectable.
RESERVE	Unused
Hypno Mist	A mist that puts nearby enemies to sleep.
Calming Aroma	A tonic that calms an enemy's nerves, lowering a Palace's Security Level.
Covertizer	Unused
RESERVE	Unused
Silk Yarn	A bundle of silk yarn. Perfect for crafting.
Thick Parchment	Animal skin used for transcription. Also used for crafting tools.
Tin Clasp	A fastener made from tin. Has value as a handmade component.
Plant Balm	Natural oil harvested from plants. Can be used as fuel for machine tools.
Cork Bark	Elastic bark. Can be used as a component when making tools.
Iron Sand	Iron sand containing traces of magnetic properties. Can be used to make steel.
Condenser Lens	A lens that gathers light. Perfect for tools that utilize light.
Aluminum Sheet	A thin sheet of aluminum. Easy to use.
Tanned Leather	A highly elastic animal hide. A must-have for crafting.
Red Phosphorus	A pyrophoric, toxic powder used for ignition.
Liquid Mercury	Shimmering silver liquid metal used to make tools. Handle with care.
RESERVE	Unused
Wise Men's Words	A book of quotes by great philosophers. Read to enrich your knowledge.
Ghost Encounters	Hair-raising ghost stories. Reading this will surely steel your guts.
Tidying the Heart	A best-seller on cleaning. The author's proficiency is worth studying.
Buchiko's Story	A heartwarming tale of a dog and his master. It is filled with kindness.
RESERVE	Unused
RESERVE	Unused
Punch Ouch	A retro boxing game. Playing could give you the charm of a challenger.
Starvicks	The world's first spicy coffee. Restores 10 HP to one ally.
Udagawa Water	Triple-filtered Shibuya river water. Restores 10 HP to one ally.
CRT Television	An old model television. It's missing the remote.
RESERVE	Unused
RESERVE	Unused
Master Swordsman	A book chronicling a great swordsman's life. Find the guts to face death.
Flowerpedia	The essential compendium for anyone in the flower industry.
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
Heroic Revelations	The epic of a tireless seeker of wisdom. May impart knowledge upon the reader.
Call Me Chief	Biography of a beloved leader. His warm character shows much kindness.
The Art of Automata	The passion involved in being an automata technician. May improve one's proficiency.
Reckless Casanova	A book about the romantic life of a ladies man. Learn from his charm.
RESERVE	Unused
Rubbish	Just plain junk. No point in having it.
Money Distributor	Unused
Item Distributor	Unused
RESERVE	Unused
Jagariko	A popular Japanese snack. Restores 20 HP to one ally.
Broken Rock Salt	A Holy Stone shattered to pieces. Restores 5 SP to one ally.
Movie Ticket	A ticket necessary to watch a movie at the theater.
Movie 02 Ticket	Movie 02 Ticket
Movie 03 Ticket	Movie 03 Ticket
Movie 04 Ticket	Movie 04 Ticket
RESERVE	Unused
RESERVE	Unused
Summer Lotto S	Ten consecutive numbers for the Summer Mammoth lottery.
Autumn Bread	Bun with chestnuts and carrots in it. Restores 200 HP to one ally.
Element Set	Unused
Forces Set	Unused
Shitamachi Reborn	A book on the old district reborn thanks to the new Tokyo Skytree.
Star Forneus	A retro space shooting game. Playing could make you gutsier.
Weekend Parks	A book that introduces great parks for spending a quiet weekend.
Train of Life	A retro board game. Playing could make you kinder.
Power Intuition	A retro fighting game. Playing could make you gutsier.
Bonehead	Two episodes. A corpse holds hints to the truth. Sharp deductions save all.
Crime Lab Squad	Three episodes. Cutting-edge forensic technology holds the key to a mystery.
Not-so-hot Betsy	The story of a homely girl who captivates people with her inner charm.
Bubbly Hills, 90210	A realistic teen drama. Watching their romances makes you charming.
ICU	A heartrending drama about working in the ER. Teaches you kindness.
RESERVE	Unused
Drizzled Natto	Rainy day special. Large candied natto. Restores 80 HP to all allies.
Squid Tri-Pack	A pack full of select squid snacks. Restores 20 HP to all allies.
Idol Pins	A set of badges featuring a rising pop idol. For a trendy friend.
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
Tokyo Shrines	A photo guidebook of the shrines hidden in the big city.
Fishpond Spotter	A guidebook for beginners on the popular fishing ponds.
Yoncha Walker 04	A magazine compiling information about Yongen-Jaya.
Night Skies	A star-gazing guidebook that has a special on planetariums.
Jack Frost Doll	A doll of the winter frost fairy whose kind smile will capture your heart.
Burger-kun Doll	A Big Bang Burger mascot doll. Makes you feel like a Big Bang.
Wanna-kun Doll	A security company's mascot doll. People like his shady looks.
Lexy Doll	A peculiarly-designed doll that is popular due to its scary looks.
Uji Matcha Flan	Pudding made from uji matcha green tea. For the sweet tooth.
Truffles	Chocolate truffles made with meticulous detail. For the sweet tooth.
RESERVE	Unused
Limelight	Greatly raises chances of being targeted by foes for one ally.
Amateur Coffee	Unused
Harsh Coffee	Unused
Baptismal Water	Water used for rituals. Removes all stat buffs for all foes.
Exorcism Water	Purified holy water. Removes all stat debuffs for all allies.
Wine of Grace	Non-alcoholic wine used during ceremonies. Fully restores HP of all allies.
Repentance Ashes	Used during ceremonies. Cures all non-special ailments for all allies.
Dipped Katsu Sando	Rainy day special with terrific texture. Restores 200 HP to one ally.
Book Cover	A silk crepe book cover with a Japanese-style print on it. For the traditional lady.
Castella	Sponge cake topped with coarse sugar. For someone with a sweet tooth.
Crimson Lipstick	An intensely red lipstick worn by a popular model. For the fashion-conscious.
RESERVE	Unused
RESERVE	Unused
Tetra Hammer	A hammer that negates physical reflecting barriers of one foe.
Makara Hammer	A hammer that negates magic reflecting barriers of one foe.
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
Casual Rod	A simple yet sturdy rod. Makes catching fish a little easier.
Powerful Rod	A strong and tough rod. Makes catching fish even easier.
Miracle Rod	A resilient next-gen rod. Makes catching fish extremely easy.
Arginade	Contains arginine. Restores 5 SP to one ally.
Dr. Salt NEO	Now with more pepper. Restores 20 HP to one ally.
Joylent	Unsettlingly nutritious. Restores 10 HP to one ally.
MRE Ration	Food to go. Restores 30% HP to one ally, lowers Attack, raises Accuracy/Evasion.
Oatmeal Ration	Food to go. Restores 30% HP to one ally, lowers Accuracy/ Evasion and raises Attack.
Torimeshi Ration	Food to go. Both tasty and satiating. Restores 50 HP and cures Hunger for one ally.
Fruit Ration	Restores 30% HP to one ally, lowers Defense and raises Attack.
Seafood Aojiru	Rich with omega-3 fatty acids to increase your knowledge.
Beauty Aojiru	Blended with collagen, making you radiant with charm.
Vitality Aojiru	Made from seaweed minerals to revitalize you, making you more proficient.
Nasty Aojiru	Made with bitter melon. It takes guts to drink this terrifying mixture.
Onsen Aojiru	Made using hot spring water. You can feel the kindness within you.
RESERVE	Unused
Fulfiller	Just one bite satisfies your stomach. Cures Hunger for one ally.
Summer Lotto R	Ten random numbers for the Summer Mammoth lottery.
Happy Pop	A refreshing lollipop. Cures Despair for one ally.
Thaw Stone	A mysterious stone. Cures Freeze for one ally.
Douse Orb	A curious orb. Cures Burn for one ally.
Discharge Crystal	A mysterious crystal. Cures Shock for one ally.
Second Maid	Refreshing Mandarin orange flavor. Restores 10 HP to one ally.
RESERVE	Unused
Sandwich	Yon-Germain's staple sandwich. Restores 10 HP to one ally.
Fruit Danish	A fruity, seasonal pastry. Restores 30 HP to one ally.
RESERVE	Unused
Yakisoba Pan	Fast-selling bread. Restores 50 HP and cures Hunger for one ally.
Creature	A drink that blows away sleepiness. Cures Sleep for one ally.
Earl Green	A blend of Eastern and Western teas. Restores 10 HP to one ally.
Raw Punch	Practically liquid caffeine. Restores 10 HP to one ally.
Muscle Tea	Popular tea often sold online. Restores 10 HP to one ally.
Manta	Makes you want to dance all night. Restores 10 HP to one ally.
Nastea	Unexpectedly great taste. Restores 10 HP to one ally.
1UP	Coveted by old-school gamers. Restores 10 HP to one ally.
Gambla Goemon	A retro gambling game. Playing could make you more charming.
Golfer Sarutahiko	A retro golf game. Playing could make you more proficient.
Calling Postcard	A postcard that looks like a calling card. Mail it to someone close to you.
Refresh Aroma	Autumn-only. Cures all non-special ailments for one ally.
Protein	Increases training efficiency. Restores 30% HP to one ally.
Moist Protein	Rainy day-only. Helps training. Restores 30% HP to one ally.
Fried Bread	Bread with a nostalgic taste. Restores 10 HP to one ally.
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
Expert	For those who reach for the stars. Ball speed: 87 mph.
Insane	The final challenge from the batting cage proprietor. Ball speed: 103 mph.
Beginner	For beginners. Ball speed: 43 mph.
Intermediate	For batters with intermediate experience. Ball speed: 55 mph.
Advanced	For those with confidence in their swing. Ball speed: 68 mph.
Surprise Sando	A special dish made with crayfish paste. For those with the guts to indulge.
Nostalgic Steak	Salisbury steak, just like Grandma made it. You feel kindness.
Frui-Tea	Tea made with a plethora of fruit. Softens your skin to make you charming.
Totem Pole	Just finishing this tower of ice cream without it falling makes you proficient.
Relaxing Coffee	Coffee brewed with love. Even a clumsy maid can make this super-easily.
Oo-hot Tea	Tea steeped with care. Even a clumsy maid can make this easily.
Love STAR Pancake	Topped with whipped cream at the table. Might be hard for a clumsy maid.
Sincere Omelette	Comes with free ketchup art. May be too much for a clumsy maid.
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
