RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
Unused	Unused
Unused	Unused
Key to Leblanc	The key to Cafe Leblanc. Now you can go out at night.
Paper Bag	A bag from Iwai with a suspicious-looking model gun.
Unused	Unused
Unused	Unused
Unused	Unused
Old Key	A rusty old key to a chest.
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
RESERVE	Unused
Unused	Unused
Evil Snow Crystal	Allows you to fuse Black Frost.
Sticky Hairball	Allows you to fuse Bugs.
Double Bookmark	A double-layered bookmark that Justine uses.
Unused	Unused
Pen Case	Proof of Kawakami's love. Become closer if you have a same-arcana Persona.
Muffler	Proof of Takemi's love. Become closer if you have a same-arcana Persona.
Cologne	Proof of Chihaya's love. Become closer if you have a same-arcana Persona.
Camera	Proof of Ohya's love. Become closer if you have a same-arcana Persona.
Gloves	Proof of Hifumi's love. Become closer if you have a same-arcana Persona.
Wristwatch	Proof of Makoto's love. Become closer if you have a same-arcana Persona.
Hat	Proof of Haru's love. Become closer if you have a same-arcana Persona.
Earmuffs	Proof of Ann's love. Become closer if you have a same-arcana Persona.
Headphones	Proof of Futaba's love. Become closer if you have a same-arcana Persona.
RESERVE	BLANK
Buchi Calculator	Calculator Makoto used. Shadow Factorization unlocked.
Dyed Handkerchief	Dyed by Haru herself. Soil Improvement unlocked.
Fashion Magazine	Has Ann on the cover. Sexy Technique HEART and Crocodile Tears unlocked.
Promise List	Futaba's promises. Treasure Reboot and Mementos Scan unlocked.
Unlimited Service	Unique coupon from Kawakami. Special Massage unlocked.
Dog Tag	Engraved by Takemi. Allows access to all items sold at the clinic.
Fortune Tarot Card	Divined by Chihaya. Partial fortune readings unlocked.
Interview Notes	Ohya's personal notes. All Scoops unlocked.
Kosha Piece	Hifumi's favorite piece. Touryou unlocked.
Sports Watch	Same as Ryuji's. Ryuji's Harisen Recovery and Stealth Dash unlocked.
Morgana's Scarf	The scarf Morgana wears. Pickpocket unlocked.
Recipe Notes	Sojiro's prized recipe. Always make the best coffee and curry.
Documentary Plans	To be written by Mishima. All EXP benefits unlocked.
Gecko Pin	Iwai's family crest. All customizations unlocked.
Cell Key	Given to you by Lavenza. All Velvet Room warden features unlocked.
Desire and Hope	Yusuke's painting. Allows for Skill Cards to be copied.
Fountain Pen	A gift from Yoshida. All speech abilities unlocked.
Gun Controller	Shinya's controller. All gun techniques unlocked.
Business Card	Has Sae's number on it. Says "lawyer" instead of "prosecutor."
Leather Gloves	Gloves used by Akechi. See enemy's properties unlocked.
Gymnastics Baton	Baton used by Sumire. Carry oneself with grace unlocked.
Research Notebook	Notebook containing Maruki's research notes. Enhance oneself unlocked.
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
Castle Map	An old map, showing the layout of the Old Castle.
Tower Map	An old map, showing the layout of the tower.
RESERVE	BLANK
Kamoshida's Medal	A gold medal won in an international competition.
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
RESERVE	BLANK
The King Book	A book on the king. It's pretty hefty.
The Queen Book	A book on the queen. It's pretty hefty.
The Slave Book	A book on the slaves. It's pretty hefty.
Green Key	Unused
Red Key	Unused
