Unused	Item_001	Unused
Rebel Knife	Item_002	A weapon manifested from an awakened power.
Kukri	Item_003	Curved, Nepalese knife also used as a tool.
Arsene's Cane	Item_004	A cane once carried by a legendary gentleman thief.
Blizz Dagger	Item_005	A dagger with a pale, blue blade.
Athame	Item_006	A dagger used during Wiccan rituals.
RESERVE	Item_007	Reserved
Skinning Knife	Item_008	A dagger used for skinning prey.
RESERVE	Item_009	RESERVE
Stun Dagger	Item_00A	A dagger capable of conducting electricity.
Killing Scalpel	Item_00B	A deadly tool used by medical professionals.
RESERVE	Item_00C	RESERVE
Helper Knife	Item_00D	A replica dagger that was once used by a king.
Pro Skinning Knife	Item_00E	A sharper, higher-grade skinning knife.
RESERVE	Item_00F	RESERVE
Mega Knife	Item_010	A dagger tempered using advanced techniques.
Royal Dagger	Item_011	A dagger that a famous gambler once used.
RESERVE	Item_012	RESERVE
Machete	Item_013	A heavy knife with a lot of heft to it.
Baselard	Item_014	Replica of a dagger used in medieval Europe.
RESERVE	Item_015	RESERVE
Frenzy Dagger	Item_016	A replica dagger capable of enraging enemies.
Pro Parrying Dagger	Item_017	A dagger best used for parrying and defense.
RESERVE	Item_018	RESERVE
Misericorde	Item_019	A medieval dagger used to deliver a killing strike.
Parrying Dagger	Item_01A	A light dagger that makes evasion easier.
RESERVE	Item_01B	RESERVE
RESERVE	Item_01C	RESERVE
Kopis	Item_01D	A curved blade used by Ancient Greeks.
Igniter	Item_01E	A dagger forged in fire that burns with intensity.
RESERVE	Item_01F	RESERVE
RESERVE	Item_020	RESERVE
RESERVE	Item_021	RESERVE
RESERVE	Item_022	RESERVE
Paradise Lost	Item_023	A dagger used to drive angels from Paradise.
RESERVE	Item_024	RESERVE
Normal Rod	Item_025	A weapon manifested from an awakened power.
Hell Slugger	Item_026	A baseball bat with nails hammered into it.
Judge Mace	Item_027	A blunt weapon used in judgment of its foes.
Heavy Steel Pipe	Item_028	A reinforced iron pipe.
RESERVE	Item_029	RESERVE
Battle Hammer	Item_02A	A replica of a metal hammer used in battle.
Wicked Iron Pipe	Item_02B	A blunt weapon with great striking power.
RESERVE	Item_02C	RESERVE
Heavy Mace	Item_02D	Replica with even more heft to it.
Spike Rod	Item_02E	Blunt instrument affixed with caltrops.
RESERVE	Item_02F	RESERVE
Bush Hammer	Item_030	Replica of a hammer with a notable history.
Demon Pipe	Item_031	A pipe tainted by demonic energy.
RESERVE	Item_032	RESERVE
Boss Bush Hammer	Item_033	Replica of a hammer with a notable history.
Gaea Presser	Item_034	A beautiful blunt instrument.
RESERVE	Item_035	RESERVE
Big Sleep Stick	Item_036	A blunt instrument able to put foes to sleep.
Stun Baton	Item_037	A blunt instrument able to deal severe damage.
RESERVE	Item_038	RESERVE
Dragon God Pole	Item_039	Replica of a weapon used in Ancient China.
Grand Presser	Item_03A	A blunt weapon that pulses with ethereal light.
Armageddon Rod	Item_03B	A blunt weapon capable of breaking a meteorite.
Super Megido Rod	Item_03C	An exceptionally heavy blunt instrument.
RESERVE	Item_03D	RESERVE
RESERVE	Item_03E	RESERVE
RESERVE	Item_03F	RESERVE
Fervent Bat	Item_040	A blunt weapon that burns the soul within.
Ruyi Jingu Bang	Item_041	A staff that can mysteriously elongate.
RESERVE	Item_042	RESERVE
Sleep Stick	Item_043	A blunt weapon able to put foes to sleep.
RESERVE	Item_044	RESERVE
RESERVE	Item_045	RESERVE
Gang Star	Item_046	A blunt weapon that intimidates its enemies.
RESERVE	Item_047	RESERVE
Mjolnir	Item_048	A legendary weapon wielded by a god.
Bandit Sword	Item_049	A sword made for stealing.
Headhunter Ladle	Item_04A	A ladle used by bakeneko for headhunting townsfolk.
Lunar Cutlass	Item_04B	A sword from where rain falls sooner than usual.
Sonic Blade	Item_04C	Sword said to cut faster than the speed of sound.
Scimitar	Item_04D	A curved blade originally used in the Middle East.
Talwar	Item_04E	A curved blade able to leave foes confused.
RESERVE	Item_04F	RESERVE
Sleeper Blade	Item_050	A sword that renders sleep upon enemies.
Shamshir	Item_051	A curved blade originally used in the Middle East.
Blood Scimitar	Item_052	A sword with a malicious- looking blade.
Resting Sword	Item_053	A sword said to work miracles.
Chief's Cutlass	Item_054	A sword that looks like a pirate hero would use it.
RESERVE	Item_055	RESERVE
Cosmic Sword	Item_056	A sword with electricity running through it.
Damascus Sword	Item_057	A sword with patterns etched across the blade.
Hot-Blooded Sword	Item_058	A sword radiating heat.
Heavy Saber	Item_059	A sword forged with heavy materials.
RESERVE	Item_05A	RESERVE
Panic Sword	Item_05B	A sword that confuses enemies with every cut.
RESERVE	Item_05C	RESERVE
Bright Sword	Item_05D	A sword that glows with a cold, ethereal light.
RESERVE	Item_05E	Unused.
Answerer	Item_05F	A sword that obeys the will of its wielder.
RESERVE	Item_060	RESERVE
RESERVE	Item_061	RESERVE
Claiomh Solais	Item_062	A sword with a luminous blade.
RESERVE	Item_063	Unused.
RESERVE	Item_064	RESERVE
RESERVE	Item_065	RESERVE
RESERVE	Item_066	RESERVE
RESERVE	Item_067	RESERVE
RESERVE	Item_068	RESERVE
God Saber	Item_069	A sword that sings with divine strength.
RESERVE	Item_06A	RESERVE
RESERVE	Item_06B	RESERVE
Leather Whip	Item_06C	A weapon manifested from an awakened power.
RESERVE	Item_06D	RESERVE
Skin Ripper	Item_06E	A telescoping, flesh- rending whip.
Heat Whip	Item_06F	A fire-red whip.
Warrior Whip	Item_070	A whip that can rip the skin from enemies.
Decorative Whip	Item_071	A whip that brings luck.
Burn Whip	Item_072	A whip that can burst into flames.
Hero Whip	Item_073	A whip that looks like one a hero would use.
RESERVE	Item_074	RESERVE
Whip Sword	Item_075	A bladed, telescoping whip.
Electromag Whip	Item_076	An electrified, telescoping whip.
RESERVE	Item_077	RESERVE
Mirage Whip	Item_078	A whip able to blow away memories.
Strike Tail	Item_079	A whip shaped like a tail.
RESERVE	Item_07A	RESERVE
Great Whip Sword	Item_07B	A telescoping whip with increased power.
Chain Whip	Item_07C	A whip made from chains.
RESERVE	Item_07D	RESERVE
Fear of Pain	Item_07E	A whip with a terrifying strike.
Spike Whip	Item_07F	An electrified, telescoping whip.
RESERVE	Item_080	RESERVE
Hard Branch	Item_081	A whip capable of inducing sleep.
RESERVE	Item_082	RESERVE
RESERVE	Item_083	RESERVE
RESERVE	Item_084	RESERVE
Guilty Whip	Item_085	A whip that dissolves sin.
Goat Leather Whip	Item_086	A light and sturdy whip.
RESERVE	Item_087	RESERVE
RESERVE	Item_088	RESERVE
RESERVE	Item_089	RESERVE
RESERVE	Item_08A	RESERVE
Snow Queen's Whip	Item_08B	A whip that controls the night.
RESERVE	Item_08C	RESERVE
Naraka Whip	Item_08D	A whip that freezes enemies.
Katana	Item_08E	A weapon manifested from an awakened power.
Gunto	Item_08F	A sword with no edge.
Zandouto	Item_090	A sword that cannot cut konjak.
