Shadow of God	0
Fly of the Dead	0
Brave Spear-bearer	1
Crypt-dwelling Pyromaniac	1
Mocking Snowman	1
Beguiling Girl	1
Guard Dog of Hades	1
Woman Who Brings Ruin	1
War-hungry Horseman	1
Hero-gathering Tyrant	0
Girl of the Hanging Tree	1
Vicious Pentagram	1
Throbbing King of Desire	1
Cruel Leopard	1
Thunder Emperor	1
Expressionless Beast	1
Herald of Death	0
Strumming Veena Player	1
Funerary Warrior	1
Human-eating Lady	1
Auspicious Pachyderm	1
Bearer of the Scales	1
Coffin-borne God	1
Cleanser of Heaven	0
The Shadowed One	1
Prankster Leader	1
Dancing Lion	1
Rebellious Elephant	1
Monarch of Snow	1
Self-infatuated Star	1
She of Life and Death	1
Slithering Snakewoman	1
Fused Ghost	1
Battle Fiend	1
Night-walking Warrior	1
Rhetorician of the Sea	1
Vicious Young Warrior	0
Scandalous Queen	1
Bedside Brute	1
Chivalrous Fiend	1
Harlot of Desire	1
Dancing Witch	1
Hunting Wolf Spirit	1
Destructive Beauty	1
Declarer of Anguish	0
Angry Warrior	0
Mysterious Little Girl	0
The Blackened Fury	1
Monk of the Valley	1
Unfaithful Dream-King	1
Bringer of Misfortune	1
Drunken Serpents	1
Equine Sage	1
Nimble Monkey King	1
Heavenly Punisher	1
Piggyback Demon	1
Midnight Queen	1
Prison Master	0
Abyssal King of Avarice	1
Rooftop Lion	1
Envoy of Slumber	1
Missionary of Depravity	1
Jealous Lover	1
Bloody Goddess	0
The Black Avenger	1
RESERVE	0
Embittered Blacksmith	1
Twin-headed Guardian	1
Twilight Prostitute	1
Vampire Moth	1
RESERVE	0
Merciless Inquisitor	1
Ascended Feline	1
Evil Snowman	0
Awakened God	1
Zealous Messenger	1
Quaking Lady of Shadow	1
Mountain Girl	1
RESERVE	0
Divine Warrior	1
Possessing Dog Ghost	1
Wandering Reviver	1
RESERVE	0
Viscid Rotting Meat	1
Thief of Tablets	1
RESERVE	0
Grudging Warrior Arisen	0
Defeated Avenger	1
Captivating Dancer	1
Lamenting Sacrifice	1
Life-draining Spirit	1
Shadowy Ninja	0
Samurai Killer	1
Raging Water Demon	1
Tornado Devil	1
RESERVE	1
Wishless Star	1
Mad Marsh Horse	1
Chanting Baboon	1
Hedonistic Braggart	1
Waterside Nymph	1
Menacing Owlman	1
Torn King of Desire	1
Leafy Old Man	1
Foolish Monk	1
Regent	1
Queen's Necklace	1
Stone of Scone	1
Koh-i-Noor	1
Orlov	1
Emperor's Talisman	1
Hope Diamond	1
Crystal Skull	1
RESERVE	1
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
Gallows-Flower	1
Reviled Dictator	1
Bloodthirsty Demoness	1
Troublesome Housemaid	1
Killer Teddy Bear	0
Pulsing Mud	1
Dirty Two-horned Beast	1
Dark Sun	1
Noisy Mountain Spirit	1
Wavering Tree Spirit	1
Apprentice in a Jug	1
Corpse Bird	1
Night Chimera	1
Corpse-eating Corpse	1
Pagan Savior	1
Heretic Goat	1
Snake King	0
Cavern Snakeman	1
Raging Bird God	1
Sacrificial Pyrekeeper	1
Final Assessor	1
Ambassador of Filth	1
Brutal Cavalryman	1
Gathering Devil	1
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
Apocalyptic Guide	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
RESERVE	0
Execurobo MDL-ED	0
Corporobo MDL-?	0
Corporobo MDL-?	0
Corporobo MDL-?	0
Corporobo MDL-CH	0
Corporobo MDL-WKR	0
Demonic Warlord	0
Floodbringer Demon	0
Tornado Devil	0
Raging Bird God	0
Viscid Rotting Meat	0
Troublesome Housemaid	0
Dancing Witch	0
Shadow Takanashi	0
Shadow Nakanohara	0
Defeated Avenger	0
Raging Bird God	0
Torn King of Desire	0
RESERVE	0
RESERVE	0
The Reaper	0
RESERVE	0
RESERVE	0
RESERVE	0
Incubus	0
Justine	0
Caroline	0
Holy Grail Tentacle A	0
Holy Grail Tentacle B	0
Holy Grail Tentacle C	0
RESERVE	0
Suguru Asmodeus Kamoshida	0
Trophy of Obsession	0
Teacher Boss Post Aff Change	0
Weak Tomb of Human Sacrifice	0
Holy Grail	0
Painter's Right Eye	0
Painter's Left Eye	0
Painter's Nose	0
Painter's Mouth	0
Ichiryusai Azazel Madarame	0
Museum Boss All Weakness	0
Treasure of Mementos?	0
Junya Bael Kaneshiro	0
Piggytron	0
Beast That Rules the Palace	0
Piggytron	0
Goro Akechi	0
Cognitive Wakaba Isshiki	0
Guard Dog of Hades	0
Spear-wielding General	0
Kunikazu Mammon Okumura	0
Execurobo MDL-ED	0
Corporobo MDL-GM	0
Corporobo MDL-DM	0
Corporobo MDL-AM	0
Corporobo MDL-CH	0
Corporobo MDL-WKR	0
Shadow Sae	0
Sae Leviathan Niijima	0
Holy Grail	0
Goro Akechi	0
Goro Akechi	0
Beast of Human Sacrifice	0
Wings of Human Sacrifice	0
Tomb of Human Sacrifice	0
Masayoshi Samael Shido	0
True Masayoshi Samael Shido	0
Holy Grail	0
God of Control, Yaldabaoth	0
Sword of Conviction	0
Gun of Execution	0
Bell of Declaration	0
Book of Commandments	0
Justine	0
Caroline	0
Haru's Fiance	0
Museum Boss, Right Eye	0
Museum Boss, Left Eye	0
Museum Boss, Nose	0
Museum Boss, Mouth	0
Shadow TV President	0
Shadow Cleaner	0
Crypt-dwelling Pyromaniac	0
Final Measurer	0
Snake King	0
Guard Captain	0
Guard Captain	0
Sacrificial Pyrekeeper	0
Gallows-Flower	0
Cruel Leopard	0
Dirty Two-horned Beast	0
Shadow Mr. Takase	0
Viscid Rotting Meat	0
Shadow Mrs. Magario	0
Beguiling Girl	0
Shadow Oyamada	0
Rhetorician of the Sea	0
Shadow Mr. Magario	0
Shadow Nejima	0
Funerary Warrior	0
The Black Avenger	0
Auspicious Pachyderm	0
Shadow Uchimura	0
Heretic Goat	0
Shadow Akitsu	0
RESERVE	0
Security Shadow	0
Shadow Wakasa	0
Life-draining Spirit	0
Guard Dog of Hades	0
Wandering Reviver	0
Politician Ooe	0
Shadow Shimizu	0
Shadow IT President	0
Embittered Blacksmith	0
Shadow Honjo	0
Hunting Wolf Spirit	0
Shadow Jochi	0
Zealous Messenger	0
Sacrificial Pyrekeeper	0
Coffin-borne God	0
Shadow Fukurai	0
Shadow Takanashi	0
Tornado Devil	0
Shadow Oda	0
Shadow Nakanohara	0
Shadow Sakoda	0
Shadow Mrs. Takase	0
Shadow Mogami	0
Shadow Togo	0
Chivalrous Guard	0
Cavern Snakeman	0
