BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
BLANK	BLANK
Agi	Light Fire dmg to one foe. Chance of inflicting Burn.
Agilao	Medium Fire dmg to one foe. Chance of inflicting Burn.
Agidyne	Heavy Fire dmg to one foe. Chance of inflicting Burn.
Maragi	Light Fire dmg to all foes. Chance of inflicting Burn.
Maragion	Medium Fire dmg to all foes. Chance of inflicting Burn.
Maragidyne	Heavy Fire dmg to all foes. Chance of inflicting Burn.
Agi	BLANK
Maragi	BLANK
Fire Ball	BLANK
Raging Flames	BLANK
Bufu	Light Ice dmg to one foe. Chance of inflicting Freeze.
Bufula	Medium Ice dmg to one foe. Chance of inflicting Freeze.
Bufudyne	Heavy Ice dmg to one foe. Chance of inflicting Freeze.
Mabufu	Light Ice dmg to all foes. Chance of inflicting Freeze.
Mabufula	Medium Ice dmg to all foes. Chance of inflicting Freeze.
Mabufudyne	Heavy Ice dmg to all foes. Chance of inflicting Freeze.
Bufu	BLANK
Mabufu	BLANK
Snow Ball	BLANK
Megidolaon	BLANK
Garu	Light Wind dmg to one foe.
Garula	Medium Wind dmg to one foe.
Garudyne	Heavy Wind dmg to one foe.
Magaru	Light Wind dmg to all foes.
Magarula	Medium Wind dmg to all foes.
Magarudyne	Heavy Wind dmg to all foes.
Garu	BLANK
Gale Ball	BLANK
Bless Ball	BLANK
Curse Ball	BLANK
Zio	Light Elec dmg to one foe. Chance of inflicting Shock.
Zionga	Medium Elec dmg to one foe. Chance of inflicting Shock.
Ziodyne	Heavy Elec dmg to one foe. Chance of inflicting Shock.
Mazio	Light Elec dmg to all foes. Chance of inflicting Shock.
Mazionga	Medium Elec dmg to all foes. Chance of inflicting Shock.
Maziodyne	Heavy Elec dmg to all foes. Chance of inflicting Shock.
Zio	BLANK
Mazio	BLANK
Volt Ball	BLANK
Make it Rain	BLANK
Hama	Low chance of Bless insta-kill to one foe.
Hamaon	Medium chance of Bless insta-kill to one foe.
Mahama	Low chance of Bless insta-kill to all foes.
Mahamaon	Medium chance of Bless insta-kill to all foes.
Kouha	Light Bless dmg to one foe.
Kouga	Medium Bless dmg to one foe.
Kougaon	Heavy Bless dmg to one foe.
Makouha	Light Bless dmg to all foes.
Makouga	Medium Bless dmg to all foes.
Makougaon	Heavy Bless dmg to all foes.
Mudo	Low chance of Curse insta-kill to one foe.
Mudoon	Medium chance of Curse insta-kill to one foe.
Mamudo	Low chance of Curse insta-kill to all foes.
Mamudoon	Medium chance of Curse insta-kill to all foes.
Eiha	Light Curse dmg to one foe.
Eiga	Medium Curse dmg to one foe.
Eigaon	Heavy Curse dmg to one foe.
Maeiha	Light Curse dmg to all foes.
Maeiga	Medium Curse dmg to all foes.
Maeigaon	Heavy Curse dmg to all foes.
Megido	Medium Almighty dmg to all foes.
Megidola	Heavy Almighty dmg to all foes.
Megidolaon	Severe Almighty dmg to all foes.
Frei	Light Nuke dmg to one foe.
Freila	Medium Nuke dmg to one foe.
Freidyne	Heavy Nuke dmg to one foe.
Mafrei	Light Nuke dmg to all foes.
Mafreila	Medium Nuke dmg to all foes.
Mafreidyne	Heavy Nuke dmg to all foes.
Nuke Ball	BLANK
Dazzler	High chance of Dizzy to one foe.
Nocturnal Flash	Medium chance of Dizzy to all foes.
Pulinpa	High chance of Confuse to one foe.
Tentarafoo	Medium chance of Confuse to all foes.
Evil Touch	High chance of Fear to one foe.
Evil Smile	Medium chance of Fear to all foes.
Makajam	High chance of Forget to one foe.
Makajamaon	Medium chance of Forget to all foes.
Famine's Breath	High chance of Hunger to one foe.
Famine's Scream	Medium chance of Hunger to all foes.
Dormina	High chance of Sleep to one foe.
Lullaby	Medium chance of Sleep to all foes.
Taunt	High chance of Rage to one foe.
Wage War	Medium chance of Rage to all foes.
Ominous Words	High chance of Despair to one foe.
Abysmal Surge	Medium chance of Despair to all foes.
Marin Karin	High chance of Brainwash to one foe.
Brain Jack	Medium chance of Brainwash to all foes.
Trapped Rat	High chance of Mouse to one foe.
Psy Ball	BLANK
Self-destruct	Medium Almighty dmg to all.
Self-destruct	Medium Almighty dmg to all.
Self-destruct	Heavy Almighty dmg to all.
Life Drain	Drains HP from one foe.
Spirit Drain	Drains SP from one foe.
Life Leech	Drains high amount of HP from one foe.
Spirit Leech	Drains high amount of SP from one foe.
Spirit Drain	BLANK
NOT USED	BLANK
BLANK	BLANK
Foul Breath	Increases chance of inflicting ailments to one foe.
Stagnant Air	Increases chance of inflicting ailments to all.
Reverse Rub	High chance of Rage to one foe.
Ghastly Wail	Insta-kills foes inflicted with Fear.
NOT USED	BLANK
Drain	BLANK
Megidola	BLANK
Launch	BLANK
Special Fireworks	BLANK
Drift	BLANK
Inferno	Severe Fire dmg to one foe. Chance of inflicting Burn.
Blazing Hell	Severe Fire dmg to all foes. Chance of inflicting Burn.
Low Burn	BLANK
Med Burn	BLANK
High Burn	BLANK
Low Freeze	BLANK
Med Freeze	BLANK
High Freeze	BLANK
Low Shock	BLANK
Med Shock	BLANK
Diamond Dust	Severe Ice dmg to one foe. Chance of inflicting Freeze.
Ice Age	Severe Ice dmg to all foes. Chance of inflicting Freeze.
High Shock	BLANK
Low Dizzy	BLANK
Med Dizzy	BLANK
High Dizzy	BLANK
Low Confuse	BLANK
Med Confuse	BLANK
High Confuse	BLANK
