Agi	Allows you to learn the Fire skill Agi.
Agilao	Allows you to learn the Fire skill Agilao.
Agidyne	Allows you to learn the Fire skill Agidyne.
Maragi	Allows you to learn the Fire skill Maragi.
Maragion	Allows you to learn the Fire skill Maragion.
Maragidyne	Allows you to learn the Fire skill Maragidyne.
Bufu	Allows you to learn the Ice skill Bufu.
Bufula	Allows you to learn the Ice skill Bufula.
Bufudyne	Allows you to learn the Ice skill Bufudyne.
Mabufu	Allows you to learn the Ice skill Mabufu.
Mabufula	Allows you to learn the Ice skill Mabufula.
Mabufudyne	Allows you to learn the Ice skill Mabufudyne.
Garu	Allows you to learn the Wind skill Garu.
Garula	Allows you to learn the Wind skill Garula.
Garudyne	Allows you to learn the Wind skill Garudyne.
Magaru	Allows you to learn the Wind skill Magaru.
Magarula	Allows you to learn the Wind skill Magarula.
Magarudyne	Allows you to learn the Wind skill Magarudyne.
Zio	Allows you to learn the Elec skill Zio.
Zionga	Allows you to learn the Elec skill Zionga.
Ziodyne	Allows you to learn the Elec skill Ziodyne.
Mazio	Allows you to learn the Elec skill Mazio.
Mazionga	Allows you to learn the Elec skill Mazionga.
Maziodyne	Allows you to learn the Elec skill Maziodyne.
Hama	Allows you to learn the Bless skill Hama.
Hamaon	Allows you to learn the Bless skill Hamaon.
Mahama	Allows you to learn the Bless skill Mahama.
Mahamaon	Allows you to learn the Bless skill Mahamaon.
Kouha	Allows you to learn the Bless skill Kouha.
Kouga	Allows you to learn the Bless skill Kouga.
Kougaon	Allows you to learn the Bless skill Kougaon.
Makouha	Allows you to learn the Bless skill Makouha.
Makouga	Allows you to learn the Bless skill Makouga.
Makougaon	Allows you to learn the Bless skill Makougaon.
Mudo	Allows you to learn the Curse skill Mudo.
Mudoon	Allows you to learn the Curse skill Mudoon.
Mamudo	Allows you to learn the Curse skill Mamudo.
Mamudoon	Allows you to learn the Curse skill Mamudoon.
Eiha	Allows you to learn the Curse skill Eiha.
Eiga	Allows you to learn the Curse skill Eiga.
Eigaon	Allows you to learn the Curse skill Eigaon.
Maeiha	Allows you to learn the Curse skill Maeiha.
Maeiga	Allows you to learn the Curse skill Maeiga.
Maeigaon	Allows you to learn the Curse skill Maeigaon.
Megido	Allows you to learn the Almighty skill Megido.
Megidola	Allows you to learn the Almighty skill Megidola.
Megidolaon	Allows you to learn the Almighty skill Megidolaon.
Frei	Allows you to learn the Nuke skill Frei.
Freila	Allows you to learn the Nuke skill Freila.
Freidyne	Allows you to learn the Nuke skill Freidyne.
Mafrei	Allows you to learn the Nuke skill Mafrei.
Mafreila	Allows you to learn the Nuke skill Mafreila.
Mafreidyne	Allows you to learn the Nuke skill Mafreidyne.
Dazzler	Allows you to learn the ailment skill Dazzler.
Nocturnal Flash	Allows you to learn the ailment skill Nocturnal Flash.
Pulinpa	Allows you to learn the ailment skill Pulinpa.
Tentarafoo	Allows you to learn the ailment skill Tentarafoo.
Evil Touch	Allows you to learn the ailment skill Evil Touch.
Evil Smile	Allows you to learn the ailment skill Evil Smile.
Makajama	Allows you to learn the ailment skill Makajama.
Makajamaon	Allows you to learn the ailment skill Makajamaon.
Famine's Breath	Unused
Famine's Scream	Unused
Dormina	Allows you to learn the ailment skill Dormina.
Lullaby	Allows you to learn the ailment skill Lullaby.
Taunt	Allows you to learn the ailment skill Taunt.
Wage War	Allows you to learn the ailment skill Wage War.
Ominous Words	Allows you to learn the ailment skill Ominous Words.
Abysmal Surge	Allows you to learn the ailment skill Abysmal Surge.
Marin Karin	Allows you to learn the ailment skill Marin Karin.
Brain Jack	Allows you to learn the ailment skill Brain Jack.
Trapped Rat	Unused
