item_001	Slightly restores an ally's HP.
item_002	Moderately restores an ally's HP.
item_003	Fully restores an ally's HP.
item_004	Slightly restores an ally's SP.
item_005	Moderately restores an ally's SP.
item_006	Fully restores an ally's SP.
item_007	Fully restores party's HP and SP.
item_008	Neutralizes Poison (1 ally).
item_009	Revives an ally, restoring 50% of HP.
item_00A	Revives an ally, fully restoring HP.
item_00B	Dispels Panic, Fear, and Distress (party).
item_00C	Battle: restores ally's HP (Med). Side effect.
item_00D	Battle: restores ally's HP (Med). Side effect.
item_00E	Battle: restores ally's HP (Med). Side effect.
item_00F	Drink at your own risk!
item_010	Moderately restores party's HP.
item_011	Cures all ailments except Down and Dizzy.
item_012	Used to fuse a Persona into a 2h sword.
item_013	Dispels Rage (1 ally).
item_014	Dispels Charm (1 ally).
item_015	ID_015 ID_015
item_016	Casts Hamaon on 1 enemy.
item_017	Casts Mudoon on 1 enemy.
item_018	Briefly raises entire party's strength.
item_019	Briefly raises entire party's agility.
item_01A	Briefly raises entire party's defense.
item_01B	Massive Fire damage to 1 enemy.
item_01C	Massive Wind damage to 1 enemy.
item_01D	Massive Ice damage to 1 enemy.
item_01E	Massive Elec damage to 1 enemy.
item_01F	ID_01F ID_01F
item_020	Dispels Panic, Fear, and Distress (1 ally).
item_021	Enables escape from a dungeon.
item_022	Fully restores party's HP.
item_023	Barrier that reflects magic 1x (party).
item_024	Barrier that reflects phys atk 1x (party).
item_025	Nullifies stat bonuses (all foes).
item_026	Nullifies stat penalties (party).
item_027	Protects self from a Hama/Mudo skill.
item_028	Miraculously restores party upon your death.
item_029	Deals medium Fire damage to 1 foe.
item_02A	Deals light Fire damage to all foes.
item_02B	Deals medium Ice damage/Freezes 1 foe.
item_02C	Deals light Ice damage /Freezes all foes.
item_02D	Deals medium Wind damage to 1 foe.
item_02E	Deals light Wind damage to all foes.
item_02F	Deals medium Elec damage/Shocks 1 foe.
item_030	Deals light Elec dmg/ Shocks all foes.
item_031	Deals medium Almighty damage to all foes.
item_032	Guaranteed escape from most battles.
item_033	???
item_034	Persona: Luck +1, Strength +1.
item_035	Persona: Luck +1, Strength +2.
item_036	Persona: Luck +2, Strength +3.
item_037	Persona: Luck +2, Strength +4.
item_038	Persona: Luck +1, Endurance +1.
item_039	Persona: Luck +1, Endurance +2.
item_03A	Persona: Luck +2, Endurance +3.
item_03B	Persona: Luck +2, Endurance +4.
item_03C	Persona: Luck +1, Magic +1.
item_03D	Persona: Luck +1, Magic +2.
item_03E	Persona: Luck +2, Magic +3.
item_03F	Persona: Luck +2, Magic +4.
item_040	Persona: Luck +1, Agility +1.
item_041	Persona: Luck +1, Agility +2.
item_042	Persona: Luck +2, Agility +3.
item_043	Persona: Luck +2, Agility +4.
item_044	???
item_045	Used to fuse a Persona into a sword.
