Shouting Tiara	Malebolge 8
Shouting Tiara	Malebolge 8
Wrathful Book	Malebolge 8
Cowardly Maya	Cocytus 9
Crying Table	Cocytus 9
Wondrous Magus	Cocytus 9
Natural Dancer C	Caina 7
Harem Dancer	Caina 7
Harmony Giant B	Caina 14
Judgment Sword	Caina 14
Frivolous Maya	Antenora 10
Death Castle	Antenora 20
Avenger Knight B	Antenora 20
Spastic Turret	Ptolomea 8
Slaughter Drive	Ptolomea 8
Acheron Seeker	Ptolomea 17
Ice Raven	Ptolomea 17
Killer Twins B	Judecca 8
Red Sigil C	Judecca 8
Reckoning Dice C	Judecca 17
Eternal Sand C	Judecca 17
Onnen Musha	Empyrean 9
Kaiden Musha	Empyrean 9
Tenjin Musha	Empyrean 9
Neo Minotaur	Empyrean 19
Rebellious Cyclops	Empyrean 19
Dignified Checkmate	Cocytus 1-7 10-14
Bold Checkmate	Caina 1-5 8-12 15-19
Reticent Checkmate	Antenora 1-8 11-18 21-24
Principled Checkmate	Ptolomea 1-6 9-15 18-24
Dutiful Checkmate	Judecca 1-6 9-15 18-24
Final Checkmate	Empyrean 1-7 10-17 20-25
Elegant Mother C	Cocytus Door
Phantom Mage B	Cocytus Door
Red Sigil B	Cocytus Door
Nemean Beast B	Caina Door
Eternal Eagle B	Caina Door
Chaos Cyclops B	Caina Door
Judgment Sword B	Antenora Door
Minotaur III B	Antenora Door
Grand Magus B	Antenora Door
Crazy Twins B	Ptolomea Door
Emperor Beetle B	Ptolomea Door
Death Castle B	Ptolomea Door
World Balance B	Ptolomea Door
Eternal Sand B	Judecca Door
Void Giant B	Judecca Door
Rampage Drive C	Judecca Door
Vehement Idol C	Judecca Door
Phantom King B	Empyrean Door
Fanatic Tower B	Empyrean Door
Reckoning Dice B	Empyrean Door
Intrepid Knight C	Empyrean Door
Immortal Gigas	Set 1
Visceral Maya B	Set 1
Visceral Maya B	Set 1
Heat Balance C	Set 2
Sky Balance B	Set 2
Primitive Idol	Set 2
El Dorado Beast	Set 3
Amorous Snake B	Set 3
Brilliant Cyclops	Set 4
Change Relic B	Set 4
