skillLevel	skillEvent	skillId	param1	param2	param3	param4	param5	exp
0	1	245	0	1	0	1	1	21
0	1	247	1	1	1	0	0	48
32	1	249	0	0	1	1	1	100
45	1	250	1	1	0	1	0	185
58	1	246	0	1	1	1	0	312
70	1	248	1	1	0	0	1	490
0	0	0	0	0	1	1	1	727
0	0	0	1	1	0	1	0	1031
0	0	0	0	2	0	0	1	1410
0	0	0	0	0	1	1	1	1873
0	0	0	0	1	0	1	1	2429
0	0	0	1	0	1	0	1	3086
0	0	0	0	1	1	1	0	3852
0	0	0	1	1	0	0	1	4735
0	0	0	0	1	2	0	0	5744
0	0	0	0	0	0	2	1	6888
0	0	0	1	1	1	0	0	8175
0	0	0	0	0	1	2	0	9613
0	0	0	0	1	0	0	2	11210
0	0	0	1	0	1	0	1	12975
0	0	0	0	1	0	2	0	14917
0	0	0	1	0	0	0	2	17044
0	0	0	0	0	1	1	1	19364
0	0	0	0	2	0	0	1	21885
0	0	0	1	0	1	1	0	24616
0	0	0	0	1	0	2	0	27566
0	0	0	0	0	1	1	1	30743
0	0	0	1	1	1	0	0	34155
0	0	0	0	1	1	0	1	37810
0	0	0	1	1	0	1	0	41717
0	0	0	1	0	1	0	1	45885
0	0	0	1	1	1	0	0	50322
0	0	0	0	0	1	1	1	55036
0	0	0	1	1	0	1	0	60035
0	0	0	0	0	2	0	1	65328
0	0	0	0	2	1	0	0	70924
0	0	0	1	0	0	1	1	76831
0	0	0	0	1	1	1	0	83057
0	0	0	0	2	0	1	0	89610
0	0	0	1	1	0	0	1	96499
0	0	0	0	0	1	1	1	103733
0	0	0	0	2	0	1	0	111320
0	0	0	2	0	1	0	0	119268
0	0	0	0	1	1	0	1	127585
0	0	0	0	1	0	1	1	136280
0	0	0	1	0	1	1	0	145362
0	0	0	0	1	1	0	1	154839
0	0	0	1	1	0	1	0	164719
0	0	0	1	1	1	0	0	175010
0	0	0	0	0	0	1	2	185721
0	0	0	0	1	0	2	0	196861
0	0	0	1	1	0	0	1	208438
0	0	0	0	0	2	1	0	220460
0	0	0	1	1	0	0	1	232935
0	0	0	1	0	1	1	0	245872
0	0	0	1	2	0	0	0	259280
0	0	0	0	1	0	1	1	273167
0	0	0	1	0	1	0	1	287541
0	0	0	0	1	1	1	0	302410
0	0	0	0	0	1	1	1	317783
0	0	0	2	0	0	0	1	333669
0	0	0	0	2	0	1	0	350076
0	0	0	1	0	1	0	1	367012
0	0	0	1	1	1	0	0	384485
0	0	0	0	1	1	0	1	402504
0	0	0	1	0	0	2	0	421078
0	0	0	0	2	1	0	0	440215
0	0	0	1	0	0	1	1	459923
0	0	0	0	1	1	1	0	480210
0	0	0	1	1	1	0	0	501085
0	0	0	1	0	1	0	1	522557
0	0	0	0	1	0	1	1	544634
0	0	0	1	0	1	1	0	567324
0	0	0	1	1	0	0	1	590635
0	0	0	1	0	1	1	0	614576
0	0	0	0	2	0	0	1	639156
0	0	0	1	0	0	2	0	664383
0	0	0	0	1	1	0	1	690265
0	0	0	0	1	1	1	0	716810
0	0	0	1	0	0	1	1	744027
0	0	0	0	1	1	0	1	771925
0	0	0	1	0	0	1	1	800512
0	0	0	0	1	1	0	1	829796
0	0	0	1	2	0	0	0	859785
0	0	0	1	0	0	2	0	890488
0	0	0	0	1	1	0	1	921914
0	0	0	1	1	0	1	0	954071
0	0	0	0	0	2	0	1	986967
0	0	0	1	1	0	1	0	1020610
0	0	0	1	0	1	0	1	1055009
0	0	0	0	1	0	1	1	1090173
0	0	0	2	0	0	1	0	1126110
0	0	0	0	1	1	0	1	1162828
0	0	0	1	0	1	1	0	1200335
0	0	0	1	0	1	0	1	1238640
0	0	0	0	2	0	1	0	1277752
0	0	0	1	0	1	0	1	1317679
0	0	0	0	1	0	1	1	1358429
