skillLevel	skillEvent	skillId	param1	param2	param3	param4	param5	exp
0	1	126	1	1	1	0	0	21
0	1	111	1	0	1	1	0	48
0	1	21	0	1	1	0	1	100
0	1	180	1	1	0	1	0	185
0	1	200	1	0	1	0	1	312
28	1	87	1	1	1	0	0	490
31	1	869	0	1	1	1	0	727
34	1	31	1	1	0	0	1	1031
38	1	129	1	0	1	1	0	1410
42	1	205	1	0	1	1	0	1873
45	1	115	0	1	1	0	1	2429
49	1	739	1	1	0	1	0	3086
52	1	127	1	0	1	0	1	3852
56	1	185	0	1	0	1	1	4735
59	1	22	1	1	0	0	1	5744
63	1	870	1	0	1	1	0	6888
66	1	32	0	1	0	1	1	8175
69	1	88	1	1	1	0	0	9613
72	1	132	1	0	0	1	1	11210
76	1	836	0	1	1	1	0	12975
79	1	116	0	1	1	0	1	14917
83	1	871	1	1	0	1	0	17044
0	0	0	1	0	1	0	1	19364
0	0	0	1	0	1	1	0	21885
0	0	0	1	0	0	1	1	24616
0	0	0	0	1	1	1	0	27566
0	0	0	1	1	1	0	0	30743
0	0	0	1	0	1	0	1	34155
0	0	0	1	1	0	1	0	37810
0	0	0	1	0	1	0	1	41717
0	0	0	1	1	1	0	0	45885
0	0	0	0	1	1	1	0	50322
0	0	0	1	0	1	1	0	55036
0	0	0	0	1	1	0	1	60035
0	0	0	1	0	1	1	0	65328
0	0	0	1	1	0	1	0	70924
0	0	0	0	1	1	0	1	76831
0	0	0	2	0	1	0	0	83057
0	0	0	0	2	0	2	0	89610
0	0	0	1	0	2	0	1	96499
0	0	0	2	0	1	1	0	103733
0	0	0	2	1	2	0	0	111320
0	0	0	0	2	1	0	1	119268
0	0	0	2	0	1	0	1	127585
0	0	0	1	0	2	1	0	136280
0	0	0	1	2	0	1	0	145362
0	0	0	0	1	2	0	1	154839
0	0	0	2	1	0	1	0	164719
0	0	0	2	0	2	1	0	175010
0	0	0	0	2	2	0	0	185721
0	0	0	2	0	0	1	1	196861
0	0	0	0	2	2	0	0	208438
0	0	0	2	0	1	2	0	220460
0	0	0	1	2	0	0	1	232935
0	0	0	2	0	2	0	0	245872
0	0	0	1	0	0	2	1	259280
0	0	0	0	1	2	2	0	273167
0	0	0	2	1	2	0	0	287541
0	0	0	1	0	2	0	1	302410
0	0	0	0	2	1	0	1	317783
0	0	0	2	0	2	1	0	333669
0	0	0	1	2	1	0	0	350076
0	0	0	0	1	1	1	0	367012
0	0	0	2	0	0	0	1	384485
0	0	0	1	1	1	0	0	402504
0	0	0	0	1	1	1	0	421078
0	0	0	1	1	1	0	0	440215
0	0	0	1	0	1	1	0	459923
0	0	0	0	1	1	0	1	480210
0	0	0	2	0	0	1	0	501085
0	0	0	0	1	1	1	0	522557
0	0	0	1	1	0	0	1	544634
0	0	0	1	0	1	1	0	567324
0	0	0	0	1	2	0	0	590635
0	0	0	1	1	0	1	0	614576
0	0	0	1	0	1	0	1	639156
0	0	0	0	1	0	1	1	664383
0	0	0	1	0	1	1	0	690265
0	0	0	1	0	1	0	1	716810
0	0	0	0	1	0	1	0	744027
0	0	0	1	0	1	0	0	771925
0	0	0	1	0	0	0	1	800512
0	0	0	0	1	0	1	0	829796
0	0	0	1	0	1	0	0	859785
0	0	0	0	1	1	0	0	890488
0	0	0	1	0	0	0	1	921914
0	0	0	1	0	0	1	0	954071
0	0	0	0	0	1	0	1	986967
0	0	0	1	0	0	1	0	1020610
0	0	0	1	0	0	1	0	1055009
0	0	0	0	1	1	0	0	1090173
0	0	0	1	0	0	1	0	1126110
0	0	0	0	0	1	0	1	1162828
0	0	0	1	0	0	1	0	1200335
0	0	0	0	1	0	1	0	1238640
0	0	0	1	0	1	0	0	1277752
0	0	0	0	1	0	0	1	1317679
0	0	0	1	0	1	0	0	1358429
