flags	race	level	maxhp	maxsp	params1	params2	params3	params4	params5	skill1	skill2	skill3	skill4	skill5	skill6	skill7	skill8	exp	money	itemId1	itemProb1	itemId2	itemProb2	itemId3	itemProb3	itemId4	itemProb4	eventitemEvent	eventitemId	eventitemProb	attackAttr	attackHit	attackPower
0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	28	288	84	19	16	16	18	20	133	128	89	0	0	0	0	0	550	0	24719	35	24645	10	0	0	0	0	0	0	0	1	70	20
0	2	35	330	150	21	20	22	22	25	31	33	133	89	0	0	0	0	770	0	24720	35	24645	10	0	0	0	0	0	0	0	1	80	20
0	2	44	477	150	28	24	25	27	32	127	89	93	71	74	0	0	0	1124	0	24721	35	24637	10	0	0	0	0	0	0	0	1	90	30
0	2	55	665	150	39	30	32	35	30	131	58	60	794	0	0	0	0	1739	0	24722	35	24637	10	0	0	0	0	0	0	0	1	95	30
0	2	32	340	140	21	25	20	17	18	40	43	85	0	0	0	0	0	675	0	24723	40	24649	5	0	0	0	0	0	0	0	0	80	20
256	2	37	1500	500	25	28	21	20	24	11	13	85	111	812	739	0	0	24000	0	24651	100	0	0	0	0	0	0	0	0	0	0	90	20
0	2	62	661	200	28	28	30	33	65	95	215	216	817	0	0	0	0	2028	0	24725	30	24640	5	24639	5	0	0	0	0	0	0	90	30
0	2	68	800	200	55	42	33	37	29	112	115	32	90	0	0	0	0	2155	0	24726	25	24639	10	24640	5	0	0	0	0	0	0	90	30
0	2	54	698	150	26	40	35	33	29	79	22	206	93	94	0	0	0	1540	0	24727	25	24646	10	24639	5	0	0	0	0	0	1	90	20
256	2	37	1700	500	22	30	23	21	22	79	21	23	206	800	739	0	0	0	0	20591	100	0	0	0	0	0	0	0	0	0	1	90	20
0	2	49	556	150	24	40	27	29	31	79	21	24	206	800	191	0	0	1540	0	24729	25	24637	10	24646	5	0	0	0	0	0	1	90	20
0	2	70	909	200	31	62	41	33	35	80	22	25	186	206	801	818	0	2262	0	0	0	24644	10	24641	10	0	0	0	0	0	1	90	20
256	2	37	1300	500	19	22	25	27	25	31	33	182	185	771	738	0	0	0	0	16764	100	0	0	0	0	0	0	0	0	0	1	90	20
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	31	320	140	18	23	22	18	17	10	13	191	0	0	0	0	0	623	0	24731	35	24649	10	0	0	0	0	0	0	0	1	80	20
0	3	47	454	150	23	35	31	30	26	21	24	192	0	0	0	0	0	1235	0	24732	35	24640	10	24639	5	0	0	0	0	0	1	80	20
0	3	55	698	150	32	36	31	34	33	156	195	196	197	12	14	0	0	1686	0	24734	30	24645	5	24646	5	0	0	0	0	0	1	90	20
256	3	29	680	400	16	25	20	18	15	95	40	43	817	0	0	0	0	5000	0	24651	100	0	0	0	0	0	0	0	0	0	1	90	20
0	3	25	200	84	11	23	17	15	14	180	181	56	59	90	0	0	0	450	0	24735	40	24645	10	0	0	0	0	0	0	0	1	70	20
0	3	35	310	150	22	25	21	22	20	180	181	21	23	0	0	0	0	775	0	24736	35	24649	5	24645	5	0	0	0	0	0	1	80	20
0	3	54	620	150	29	37	33	30	34	180	181	182	22	24	0	0	0	1637	0	24737	35	24639	10	0	0	0	0	0	0	0	1	90	20
256	3	30	1520	300	15	35	26	20	13	215	56	59	50	765	0	0	0	10000	0	20592	100	0	0	0	0	0	0	0	0	0	1	90	20
0	3	33	406	140	18	28	18	20	21	220	10	11	13	182	0	0	0	1028	0	24739	30	24640	10	24646	5	0	0	0	0	0	1	80	20
0	3	47	469	150	24	37	27	29	28	221	21	24	93	100	0	0	0	1237	0	24740	30	24639	10	0	0	0	0	0	0	0	1	90	20
0	3	45	460	150	28	32	26	26	28	223	41	44	114	804	819	0	0	926	0	24741	30	24646	10	0	0	0	0	0	0	0	1	90	20
0	3	58	738	150	24	57	32	31	31	222	32	34	62	76	180	802	0	1857	0	0	0	24646	10	0	0	0	0	0	0	0	1	90	20
256	3	2	83	15	3	2	4	2	2	10	0	0	0	0	0	0	0	18	0	24708	40	24645	5	0	0	0	0	0	0	0	1	60	5
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4	32	330	140	22	20	18	24	17	110	113	30	0	0	0	0	0	672	0	24743	30	24637	15	0	0	0	0	0	0	0	0	80	20
0	4	48	459	150	31	31	29	35	22	127	114	71	0	0	0	0	0	1431	0	24744	40	24640	10	24639	5	0	0	0	0	0	0	80	20
0	4	56	697	150	38	33	31	37	30	112	144	32	182	0	0	0	0	1738	0	24745	30	24640	15	0	0	0	0	0	0	0	0	90	20
0	4	74	711	200	54	44	40	45	31	114	112	32	35	187	793	0	0	2454	0	24746	30	24642	5	24648	5	0	0	0	0	0	0	90	30
0	4	31	324	130	17	27	22	13	21	30	33	85	91	0	0	0	0	950	0	24747	30	24645	10	0	0	0	0	0	0	0	2	90	20
0	4	38	468	150	22	28	27	22	20	31	33	192	0	0	0	0	0	928	0	24748	30	24649	5	24640	5	0	0	0	0	0	2	90	20
0	4	61	781	200	32	43	37	36	33	156	32	35	802	0	0	0	0	1893	0	24749	30	24642	10	24637	5	0	0	0	0	0	2	90	20
0	4	73	647	200	37	64	51	33	26	12	22	42	32	58	72	195	866	2164	0	24750	25	24639	10	24640	5	0	0	0	0	0	2	90	20
0	4	33	419	140	18	27	22	18	20	70	73	87	0	0	0	0	0	1027	0	0	0	24646	10	0	0	0	0	0	0	0	1	80	20
