flag	race	level	params1	params2	params3	params4	params5	breakage	succession	conception	message
8	1	0	0	0	0	0	0	0	0	0	0
48	7	25	12	23	15	17	15	0	31	0	0
49	7	1	2	3	1	2	2	0	31	0	0
48	2	31	28	15	22	19	16	0	31	0	0
49	2	31	28	15	22	19	16	0	31	0	0
48	5	25	20	17	17	17	11	0	31	0	0
49	5	1	2	2	2	2	2	0	31	0	0
48	4	37	24	33	20	24	23	0	31	0	0
49	4	37	24	33	20	24	23	0	31	0	0
48	3	25	11	19	15	18	19	0	31	0	0
49	3	25	11	19	15	18	19	0	31	0	0
48	8	20	16	12	18	11	10	0	31	0	0
49	8	20	16	12	18	11	10	0	31	0	0
48	9	25	14	20	14	18	16	0	31	0	0
49	9	25	14	20	14	18	16	0	31	0	0
48	6	39	42	18	37	23	17	0	31	0	0
48	12	31	21	21	18	26	16	0	31	0	0
48	6	25	19	17	18	15	13	0	31	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
0	9	10	8	8	8	7	6	0	9	0	0
2	20	85	75	55	58	50	54	0	31	100	0
0	12	72	63	37	64	39	35	0	15	100	0
0	13	73	45	53	51	57	32	0	30	100	0
0	11	56	26	45	32	36	40	0	4	100	0
0	22	73	51	51	68	35	42	0	6	100	0
0	21	40	27	35	30	21	26	0	27	0	0
0	16	76	53	61	48	33	46	0	11	100	0
0	3	2	2	4	2	3	2	0	21	0	0
0	10	68	47	52	53	32	36	0	18	100	0
0	8	6	8	3	4	5	5	0	7	0	0
2	14	68	35	62	31	51	44	0	8	100	0
0	4	84	51	70	60	51	51	0	30	100	0
0	13	10	4	8	7	7	11	0	29	0	0
0	16	37	22	30	20	21	28	0	29	0	0
0	9	32	21	24	15	22	22	0	9	0	0
0	13	38	27	27	35	15	17	0	7	0	0
0	12	10	11	7	6	8	5	0	14	0	0
0	20	78	65	55	50	53	42	0	9	100	0
0	22	57	47	42	35	36	30	0	15	0	0
0	17	31	26	21	24	20	15	0	6	0	0
0	9	4	4	5	3	4	3	0	9	0	0
0	15	44	35	32	29	24	19	0	7	0	0
0	5	74	44	63	42	46	49	0	7	100	0
0	1	41	32	23	28	25	22	0	31	0	0
0	8	31	30	13	26	21	19	0	26	100	0
0	5	16	11	15	9	12	8	0	5	100	0
0	6	7	4	8	6	4	6	0	17	0	0
0	13	27	22	14	20	18	15	0	20	0	0
0	1	25	15	20	17	19	11	0	6	0	0
2	1	91	63	63	63	63	63	0	31	0	0
0	2	39	22	33	22	28	19	0	5	0	0
0	10	8	4	7	6	10	4	0	8	0	0
0	12	63	53	30	34	48	34	0	26	100	0
0	18	51	39	31	34	20	40	0	9	0	0
0	2	19	8	21	13	17	11	0	5	100	0
0	4	62	40	52	35	41	37	0	17	100	0
0	18	64	45	41	35	51	36	0	16	0	0
0	3	41	24	30	26	22	28	0	4	0	0
0	18	42	23	28	25	25	32	0	8	0	0
0	3	61	29	50	34	41	39	0	27	100	0
0	8	9	8	4	12	4	6	0	20	0	0
0	7	67	39	54	40	42	45	0	6	100	0
0	19	39	36	26	28	20	20	0	13	0	0
0	5	34	18	31	26	14	20	0	4	0	0
0	7	28	14	26	15	19	17	0	27	0	0
0	17	40	33	29	24	26	21	0	5	100	0
0	10	61	48	44	39	45	20	0	8	0	0
0	11	28	16	22	18	13	22	0	4	0	0
0	10	46	26	32	25	37	25	0	6	0	0
0	19	14	13	8	10	12	6	0	8	0	0
0	11	37	20	29	22	24	26	0	4	100	0
