flag	use	koukatype	costtype	cost	costbase	targettype	targetarea	targetrule	untargetbadstat	hitratio	targetcntmin	targetcntmax	hptype	hpn	sptype	spn	badtype	badratio	badstatus	support	program	criticalratio	swoonratio
262146	2	1	0	0	0	0	2	32	0	90	1	1	1	15	0	0	0	50	0	0	0	3	1
0	2	2	2	4	0	0	2	0	524288	90	1	1	1	40	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	1	2	0	524288	90	1	1	1	40	0	0	0	0	0	0	0	0	0
0	3	2	2	8	0	0	1	0	524288	100	1	1	2	40	0	0	0	0	0	0	0	0	0
0	3	2	2	12	0	1	1	0	524288	100	1	1	2	40	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	3	0	0	2	0	0	99	1	1	1	40	0	0	0	0	0	0	0	0	0
0	2	2	2	6	0	0	2	0	0	99	1	1	1	100	0	0	0	0	0	0	0	0	0
0	2	2	2	12	0	0	2	0	0	99	1	1	1	220	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	1	2	0	0	95	1	1	1	40	0	0	0	0	0	0	0	0	0
0	2	2	2	14	0	1	2	0	0	95	1	1	1	100	0	0	0	0	0	0	0	0	0
0	2	2	2	24	0	1	2	0	0	95	1	1	1	220	0	0	0	0	0	0	0	0	0
0	2	2	2	40	0	0	2	0	0	97	1	1	1	600	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	24	0	1	2	0	0	95	1	1	1	220	0	0	1	35	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	4	0	0	2	0	0	99	1	1	1	40	0	0	1	15	64	0	0	0	0
0	2	2	2	8	0	0	2	0	0	99	1	1	1	100	0	0	1	15	64	0	0	0	0
0	2	2	2	14	0	0	2	0	0	99	1	1	1	220	0	0	1	15	64	0	0	0	0
0	2	2	2	10	0	1	2	0	0	95	1	1	1	40	0	0	1	10	64	0	0	0	0
0	2	2	2	16	0	1	2	0	0	95	1	1	1	100	0	0	1	10	64	0	0	0	0
0	2	2	2	24	0	1	2	0	0	95	1	1	1	220	0	0	1	10	64	0	0	0	0
0	2	2	2	46	0	0	2	0	0	97	1	1	1	600	0	0	1	60	64	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	3	0	0	2	0	0	99	1	1	1	40	0	0	0	0	0	0	0	0	0
0	2	2	2	6	0	0	2	0	0	99	1	1	1	100	0	0	0	0	0	0	0	0	0
0	2	2	2	12	0	0	2	0	0	99	1	1	1	220	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	1	2	0	0	95	1	1	1	40	0	0	0	0	0	0	0	0	0
0	2	2	2	14	0	1	2	0	0	95	1	1	1	100	0	0	0	0	0	0	0	0	0
0	2	2	2	24	0	1	2	0	0	95	1	1	1	220	0	0	0	0	0	0	0	0	0
0	2	2	2	40	0	0	2	0	0	97	1	1	1	600	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	4	0	0	2	0	0	99	1	1	1	40	0	0	1	15	128	0	0	0	0
0	2	2	2	8	0	0	2	0	0	99	1	1	1	100	0	0	1	15	128	0	0	0	0
0	2	2	2	14	0	0	2	0	0	99	1	1	1	220	0	0	1	15	128	0	0	0	0
0	2	2	2	10	0	1	2	0	0	95	1	1	1	40	0	0	1	10	128	0	0	0	0
0	2	2	2	16	0	1	2	0	0	95	1	1	1	100	0	0	1	10	128	0	0	0	0
0	2	2	2	24	0	1	2	0	0	95	1	1	1	220	0	0	1	10	128	0	0	0	0
0	2	2	2	46	0	0	2	0	0	97	1	1	1	600	0	0	1	60	128	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	6	0	0	2	0	0	100	1	1	0	0	0	0	1	30	524288	0	0	0	0
0	2	2	2	14	0	0	2	0	0	100	1	1	0	0	0	0	1	50	524288	0	0	0	0
0	2	2	2	12	0	1	2	0	0	100	1	1	0	0	0	0	1	30	524288	0	0	0	0
0	2	2	2	26	0	1	2	0	0	100	1	1	0	0	0	0	1	50	524288	0	0	0	0
0	2	2	2	40	0	1	2	0	0	100	1	1	0	0	0	0	1	70	524288	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	4	0	0	2	0	0	99	1	1	1	60	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	0	2	0	0	99	1	1	1	140	0	0	0	0	0	0	0	0	0
0	2	2	2	15	0	0	2	0	0	99	1	1	1	350	0	0	0	0	0	0	0	0	0
0	2	2	2	10	0	1	2	0	0	95	1	1	1	60	0	0	0	0	0	0	0	0	0
0	2	2	2	16	0	1	2	0	0	95	1	1	1	140	0	0	0	0	0	0	0	0	0
0	2	2	2	25	0	1	2	0	0	95	1	1	1	350	0	0	0	0	0	0	0	0	0
0	2	2	2	38	0	0	2	0	0	100	1	1	8	50	0	0	0	0	0	0	0	0	0
