RankId	PersonaId	Prob
0	43	100
1	61	20
1	164	20
1	138	10
1	143	10
1	186	10
1	127	5
1	149	15
1	201	10
2	127	10
2	149	15
2	201	20
2	181	20
2	102	15
2	126	10
2	140	10
3	149	5
3	201	10
3	181	15
3	102	15
3	126	15
3	140	20
3	182	10
3	190	10
4	126	8
4	140	8
4	182	10
4	190	15
4	155	15
4	191	12
4	199	12
4	105	10
4	206	10
5	190	8
5	182	8
5	155	10
5	191	10
5	199	10
5	105	12
5	206	12
5	63	10
5	80	10
5	83	10
6	105	8
6	206	8
6	63	11
6	80	10
6	83	10
6	94	13
6	120	13
6	88	12
6	55	5
6	60	5
6	152	5
8	109	15
8	195	12
8	61	12
9	122	12
9	195	15
9	109	15
9	61	16
9	164	18
9	138	12
9	143	12
10	85	10
10	195	12
10	109	12
10	61	13
10	164	13
10	138	15
10	143	15
10	186	10
11	61	20
11	164	20
11	138	10
11	143	10
11	186	10
11	127	5
11	149	15
11	201	10
12	127	10
12	149	15
12	201	20
12	181	20
12	102	15
12	126	10
12	140	10
13	149	5
13	201	10
13	181	15
13	102	15
13	126	15
13	140	20
13	182	10
13	190	10
14	126	8
14	140	8
14	182	10
14	190	15
14	155	15
14	191	12
14	199	12
14	105	10
14	206	10
15	190	8
15	182	8
15	155	10
15	191	10
15	199	10
15	105	12
15	206	12
15	63	10
15	80	10
15	83	10
16	105	8
16	206	8
16	63	11
16	80	10
16	83	10
16	94	13
16	120	13
16	88	12
16	55	5
16	60	5
16	152	5
17	88	10
17	55	13
17	60	13
17	152	13
17	50	13
17	97	10
17	189	10
17	151	10
17	98	8
18	60	5
18	152	5
18	50	10
18	97	10
18	189	10
18	151	10
18	98	10
18	91	9
18	86	8
18	124	8
18	49	5
18	51	5
18	119	5
19	98	5
19	91	8
19	86	10
19	49	10
19	124	10
19	51	10
19	119	10
19	66	9
19	78	9
19	81	7
19	41	7
19	73	5
20	109	100
21	108	100
22	78	6
22	66	6
22	81	7
22	41	7
22	73	9
22	59	9
22	74	10
22	136	10
22	139	10
22	57	8
22	197	8
22	87	5
22	104	5
23	59	5
23	74	5
23	136	5
23	139	6
23	57	9
23	197	9
23	87	10
23	104	10
23	84	11
23	173	11
23	92	7
23	166	7
23	153	5
24	87	5
24	104	5
24	84	9
24	173	9
24	92	12
24	166	12
24	153	13
24	180	13
24	131	8
24	132	8
24	200	6
25	92	8
25	153	8
25	180	10
25	131	12
25	132	12
25	200	15
25	69	10
25	89	10
25	123	10
25	170	5
26	132	5
26	200	8
26	69	10
26	89	10
26	123	15
26	170	17
26	101	15
26	107	10
26	114	10
27	123	11
27	170	13
27	101	14
27	107	14
27	114	13
27	39	11
27	150	11
27	130	9
27	137	4
28	101	5
28	107	7
28	114	7
28	39	9
28	150	9
28	130	9
28	137	10
28	125	10
28	158	9
28	198	9
28	75	8
28	82	8
29	150	5
29	130	7
29	137	9
29	125	9
29	158	11
29	198	11
29	75	10
29	82	10
29	71	8
29	121	8
29	154	5
29	68	5
29	72	2
30	137	4
30	125	4
30	158	8
30	198	8
30	75	10
30	82	10
30	71	12
30	121	12
30	154	11
30	68	11
30	72	10
31	198	6
31	75	6
31	82	8
31	71	10
31	121	10
31	154	10
31	68	12
31	72	14
31	118	10
31	113	8
31	208	6
32	71	10
32	121	10
32	154	12
32	68	12
32	72	14
32	118	14
32	113	14
32	208	10
32	147	4
33	121	10
33	154	12
33	68	12
33	72	15
33	113	16
33	208	16
33	147	13
33	42	6
34	68	10
34	72	11
34	113	15
34	208	20
34	147	20
34	42	18
34	175	6
