flags	fieldMajor	fieldMinor	major	minor	areaNo	envID	partMin	partMax	partSelTable	enemyMin	enemyMax	strongEnemyProbability	strongEnemyMax	rareEnemyProbability	rareEnemyMax	repopNormalNormal	repopNormalStrong	repopNormalRare	repopStrongNormal	repopStrongStrong	repopStrongRare	repopRareNormal	repopRareStrong	repopRareRare	reaper	encountPack	strongEncountPack	pinchEncountPack	pinchStrongEncountPack	rareEncountPack	continousEncount1	continousEncount2	doorGroup	doorProbability	returnDevProbability	tboxMin	tboxMax	tboxType	moneyProbability	moneyMin	moneyMax	tboxPack	rareTboxPack	jewelryTboxPack	primFieldTboxPack	medal1TboxPack	medal2TboxPack	medal3TboxPack	medal4TboxPack	medal5TboxPack	medal6TboxPack	doorTboxPack	doorRareTboxPack	doorJewelryTboxPack	doorPrimFieldTboxPack	doorMedal1TboxPack	doorMedal2TboxPack	doorMedal3TboxPack	doorMedal4TboxPack	doorMedal5TboxPack	doorMedal6TboxPack	missingPersonID	missingBuildID	scrFileNo
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	10	20	1	5	10	0	0	0	0	85	10	0	90	0	0	80	20	0	0	0	0	0	0	0	0	0	1	100	0	16	16	0	25	800	1300	1	2	19	4	735	735	605	0	0	0	26	27	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	5	6	10	3	3	0	0	0	0	100	0	0	100	0	0	100	0	0	0	353	365	353	365	366	353	353	1	0	0	1	2	76	25	1375	1595	66	406	1100	1201	936	937	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	5	6	10	3	3	0	0	0	0	100	0	0	100	0	0	100	0	0	0	354	365	354	365	366	353	353	1	0	0	2	2	80	25	1375	1595	66	406	1100	1201	936	937	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	6	7	10	3	4	20	1	5	1	100	0	0	100	0	0	100	0	0	0	355	365	355	365	366	354	354	1	0	0	1	2	76	25	1375	1595	66	406	1100	1201	936	937	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	5	6	10	3	4	20	1	5	1	100	0	0	100	0	0	100	0	0	0	356	365	356	365	366	355	355	1	0	100	2	3	61	25	1375	1595	66	406	1100	1201	936	937	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	6	7	10	4	5	20	1	10	1	100	0	0	100	0	0	100	0	0	0	357	365	357	365	366	356	356	1	0	0	2	3	76	25	1375	1595	66	406	1100	1201	936	937	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	8	10	12	5	6	40	1	5	1	100	0	0	100	0	0	100	0	0	0	358	365	358	365	366	357	357	1	0	0	3	4	80	25	1375	1595	66	406	1100	1201	936	937	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
33	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	100	0	0	0	6	365	6	365	366	5	5	1	0	0	3	4	0	25	495	660	31	400	1100	1201	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	100	0	0	0	7	365	7	365	366	6	6	1	0	0	1	2	0	25	495	660	31	400	1100	1201	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
512	0	0	0	0	1	1	5	6	10	3	3	20	1	5	1	100	0	0	100	0	0	100	0	0	0	359	365	359	365	367	358	358	1	0	0	1	2	74	25	1375	1595	67	412	1101	1201	938	939	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
