id	en
Item_000	未使用
Item_001	A cutting-edge portable music player that can be worn around the neck.
Item_002	A cute, white choker shaped like a heart.
Item_003	A stylish silver necklace. Currently trending in men's fashion magazines.
Item_004	Thin leather gloves. Perfectly form-fitting.
Item_005	Fake nails adorned with beautiful jewels. Gorgeous and elegant.
Item_006	An adorable necklace that's all the rage among high school girls.
Item_007	A large, crimson ribbon. Adds flair and color to the collar.
Item_008	A simple wristband designed for the athletically inclined.
Item_009	An ornamental accessory resembling angel wings. Minimally functional.
Item_00A	A simple, no-frills, knitted cap for men.
Item_00B	A tough rope band. Boosts physical strength slightly.
Item_00C	A tough rope band. Boosts physical strength moderately.
Item_00D	A tough rope band. Boosts physical strength considerably.
Item_00E	A mystical silk band. Boosts magical power slightly.
Item_00F	A mystical silk band. Boosts magical power moderately.
Item_010	A mystical silk band. Boosts magical power considerably.
Item_011	A rugged steel band. Boosts defensive endurance slightly.
Item_012	A rugged steel band. Boosts defensive endurance moderately.
Item_013	A rugged steel band. Boosts defensive endurance considerably.
Item_014	An airy fabric band. Makes one feel slightly lighter.
Item_015	An airy fabric band. Makes one feel moderately lighter.
Item_016	An airy fabric band. Makes one feel considerably lighter.
Item_017	A flashy braided band. Boosts good fortune slightly.
Item_018	A flashy braided band. Boosts good fortune moderately.
Item_019	A flashy braided band. Boosts good fortune considerably.
Item_01A	A luxurious silver band. Boosts all attributes slightly.
Item_01B	A luxurious translucent band. Boosts all attributes considerably.
Item_01C	未使用
Item_01D	未使用
Item_01E	未使用
Item_01F	未使用
Item_020	A tough rope band. Boosts physical strength immensely.
Item_021	A mystical silk band. Boosts magical power immensely.
Item_022	A rugged steel band. Boosts defensive endurance immensely.
Item_023	An airy fabric band. Makes one feel immensely lighter.
Item_024	A flashy braided band. Boosts good fortune immensely.
Item_025	未使用
Item_026	未使用
Item_027	Temporarily makes the wearer stronger at the start of a battle.
Item_028	Temporarily makes the wearer more durable at the start of a battle.
Item_029	Temporarily makes the wearer more agile at the start of a battle.
Item_02A	A bangle with a flame design. Increases Fire damage.
Item_02B	Contains the power of the fire god. Greatly increases Fire damage.
Item_02C	A bangle with a glacier design. Increases Ice damage.
Item_02D	Contains the power of the ice god. Greatly increases Ice damage.
Item_02E	A bangle with a lightning design. Increases Electric damage.
Item_02F	Contains the power of the sky god. Greatly increases Electric damage.
Item_030	A bangle with a storm design. Increases Wind damage.
Item_031	Contains the power of the wind god. Greatly increases Wind damage.
Item_032	A mysterious rosary that raises the wearer's Attack when enraged.
Item_033	An adorable pumpkin mask. Increases Dark damage.
Item_034	Temporarily makes all allies stronger at the start of a battle.
Item_035	Temporarily makes all allies more durable at the start of a battle.
Item_036	Temporarily makes all allies more agile at the start of a battle.
Item_037	Temporarily raises the wearer's critical rate at the start of a battle.
Item_038	未使用
Item_039	An instructional text of techniques for dodging physical attacks.
Item_03A	A charm of primitive design. Bestows an ability to dodge magic attacks.
Item_03B	An instructional text of techniques for dodging Slash attacks.
Item_03C	An advanced text of teachings to more easily dodge Slash attacks.
Item_03D	An instructional text of techniques for dodging Strike attacks.
Item_03E	An advanced text of teachings to more easily dodge Strike attacks.
Item_03F	An instructional text of techniques for dodging Pierce attacks.
Item_040	An advanced text of teachings to more easily dodge Pierce attacks.
Item_041	A charm of primitive design. Bestows an ability to dodge Fire attacks.
Item_042	Greatly increases the ability to dodge Fire attacks.
Item_043	A charm of primitive design. Bestows an ability to dodge Ice attacks.
Item_044	Greatly increases the ability to dodge Ice attacks.
Item_045	A charm of primitive design. Bestows an ability to dodge Wind attacks.
Item_046	Greatly increases the ability to dodge Wind attacks.
Item_047	A charm of primitive design. Bestows an ability to dodge Electric attacks.
Item_048	Greatly increases the ability to dodge Electric attacks.
Item_049	These robust locks improve one's ability to react to physical attacks.
Item_04A	An ancient text that delineates the secrets of dodging magic attacks.
Item_04B	An intimidating armband. Makes the wearer harder to hit.
Item_04C	A charm of primitive design. Bestows an ability to dodge Light attacks.
Item_04D	Greatly increases the ability to dodge Light attacks.
Item_04E	A charm of primitive design. Bestows an ability to dodge Dark attacks.
Item_04F	Greatly increases the ability to dodge Dark attacks.
Item_050	未使用
Item_051	A steel sheath once used by the god of swords. It's said to block any blade.
Item_052	A thick, golden scale. Invulnerable to blunt strikes.
Item_053	An indestructible earthenware figure that cannot be pierced.
Item_054	A stone infused with a flame so hot, it renders all other heat trivial.
Item_055	A beautiful, navy blue crystal. Shuts out all forms of frost and chill.
Item_056	Gloves worn by the god of thunder. Dispels all electricity.
Item_057	A ring fashioned in the likeness of a gale. Quells even the fiercest storms.
Item_058	A pure white ring. Protects from holy forms of power.
Item_059	An obsidian black ring. Stymies dark forces.
Item_05A	A special armlet that emits a frosty aura. Prevents Freeze.
Item_05B	A special armlet that emits a static aura. Prevents Shock.
Item_05C	An accessory shaped like the horn of a unicorn. Prevents Poison.
Item_05D	An ornament that resembles a horde of spirits. Prevents Confuse.
Item_05E	A ball and chain. Weirdly comforting. Prevents Distress.
Item_05F	A flower decoration that removes all temptation. Prevents Charm.
Item_060	A palm-sized eyeball. Squeezing it calms the nerves. Prevents Fear.
Item_061	A blue, luxurious ring. Gazing at it quells anger. Prevents Rage.
Item_062	A book that prevents Confuse, Distress, Charm, Fear, and Rage.
Item_063	A sphere made of an unknown material that's nigh indestructible.
Item_064	The mark of a masterful warrior. Low chance to counter physical attacks.
