id	en
Item_000	未使用
Item_001	A simple, clean-looking shirt.
Item_002	A pink cardigan made of wool.
Item_003	A formal, navy blue shirt to pair with a suit.
Item_004	A sleeveless, red vest designed for ease of movement.
Item_005	A frilled blouse made with high-end materials.
Item_006	An aqua blue shirt that keeps the wearer's neck warm.
Item_007	Armor for Aigis. Fit to cover a mechanical body.
Item_008	A hooded, zip-up sweatshirt well-suited for any season.
Item_009	Basic dog clothes with a simple design.
Item_00A	A long, thick coat for staying warm even in the dead of winter.
Item_00B	A durable, highly elastic shirt.
Item_00C	A lightweight protector. Keeps the chest well-\nguarded.
Item_00D	A comfortable suit made of soft material.
Item_00E	A durable shirt made from bulletproof material.
Item_00F	A practical shirt optimized for field combat.
Item_010	A traditional martial arts uniform. Permitted only to masters.
Item_011	A soft overcoat that gently envelops the body.
Item_012	Sturdy metal armor with some decent heft.
Item_013	A remarkably versatile apron fit for anything, from cooking to combat.
Item_014	A durable sash made of tiger hide. Softens the force of blows.
Item_015	A bulletproof vest that is difficult to penetrate.
Item_016	Armor that enables survival of a single instakill attack with 1 HP.
Item_017	A robe covered in sutras. Said to confer holy power upon the wearer.
Item_018	A vest that resists Fire damage for 3 turns at the start of battle.
Item_019	Knickers worn by manly heroes of the past. Instills boldness.
Item_01A	A cloak made of special fabric. Imbued with the essence of fallen tears.
Item_01B	A robe fashioned with sorcery that conjures up an invisible shield.
Item_01C	Wards off disaster. Medium chance to counter physical attacks.
Item_01D	A haori patterned with rivulets of blood. Harbors an unsettling power.
Item_01E	Very heavy but durable armor.
Item_01F	Traditional men's summer clothing, but with cutting-\nedge camouflage.
Item_020	A leopard-print dress shirt evoking plaintive lamentations.
Item_021	Victory-vying garment that temporarily raises the wearer's critical rate.
Item_022	A leather jacket that lets the wearer survive death with 1 HP once per battle.
Item_023	A resplendent piece of armor adorned with beautiful decorations.
Item_024	A suit made of resilient material. High chance to counter physical attacks.
Item_025	A bra with several spikes attached. Raises Attack at the start of battle.
Item_026	A vest woven of cloth as black as the pitiless depths.
Item_027	Extremely sturdy armor said to have been made from OOPArts.
Item_028	A sacred coat with an ornate rose motif.
Item_029	A bulky suit that amplifies one's strength.
Item_02A	Refined-looking armor with silver decorations.
Item_02B	A holy robe blessed by a pope.
Item_02C	Armor that withstands attacks well. Some say it will last an eternity.
Item_02D	A savior's armor. Restores all HP upon death once per battle.
Item_02E	Armor inscribed with engravings that protect the wearer from magic.
Item_02F	A vest that kindles nostalgia with its 8-bit design.
Item_030	A shirt for bodybuilders. The wearer becomes unfazed by temptation.
Item_031	Fills the wearer with a burning passion no chill can extinguish.
Item_032	A letterman jacket for baseball legends. Junpei likes to wear it.
Item_033	A jacket so full of holes, anyone willing to wear it fears nothing.
Item_034	A robe yellowed with age. Radiates mysterious power.
Item_035	Holy armor worn by angels in battle.
Item_036	A sturdy vest that holds up to all manner of destructive forces.
Item_037	A cape that captures the imagination of children. Amada loves it.
Item_038	Special fibers keep the wearer insulated from the cold. Perfect for Sanada.
Item_039	Armor worn by the water god. Highly resistant to flames.
Item_03A	A heavy-duty vest made to be impenetrable.
Item_03B	An odd-looking robe that a wizard might wear.
Item_03C	Heavy armor that can withstand devastating blows.
Item_03D	A brilliant, blood-red cape. Gracefully leads the bull astray.
Item_03E	Lingerie popular among women. Restores a tiny bit of SP each turn.
Item_03F	Heavy armor that is difficult to mar with a blade.
Item_040	A graceful scarf, always billowing in the wind. Fitting for Mitsuru.
Item_041	A parka made of fire-resistant tanned leather.
Item_042	Armor for Aigis. Fully covers and protects the torso.
Item_043	Armor for Aigis. A lightweight vest for improved mobility.
Item_044	Armor for Aigis. Made of firm steel.
Item_045	Armor for Aigis. Imbued with the essence of fallen tears.
Item_046	Armor for Aigis. The steel surface area has been expanded.
Item_047	Armor for Aigis. Harbors unsettling power, evoking rivulets of blood.
Item_048	Enhanced armor for Aigis. Simple but robust.
Item_049	Enhanced armor for Aigis. Plaintive lamentations dwell within.
Item_04A	Enhanced armor for Aigis. Made by attaching smaller armor plates together.
Item_04B	Special armor for Aigis. Its matte finish is as black as the pitiless depths.
Item_04C	Enhanced armor for Aigis. Made of cemented carbide.
Item_04D	Sacred armor for Aigis with an ornate rose motif.
Item_04E	Specialized armor for Aigis. Nullifies all status ailments.
Item_04F	未使用
Item_050	Enhanced armor for Aigis. Covers the entire body in hard steel.
Item_051	Special armor for Aigis, yellowed with age. Emits a mysterious power.
Item_052	Prototype armor for Aigis. Discontinued after its pilot phase.
Item_053	A dog suit that restores 1 HP upon death once per battle.
Item_054	A dog suit with slightly increased durability.
Item_055	A special leather dog suit. Imbued with the essence of fallen tears.
Item_056	A dog suit made of metal. Fairly heavy, but very durable.
Item_057	A dog suit that harbors unsettling power, evoking rivulets of blood.
Item_058	A dog suit made of titanium. Strong, yet light.
Item_059	A leopard-print dog suit. Plaintive lamentations dwell within.
Item_05A	A stylish dog suit with a cross design on it.
Item_05B	A dog suit made of cloth as black as the pitiless depths.
Item_05C	A mechanized dog suit that temporarily raises Attack and critical rate.
Item_05D	A sharp-looking dog suit that's been dyed black.
Item_05E	A sacred dog suit with an ornate rose motif.
Item_05F	An enigmatic dog suit that emits a mysterious light.
Item_060	A glowing dog suit that shines through even the darkest of nights.
Item_061	A dog suit yellowed with age. Radiates mysterious power.
Item_062	A starry dog suit. Raises Attack when on the receiving end of a Shift.
Item_063	A dog suit enhanced to the limit. Restores HP and SP each turn.
Item_064	未使用
Item_065	未使用
Item_066	未使用
Item_067	未使用
Item_068	未使用
Item_069	未使用
Item_06A	未使用
Item_06B	未使用
Item_06C	未使用
Item_06D	未使用
Item_06E	未使用
Item_06F	未使用
Item_070	未使用
Item_071	未使用
Item_072	未使用
Item_073	未使用
Item_074	The haori of choice for masterful samurai.
Item_075	A pretty, pink coat made of sturdy materials.
Item_076	A tough vest that is somewhat bulletproof.
Item_077	未使用
Item_078	Work clothes that resist Wind damage for 3 turns at the start of battle.
Item_079	A beautiful cloak said to ward off disease.
Item_07A	Winter-ready black tights. Quickly recover from status ailments.
Item_07B	Armor worn by a fallen aristocrat. Nullifies mental ailments.
Item_07C	A shining, yellow dress that stems the flow of electricity.
Item_07D	Comfy clothing featuring a cute mascot for Makoto.
Item_07E	A warm, stylish dress. A perfect fit for Yukari.
Item_07F	A vest inscribed with mysterious letters.
Item_080	未使用
Item_081	未使用
Item_082	未使用
Item_083	未使用
Item_084	未使用
Item_085	未使用
Item_086	未使用
Item_087	未使用
Item_088	未使用
Item_089	未使用
Item_08A	未使用
Item_08B	未使用
Item_08C	未使用
Item_08D	未使用
Item_08E	未使用
Item_08F	未使用
Item_090	未使用
Item_091	未使用
Item_092	未使用
Item_093	未使用
Item_094	未使用
Item_095	未使用
Item_096	Heavy armor for Aigis. Medium chance to Repel physical attacks.
Item_097	Artistic armor for Aigis. Inspired by a legendary hero.
Item_098	Ultra-durable armor for Aigis. Boasts consummate resilience.
Item_099	Flanked equipment for Aigis. Enhances combat features.
Item_09A	未使用
Item_09B	未使用
Item_09C	未使用
Item_09D	未使用
Item_09E	未使用
Item_09F	未使用
Item_0A0	Armor for Metis. Inlaid with mother of pearl.
Item_0A1	Armor for Metis. Lustrous as porcelain.
Item_0A2	Armor for Metis. Made with specialty fibers.
Item_0A3	Armor for Metis. Fashioned after knightly garb.
Item_0A4	Armor for Metis. Imbued with the essence of fallen tears.
Item_0A5	Armor for Metis. The product of fine craftsmanship.
Item_0A6	Armor for Metis. Harbors unsettling power, evoking rivulets of blood.
Item_0A7	Armor for Metis. Made of divine scales.
Item_0A8	Armor for Metis, resistant to blades. Reminiscent of a legendary warrior.
Item_0A9	Armor for Metis. Said to contain the life force of a god.
Item_0AA	Armor for Metis. Plaintive lamentations dwell within.
Item_0AB	Armor for Metis. Composed of precious metals, high in defense.
Item_0AC	Fine armor for Metis. Layers of lacquer provide great insulation.
Item_0AD	Special armor for Metis. Its matte finish is as black as the pitiless depths.
Item_0AE	Armor for Metis. Made of special material that is highly durable and rigid.
Item_0AF	Armor for Metis. So wicked that it keeps other evils at bay.
Item_0B0	Lightweight armor for Metis. Minimizes load to support high demands.
Item_0B1	Armor for Metis. Electronically repels some physical attacks.
Item_0B2	Armor for Metis. Houses the vigor of a great conqueror.
Item_0B3	Special armor for Metis, yellowed with age. Emits a mysterious power.
Item_0B4	Sacred armor for Metis with an ornate rose motif.
Item_0B5	A cloak made of special fabric. Imbued with the essence of fallen tears.
Item_0B6	A cloak made of special fabric. Imbued with the essence of fallen tears.
Item_0B7	A haori patterned with rivulets of blood. Harbors an unsettling power.
Item_0B8	A haori patterned with rivulets of blood. Harbors an unsettling power.
Item_0B9	A leopard-print dress shirt evoking plaintive lamentations.
