id	en
MSG_0001	未使用1
MSG_0002	未使用2
MSG_0003	未使用3
MSG_0004	未使用4
MSG_0005	未使用5
MSG_0006	未使用6
MSG_0007	未使用7
MSG_0008	未使用8
MSG_0009	未使用9
MSG_0010	Deals weak Fire damage to 1 foe.
MSG_0011	Deals medium Fire damage to 1 foe.
MSG_0012	Deals heavy Fire damage to 1 foe.
MSG_0013	Deals weak Fire damage to all foes.
MSG_0014	Deals medium Fire damage to all foes.
MSG_0015	Deals heavy Fire damage to all foes.
MSG_0016	Deals severe Fire damage to 1 foe.
MSG_0017	未使用17
MSG_0018	Deals heavy Fire damage to all foes. Low chance of inflicting Charm.
MSG_0019	未使用19
MSG_0020	Deals weak Ice damage to 1 foe. Low chance of inflicting Freeze.
MSG_0021	Deals medium Ice damage to 1 foe. Low chance of inflicting Freeze.
MSG_0022	Deals heavy Ice damage to 1 foe. Low chance of inflicting Freeze.
MSG_0023	Deals weak Ice damage to all foes. Low chance of inflicting Freeze.
MSG_0024	Deals medium Ice damage to all foes. Low chance of inflicting Freeze.
MSG_0025	Deals heavy Ice damage to all foes. Low chance of inflicting Freeze.
MSG_0026	Deals severe Ice damage to 1 foe. Medium chance of inflicting Freeze.
MSG_0027	未使用27
MSG_0028	未使用28
MSG_0029	未使用29
MSG_0030	Deals weak Wind damage to 1 foe.
MSG_0031	Deals medium Wind damage to 1 foe.
MSG_0032	Deals heavy Wind damage to 1 foe.
MSG_0033	Deals weak Wind damage to all foes.
MSG_0034	Deals medium Wind damage to all foes.
MSG_0035	Deals heavy Wind damage to all foes.
MSG_0036	Deals severe Wind damage to 1 foe.
MSG_0037	未使用37
MSG_0038	未使用38
MSG_0039	未使用39
MSG_0040	Deals weak Electric damage to 1 foe. Low chance of inflicting Shock.
MSG_0041	Deals medium Electric damage to 1 foe. Low chance of inflicting Shock.
MSG_0042	Deals heavy Electric damage to 1 foe. Low chance of inflicting Shock.
MSG_0043	Deals weak Electric damage to all foes. Low chance of inflicting Shock.
MSG_0044	Deals medium Electric damage to all foes. Low chance of inflicting Shock.
MSG_0045	Deals heavy Electric damage to all foes. Low chance of inflicting Shock.
MSG_0046	Deals severe Electric damage to 1 foe. Medium chance of inflicting Shock.
MSG_0047	未使用47
MSG_0048	未使用48
MSG_0049	未使用49
MSG_0050	Low chance of Light instakill to 1 foe.
MSG_0051	Medium chance of Light instakill to 1 foe.
MSG_0052	Low chance of Light instakill to all foes.
MSG_0053	Medium chance of Light instakill to all foes.
MSG_0054	High chance of Light instakill to all foes.
MSG_0055	未使用55
MSG_0056	Deals weak Light damage to 1 foe.
MSG_0057	Deals medium Light damage to 1 foe.
MSG_0058	Deals heavy Light damage to 1 foe.
MSG_0059	Deals weak Light damage to all foes.
MSG_0060	Deals medium Light damage to all foes.
MSG_0061	Deals heavy Light damage to all foes.
MSG_0062	Light attack that reduces HP of 1 foe by 50%.
MSG_0063	未使用63
MSG_0064	Low chance of Dark instakill to 1 foe.
MSG_0065	Medium chance of Dark instakill to 1 foe.
MSG_0066	Low chance of Dark instakill to all foes.
MSG_0067	Medium chance of Dark instakill to all foes.
MSG_0068	High chance of Dark instakill to all foes.
MSG_0069	未使用69
MSG_0070	Deals weak Dark damage to 1 foe.
MSG_0071	Deals medium Dark damage to 1 foe.
MSG_0072	Deals heavy Dark damage to 1 foe.
MSG_0073	Deals weak Dark damage to all foes.
MSG_0074	Deals medium Dark damage to all foes.
MSG_0075	Deals heavy Dark damage to all foes.
MSG_0076	Dark attack that reduces HP of 1 foe by 50%.
MSG_0077	未使用77
MSG_0078	Deals medium Almighty damage to all foes.
MSG_0079	Deals heavy Almighty damage to all foes.
MSG_0080	Deals severe Almighty damage to all foes.
MSG_0081	Deals massive Almighty damage to 1 foe.
MSG_0082	Deals massive Almighty damage to all foes.
MSG_0083	未使用83
MSG_0084	未使用84
MSG_0085	High chance of Poison to 1 foe.
MSG_0086	Medium chance of Poison to all foes.
MSG_0087	High chance of Charm to 1 foe.
MSG_0088	Medium chance of Charm to all foes.
MSG_0089	High chance of Distress to 1 foe.
MSG_0090	Medium chance of Distress to all foes.
MSG_0091	High chance of Confuse to 1 foe.
MSG_0092	Medium chance of Confuse to all foes.
MSG_0093	High chance of Fear to 1 foe.
MSG_0094	Medium chance of Fear to all foes.
MSG_0095	High chance of Rage to 1 foe.
MSG_0096	Medium chance of Rage to all foes.
MSG_0097	未使用97
MSG_0098	未使用98
MSG_0099	未使用99
MSG_0100	Instakill all foes afflicted with Fear.
MSG_0101	Increase chance of inflicting ailments to 1 foe.
MSG_0102	Increase chance of inflicting ailments to all combatants.
MSG_0103	Drain some HP from 1 foe, restoring the user's HP.
MSG_0104	Drain some SP from 1 foe, restoring the user's SP.
MSG_0105	Medium Almighty damage with medium chance of Poison to all foes.
MSG_0106	未使用106
MSG_0107	未使用107
MSG_0108	未使用108
MSG_0109	未使用109
MSG_0110	Deals weak Slash damage to 1 foe.
MSG_0111	Deals medium Slash damage to 1 foe. Low chance of inflicting Fear.
MSG_0112	Deals weak Slash damage to 1 foe (1-4 hits).
MSG_0113	Deals weak Slash damage to all foes.
MSG_0114	Deals weak Slash damage to all foes (2-4 hits).
MSG_0115	Deals heavy Slash damage to all foes.
MSG_0116	Deals severe Slash damage to 1 foe.
MSG_0117	Deals severe Slash damage to all foes.
MSG_0118	Deals severe Slash damage to 1 foe. High chance of critical.
MSG_0119	Deals medium Slash damage to 1 foe.
MSG_0120	Deals medium Slash damage to 1 foe.
MSG_0121	Deals medium Slash damage to all foes. Low chance of Confuse.
MSG_0122	未使用122
MSG_0123	未使用123
MSG_0124	未使用124
MSG_0125	Deals weak Strike damage to 1 foe.
MSG_0126	Deals medium Strike damage to 1 foe.
MSG_0127	Deals heavy Strike damage to 1 foe.
MSG_0128	Deals weak Strike damage to all foes (1-2 hits).
MSG_0129	Deals heavy Strike damage to all foes.
MSG_0130	Deals heavy Strike damage to all foes.
MSG_0131	Deals massive Strike damage to 1 foe.
MSG_0132	Deals heavy Strike damage to all foes (1-2 hits).
MSG_0133	Deals weak Strike damage to 1 foe. Low chance of inflicting Distress.
MSG_0134	未使用134
MSG_0135	未使用135
MSG_0136	未使用136
MSG_0137	未使用137
MSG_0138	未使用138
MSG_0139	Deals weak Pierce damage to 1 foe.
MSG_0140	Deals weak Pierce damage to 1 foe. Low chance of Charm.
MSG_0141	Deals weak Pierce damage to 1 foe (2-4 hits).
MSG_0142	Deals heavy Pierce damage to 1 foe. More if foe is downed.
MSG_0143	Deals weak Pierce damage to all foes (1-4 hits).
MSG_0144	Deals weak Pierce damage to all foes (2-5 hits).
MSG_0145	Deals medium Pierce damage to 1 foe. More if foe is downed.
MSG_0146	Deals severe Pierce damage to 1 foe.
MSG_0147	Deals severe Pierce damage to all foes. Medium chance of Fear.
MSG_0148	Deals heavy Pierce damage to 1 foe. Medium chance of Poison.
MSG_0149	未使用149
MSG_0150	未使用150
MSG_0151	未使用151
MSG_0152	未使用152
MSG_0153	未使用153
MSG_0154	未使用154
MSG_0155	Slightly restores 1 ally's HP.
MSG_0156	Moderately restores 1 ally's HP.
MSG_0157	Fully restores 1 ally's HP.
MSG_0158	未使用158
MSG_0159	未使用159
MSG_0160	Slightly restores party's HP.
MSG_0161	Moderately restores party's HP.
MSG_0162	Fully restores party's HP.
MSG_0163	Fully restores party's HP and cures all ailments besides KO.
MSG_0164	未使用164
MSG_0165	Revives 1 fallen ally with 50% HP.
MSG_0166	Revives 1 fallen ally with full HP.
MSG_0167	Fully restores party's HP. User's HP is reduced to 1.
MSG_0168	未使用168
MSG_0169	未使用169
MSG_0170	Cures Distress/Confuse/\nCharm/Rage/Fear\nfor 1 ally.
MSG_0171	Cures Distress/Confuse/\nCharm/Rage/Fear\nfor all allies.
MSG_0172	Cures Freeze/Shock/\nPoison/Down/Dizzy\nfor 1 ally.
MSG_0173	Cures Freeze/Shock/\nPoison/Down/Dizzy\nfor all allies.
MSG_0174	未使用174
MSG_0175	未使用175
MSG_0176	Cures all ailments besides KO for all allies.
MSG_0177	Cures all ailments besides KO for 1 ally.
MSG_0178	未使用178
MSG_0179	未使用179
MSG_0180	Raises 1 ally's Attack for 3 turns.
MSG_0181	Raises 1 ally's Defense for 3 turns.
MSG_0182	Raises 1 ally's Accuracy/Evasion for 3 turns.
MSG_0183	未使用183
MSG_0184	未使用184
MSG_0185	Raises party's Attack for 3 turns.
MSG_0186	Raises party's Defense for 3 turns.
MSG_0187	Raises party's Accuracy/Evasion for 3 turns.
MSG_0188	Raises 1 ally's Attack, Defense, and Accuracy/Evasion for 3 turns.
MSG_0189	未使用189
MSG_0190	Lowers 1 foe's Attack for 3 turns.
MSG_0191	Lowers 1 foe's Defense for 3 turns.
MSG_0192	Lowers 1 foe's Accuracy/Evasion for 3 turns.
MSG_0193	未使用193
MSG_0194	未使用194
MSG_0195	Lowers all foes' Attack for 3 turns.
MSG_0196	Lowers all foes' Defense for 3 turns.
MSG_0197	Lowers all foes' Accuracy/Evasion for 3 turns.
MSG_0198	Lowers 1 foe's Attack, Defense, and Accuracy/Evasion for 3 turns.
MSG_0199	未使用199
MSG_0200	Nullify stat buffs for all foes.
MSG_0201	Nullify stat debuffs for all allies.
MSG_0202	未使用202
MSG_0203	未使用203
MSG_0204	未使用204
MSG_0205	Next physical attack will deal more than double the damage.
MSG_0206	Next magic attack will deal more than double the damage.
MSG_0207	Consumes HP to increase critical rate and next physical attack damage.
MSG_0208	未使用208
MSG_0209	未使用209
MSG_0210	Raises 1 ally's critical rate for 3 turns.
MSG_0211	Greatly raises all allies and foes' critical rate for 3 turns.
MSG_0212	未使用212
MSG_0213	未使用213
MSG_0214	未使用214
MSG_0215	Erect a barrier for 1 ally that repels 1 physical attack.
MSG_0216	Erect a barrier for 1 ally that repels 1 (non-\nAlmighty) magic attack.
MSG_0217	未使用217
MSG_0218	未使用218
MSG_0219	未使用219
MSG_0220	Negate Fire resistance of all foes for 3 turns.
MSG_0221	Negate Ice resistance of all foes for 3 turns.
MSG_0222	Negate Wind resistance of all foes for 3 turns.
MSG_0223	Negate Electric resistance of all foes for 3 turns.
MSG_0224	未使用224
MSG_0225	未使用225
MSG_0226	未使用226
MSG_0227	未使用227
MSG_0228	未使用228
MSG_0229	未使用229
MSG_0230	Massive Almighty damage and medium chance of Dark instakill to all foes.
MSG_0231	Deals severe Electric damage to all foes. Low chance of inflicting Shock.
MSG_0232	Deals severe Wind damage to all foes.
MSG_0233	Deals severe Fire damage to all foes.
MSG_0234	Deals severe Ice damage to all foes. Low chance of inflicting Freeze.
MSG_0235	Deals severe Almighty damage to all foes.
MSG_0236	Deals severe Pierce damage to 1 foe. High chance of critical.
MSG_0237	Deals massive Almighty damage to 1 foe. More if foe is downed.
MSG_0238	Medium Slash damage to all foes (2 hits). High chance of critical.
MSG_0239	Deals medium Slash damage to 1 foe (2 hits).
MSG_0240	Heavy Dark damage with medium chance of Fear or Confuse to all foes.
MSG_0241	Deals weak Light damage to all foes (4-8 hits).
MSG_0242	未使用242
MSG_0243	未使用243
MSG_0244	未使用244
MSG_0245	Fully reveal the affinities of 1 foe.
