ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_ACC_BLANK	0	4096	1	0	0	0	0	0	0	0	0	0	0	0
IT_ACC_SYOKI_HER	399	4096	2	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_YUK	398	4096	4	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_JUN	397	4096	8	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_SAN	396	4096	16	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_MIT	395	4096	32	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_FUK	394	4096	64	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_AEG	393	4096	128	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_AMA	392	4096	256	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_KOR	391	4096	512	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_SYOKI_ARA	390	4096	1024	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_PBAND____	999	4096	4094	1	1	1	0	0	0	0	0	1000	250	0
IT_ACC_MPBAND___	998	4096	4094	1	1	3	0	0	0	0	0	5000	1250	0
IT_ACC_GPBAND___	997	4096	4094	1	1	5	0	0	0	0	0	10000	2500	0
IT_ACC_MBAND____	995	4096	4094	1	1	0	1	0	0	0	0	1000	250	0
IT_ACC_MMBAND___	994	4096	4094	1	1	0	3	0	0	0	0	5000	1250	0
IT_ACC_GMBAND___	993	4096	4094	1	1	0	5	0	0	0	0	10000	2500	0
IT_ACC_GBAND____	991	4096	4094	1	1	0	0	1	0	0	0	1000	250	0
IT_ACC_MGBAND___	990	4096	4094	1	1	0	0	3	0	0	0	5000	1250	0
IT_ACC_GGBAND___	989	4096	4094	1	1	0	0	5	0	0	0	10000	2500	0
IT_ACC_SBAND____	986	4096	4094	1	1	0	0	0	1	0	0	1000	250	0
IT_ACC_MSBAND___	985	4096	4094	1	1	0	0	0	3	0	0	5000	1250	0
IT_ACC_GSBAND___	984	4096	4094	1	1	0	0	0	5	0	0	10000	2500	0
IT_ACC_LBAND____	982	4096	4094	1	1	0	0	0	0	1	0	1000	250	0
IT_ACC_MLBAND___	981	4096	4094	1	1	0	0	0	0	3	0	5000	1250	0
IT_ACC_GLBAND___	980	4096	4094	1	1	0	0	0	0	5	0	10000	2500	0
IT_ACC_ALLBAND01	978	4096	4094	1	1	1	1	1	1	1	0	12000	3000	0
IT_ACC_ALLBAND02	976	4096	4094	1	1	5	5	5	5	5	0	30000	7500	0
IT_ACC_KASSE_03_	0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
IT_ACC_MAMYA_01_	0	4096	1	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_MAMYA_02_	0	4096	1	1	1	0	0	0	0	0	0	30000	7500	0
