ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Defence	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_ARM_BLANK	0	1024	1	0	0	0	0	0	0	0	0	0	0	0	0
IT_ARM_SYOKI_HER	120	1024	1306	1	1	24	0	0	0	0	0	0	2400	600	0
IT_ARM_SYOKI_YUK	125	1024	100	1	1	25	0	0	0	0	0	0	2400	600	0
IT_ARM_SYOKI_JUN	110	1024	1306	1	1	22	0	0	0	0	0	0	2400	600	0
IT_ARM_SYOKI_SAN	280	1024	1306	1	1	56	0	0	0	0	0	0	8000	2000	0
IT_ARM_SYOKI_MIT	355	1024	100	1	1	71	0	0	0	0	0	0	9800	2450	0
IT_ARM_SYOKI_FUK	300	1024	100	1	1	60	0	0	0	0	0	0	8600	2150	0
IT_ARM_SYOKI_AEG	445	1024	128	1	1	89	0	0	0	0	0	0	12000	3000	0
IT_ARM_SYOKI_AMA	610	1024	1306	1	1	122	0	0	0	0	0	0	16500	4130	0
IT_ARM_SYOKI_KOR	565	1024	512	1	1	113	0	0	0	0	0	0	15400	3850	0
IT_ARM_SYOKI_ARA	675	1024	1306	1	1	135	0	0	0	0	0	0	20200	5050	0
IT_ARM_RSHGRD___	230	1024	1406	1	1	46	0	0	0	0	0	0	4500	1130	0
IT_ARM_CHESTPROT	155	1024	1406	1	1	31	0	0	0	1	0	0	3800	950	0
IT_ARM_AMTSTU___	505	1024	1406	1	1	101	0	0	0	0	0	3	8700	2180	0
IT_ARM_KBLSHT___	325	1024	1406	1	1	65	0	0	0	0	0	0	9000	2250	0
IT_ARM_SBLGRD___	260	1024	1406	1	1	52	1	0	0	0	0	0	7700	1930	0
IT_ARM_DOKUDO___	465	1024	1406	1	1	93	0	0	0	0	0	0	12500	3130	0
IT_ARM_AMGPON___	385	1024	1406	1	1	77	0	0	0	0	0	59	10400	2600	0
IT_ARM_MTKGRD___	350	1024	1406	1	1	70	0	0	0	0	0	0	9600	2400	0
IT_ARM_TAKINO___	375	1024	1406	1	1	75	1	1	1	1	1	0	9900	2480	0
IT_ARM_TORASK___	1075	1024	1306	1	1	215	0	0	0	0	0	81	36200	9050	0
IT_ARM_KBLBST___	485	1024	1406	1	1	97	0	0	0	0	0	82	12800	3200	0
IT_ARM_TETJAM___	1075	1024	1406	1	1	215	0	0	0	0	0	218	36500	9130	0
IT_ARM_INSEI____	525	1024	1406	1	1	105	0	0	0	0	0	133	13800	3450	0
IT_ARM_KANZEN___	850	1024	1406	1	1	170	0	0	0	0	0	223	29000	7250	0
IT_ARM_STETKO___	640	1024	1306	1	1	128	0	0	0	0	0	66	18700	4680	0
IT_ARM_KAZMNT___	795	1024	1406	1	1	159	0	0	0	2	0	130	19900	4980	0
IT_ARM_KKAHOI___	750	1024	1406	1	1	150	0	0	0	0	0	0	23000	5750	0
IT_ARM_SKJRND___	1075	1024	100	1	1	215	3	0	0	0	0	53	37100	9280	0
IT_ARM_HIDMNT___	970	1024	1406	1	1	194	0	0	3	0	0	115	25300	6330	0
IT_ARM_GNTSUT___	900	1024	1406	1	1	180	0	0	0	0	0	0	28500	7130	0
IT_ARM_S_JINB___	885	1024	1306	1	1	177	0	0	0	0	10	0	27000	6750	0
IT_ARM_KUUKES___	1090	1024	1406	1	1	218	0	6	0	0	0	0	31400	7850	0
IT_ARM_ENPDRS___	1065	1024	100	1	1	213	0	0	0	0	0	222	36000	9000	0
IT_ARM_PNKJAC___	1300	1024	1306	1	1	260	0	0	0	0	0	200	46200	11550	0
IT_ARM_KIZARM___	1055	1024	1406	1	1	211	0	0	0	0	0	0	35800	8950	0
IT_ARM_KBNCUT___	1350	1024	1306	1	1	270	3	0	0	0	0	54	48000	12000	0
IT_ARM_TENHAG___	1175	1024	100	1	1	235	3	0	0	0	0	73	41300	10330	0
IT_ARM_MTLCAM___	1270	1024	1406	1	1	254	0	0	0	8	0	0	37300	9330	0
IT_ARM_FINSTU___	1230	1024	1406	1	1	246	0	0	0	0	0	0	42500	10630	0
IT_ARM_DMNSKN___	1660	1024	1406	1	1	332	0	0	0	0	0	104	51500	12880	0
IT_ARM_PWDSTU___	1680	1024	1306	1	1	336	3	3	3	3	3	0	62000	15500	0
IT_ARM_LEZJAC___	1600	1024	1406	1	1	320	0	0	0	0	0	0	57500	14380	0
IT_ARM_HOUKOR___	1400	1024	1406	1	1	280	0	0	0	0	0	169	50000	12500	0
IT_ARM_TAPSAN___	1875	1024	100	1	1	375	0	0	0	0	0	87	68400	17100	0
IT_ARM_JISBLA___	1875	1024	1306	1	1	375	0	0	0	0	0	201	69200	17300	0
IT_ARM_SATAN____	2000	1024	1406	1	1	400	0	0	0	0	0	108	74000	18500	0
