ItemDef	SortNum	BtlSortNum	ItemType	UsePlaceID	Rarity	Tier	HP	SP	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_COM_BLANK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IT_COM_KIZUKUSUR	997	997	8192	6	1	1	0	0	0	0	0	0	0	600	700	180	0
IT_COM_MEDICALPO	994	994	8192	6	1	1	0	0	0	0	0	0	0	605	1400	350	0
IT_COM_HOUGYOKU_	983	979	8192	6	1	1	0	0	0	0	0	0	0	601	10000	2500	0
IT_COM_HGYOKURIN	937	937	8192	6	1	1	0	0	0	0	0	0	0	602	16000	4000	0
IT_COM_MUSCLE___	608	986	8192	4	1	1	0	0	0	0	0	0	0	606	1000	250	0
IT_COM_MYSTERY__	607	985	8192	4	1	1	0	0	0	0	0	0	0	607	1000	250	0
IT_COM_SMELLGRAV	606	984	8192	4	1	1	0	0	0	0	0	0	0	608	1000	250	0
IT_COM_UMUGWATER	943	943	8192	6	1	1	0	0	0	0	0	0	0	609	3000	750	0
IT_COM_TAKOYAKI_	609	989	8192	4	1	1	0	0	0	0	0	0	0	658	400	100	0
IT_COM_BAKERY_01	784	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
IT_COM_BAKERY_02	783	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
IT_COM_BAKERY_03	782	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
IT_COM_BAKERY_04	781	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
IT_COM_BAKERY_05	780	0	8192	2	1	1	0	0	0	0	0	0	0	610	100	30	0
IT_COM_BAKERY_06	995	995	8192	6	1	1	0	0	0	0	0	0	0	611	300	80	0
IT_COM_OMIYAG_01	777	0	8192	2	1	1	0	0	0	0	0	0	0	600	2000	500	0
IT_COM_OMIYAG_02	776	0	8192	2	1	1	0	0	0	0	0	0	0	600	1500	380	0
IT_COM_OMIYAG_03	775	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
IT_COM_OMIYAG_04	774	0	8192	2	1	1	0	0	0	0	0	0	0	600	1000	250	0
