ItemDef	SortNum	WeaponType	EquipID	AttrID	Rarity	Tier	Attack	Accuracy	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG	ModelID	Flags
IT_WEA_BLANK	0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IT_WEA_SWORD_01_	190	2	2	0	4	2	38	95	0	0	0	0	0	0	2000	500	0	11	0
IT_WEA_SWORD_02_	325	2	2	0	4	10	65	95	0	1	0	1	0	0	5000	1250	0	14	0
IT_WEA_SWORD_03_	300	2	2	0	4	10	60	95	0	0	0	0	0	0	3200	800	0	12	0
IT_WEA_SWORD_04_	225	2	2	0	4	2	45	95	0	0	0	0	0	1	2600	650	0	11	0
IT_WEA_SWORD_05_	725	2	2	0	5	2	145	92	0	0	0	0	0	24	14500	3630	0	14	0
IT_WEA_SWORD_06_	440	2	2	0	5	2	88	95	0	0	0	0	0	0	7500	1880	0	14	0
IT_WEA_SWORD_07_	355	2	2	0	11	2	71	95	0	0	1	0	0	0	6100	1530	0	12	0
IT_WEA_SWORD_08_	0	2	2	0	11	2	71	95	0	0	0	0	0	0	400	100	2	11	0
IT_WEA_SWORD_09_	495	2	2	0	5	2	99	95	0	2	0	0	0	0	8150	2040	0	12	0
IT_WEA_SWORD_10_	650	2	2	0	5	2	130	99	0	0	0	0	0	42	480	120	0	17	0
IT_WEA_SWORD_11_	550	2	2	0	5	2	110	85	0	0	0	0	0	21	400	100	0	16	0
IT_WEA_SWORD_12_	610	2	2	0	11	2	122	95	0	0	0	0	0	7	10900	2730	0	12	0
IT_WEA_SWORD_13_	690	2	2	0	11	2	138	95	0	0	0	0	0	0	13200	3300	0	12	0
IT_WEA_SWORD_14_	1500	2	2	0	11	2	300	95	0	0	0	0	0	54	39200	9800	0	15	0
IT_WEA_SWORD_15_	940	2	2	0	11	2	188	95	0	0	0	0	0	0	23800	5950	0	11	0
IT_WEA_SWORD_16_	830	2	2	0	11	2	166	95	0	0	0	0	0	0	18400	4600	0	14	0
IT_WEA_SWORD_17_	865	2	2	0	11	2	173	95	0	0	0	0	0	133	20300	5080	0	15	0
IT_WEA_SWORD_18_	1115	2	2	0	11	2	223	95	0	0	0	0	0	0	28600	7150	0	15	0
IT_WEA_SWORD_19_	1200	2	2	0	11	2	240	95	3	0	0	0	0	0	29400	7350	0	15	0
IT_WEA_SWORD_20_	1285	2	2	0	11	2	257	95	0	0	0	0	0	0	34000	8500	0	11	0
IT_WEA_SWORD_21_	1000	2	2	0	11	2	200	95	0	0	0	0	0	3	25300	6330	0	13	0
IT_WEA_SWORD_22_	1565	2	2	0	11	2	313	95	0	0	0	0	0	0	46500	11630	0	13	0
IT_WEA_SWORD_23_	1650	2	2	0	11	2	330	95	0	0	0	0	0	12	52000	13000	0	11	0
IT_WEA_SWORD_24_	1800	2	2	0	11	2	360	99	7	0	0	0	0	234	71200	17800	0	18	0
IT_WEA_SWORD_25_	2125	2	2	0	11	2	425	95	7	7	7	7	7	254	90000	22500	0	19	0
IT_WEA_SWORD_26_	0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	12	0
IT_WEA_SWORD_27_	650	2	2	0	11	2	130	99	1	1	1	1	1	0	12400	3100	0	11	0
IT_WEA_SWORD_28_	0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	14	0
IT_WEA_SWORD_29_	150	2	2	8	11	2	30	85	0	0	0	0	0	0	12000	3000	0	11	0
IT_WEA_SWORD_30_	0	2	2	0	11	2	50	95	0	0	0	0	0	0	400	100	2	12	0
IT_WEA_SWORD_31_	1475	2	2	0	11	2	295	95	0	0	0	0	0	9	41700	10430	0	13	0
IT_WEA_SWORD_32_	755	2	2	0	11	2	151	95	0	0	0	0	0	97	15200	3800	0	12	0
