skillLevel	skillEvent	skillId	param1	param2	param3	param4	param5	exp
0	1	30	0	1	1	1	0	15
0	1	155	1	1	0	0	1	121
5	1	170	0	0	1	1	1	170
8	1	91	0	1	1	1	0	225
11	1	160	1	1	0	0	1	312
14	1	33	0	1	1	1	0	490
17	1	192	0	0	0	1	2	727
21	1	156	0	1	1	1	0	1031
24	1	31	1	1	0	0	1	1410
27	1	165	0	0	2	0	1	1873
30	1	222	0	2	0	1	0	2429
33	1	171	1	1	1	0	0	3086
37	1	34	1	0	0	1	1	3852
40	1	161	0	1	1	1	0	4735
43	1	86	1	1	0	0	1	5744
46	1	177	1	1	0	1	0	6888
50	1	32	0	0	2	0	1	8175
53	1	157	0	2	0	1	0	9613
56	1	166	1	0	0	1	1	11210
59	1	197	0	2	1	0	0	12975
62	1	176	1	1	0	1	0	14917
66	1	35	0	0	1	1	1	17044
70	1	162	0	2	0	0	1	19364
74	1	803	1	0	1	1	0	21885
0	0	0	0	2	0	0	1	24616
0	0	0	0	1	1	1	0	27566
0	0	0	1	0	0	1	1	30743
0	0	0	0	2	1	0	0	34155
0	0	0	0	0	1	1	1	37810
0	0	0	1	0	0	1	1	41717
0	0	0	1	1	1	0	0	45885
0	0	0	0	2	0	1	0	50322
0	0	0	0	0	1	1	1	55036
0	0	0	1	1	1	0	0	60035
0	0	0	0	1	0	1	1	65328
0	0	0	0	1	1	0	1	70924
0	0	0	1	0	0	1	1	76831
0	0	0	0	1	1	1	0	83057
0	0	0	0	1	0	1	1	89610
0	0	0	1	1	1	0	0	96499
0	0	0	1	0	0	1	1	103733
0	0	0	0	2	1	0	0	111320
0	0	0	0	0	2	0	1	119268
0	0	0	0	2	0	2	0	127585
0	0	0	1	0	2	0	1	136280
0	0	0	1	1	0	2	0	145362
0	0	0	1	0	1	0	2	154839
0	0	0	0	2	0	1	1	164719
0	0	0	1	0	2	0	1	175010
0	0	0	0	2	0	2	0	185721
0	0	0	1	0	2	0	1	196861
0	0	0	0	3	0	0	1	208438
0	0	0	1	0	1	2	0	220460
0	0	0	0	2	1	0	1	232935
0	0	0	1	1	0	2	0	245872
0	0	0	0	2	0	1	1	259280
0	0	0	1	0	1	0	2	273167
0	0	0	2	0	1	1	0	287541
0	0	0	0	3	0	0	1	302410
0	0	0	1	2	2	0	0	317783
0	0	0	0	2	0	1	2	333669
0	0	0	2	0	2	0	1	350076
0	0	0	0	2	0	3	0	367012
0	0	0	0	2	1	0	2	384485
0	0	0	2	0	0	1	1	402504
0	0	0	0	2	1	1	0	421078
0	0	0	0	1	0	1	2	440215
0	0	0	1	1	2	0	0	459923
0	0	0	0	0	0	2	1	480210
0	0	0	1	2	0	0	0	501085
0	0	0	0	0	0	2	1	522557
0	0	0	1	1	1	0	0	544634
0	0	0	0	2	0	0	1	567324
0	0	0	0	1	0	1	1	590635
0	0	0	0	0	2	0	1	614576
0	0	0	1	2	0	0	0	639156
0	0	0	0	0	0	2	1	664383
0	0	0	0	1	1	0	1	690265
0	0	0	1	0	1	1	0	716810
0	0	0	0	2	0	0	0	744027
0	0	0	1	0	0	0	1	771925
0	0	0	0	1	1	0	0	800512
0	0	0	0	1	0	1	0	829796
0	0	0	1	0	1	0	0	859785
0	0	0	0	1	0	0	1	890488
0	0	0	0	0	1	1	0	921914
0	0	0	0	2	0	0	0	954071
0	0	0	0	1	0	1	0	986967
0	0	0	0	0	1	0	1	1020610
0	0	0	1	0	0	0	1	1055009
0	0	0	0	1	0	1	0	1090173
0	0	0	0	1	0	0	1	1126110
0	0	0	1	0	1	0	0	1162828
0	0	0	0	1	0	1	0	1200335
0	0	0	0	0	0	1	1	1238640
0	0	0	1	1	0	0	0	1277752
0	0	0	0	0	1	0	1	1317679
0	0	0	0	1	0	1	0	1358429
