skillLevel	skillEvent	skillId	param1	param2	param3	param4	param5	exp
0	1	41	0	1	0	1	1	21
0	1	58	1	1	1	0	0	48
0	1	161	0	1	0	1	1	100
0	1	216	1	0	1	1	0	185
0	1	200	0	1	1	0	1	312
38	1	60	1	1	0	1	0	490
42	1	215	0	1	0	1	1	727
47	1	166	1	0	1	0	1	1031
51	1	142	0	1	0	2	0	1410
55	1	42	1	1	1	0	0	1873
60	1	53	0	0	1	1	1	2429
64	1	162	1	1	0	0	1	3086
68	1	61	1	0	0	1	1	3852
72	1	807	0	1	1	1	0	4735
76	1	188	1	1	0	0	1	5744
0	0	0	0	1	1	1	0	6888
0	0	0	0	2	0	0	1	8175
0	0	0	1	0	0	1	1	9613
0	0	0	0	1	1	1	0	11210
0	0	0	1	1	0	0	1	12975
0	0	0	0	1	0	1	1	14917
0	0	0	1	0	2	0	0	17044
0	0	0	0	0	0	2	1	19364
0	0	0	1	1	1	0	0	21885
0	0	0	0	1	0	1	1	24616
0	0	0	0	0	2	0	1	27566
0	0	0	1	1	0	1	0	30743
0	0	0	0	1	0	1	1	34155
0	0	0	1	1	1	0	0	37810
0	0	0	0	0	1	1	1	41717
0	0	0	0	1	1	0	1	45885
0	0	0	1	0	0	2	0	50322
0	0	0	0	1	1	0	1	55036
0	0	0	1	0	2	0	0	60035
0	0	0	0	1	1	1	0	65328
0	0	0	1	1	0	0	1	70924
0	0	0	0	0	1	1	1	76831
0	0	0	0	1	1	1	0	83057
0	0	0	1	1	0	0	1	89610
0	0	0	0	1	1	1	0	96499
0	0	0	1	0	1	1	0	103733
0	0	0	1	1	0	0	1	111320
0	0	0	0	1	0	1	1	119268
0	0	0	1	1	2	0	0	127585
0	0	0	0	0	1	2	1	136280
0	0	0	2	0	0	1	1	145362
0	0	0	0	1	2	1	0	154839
0	0	0	1	1	0	0	2	164719
0	0	0	0	1	0	1	2	175010
0	0	0	1	0	2	2	0	185721
0	0	0	0	2	1	0	2	196861
0	0	0	1	1	0	2	0	208438
0	0	0	1	0	2	0	2	220460
0	0	0	1	2	0	2	0	232935
0	0	0	0	1	1	0	2	245872
0	0	0	2	0	1	2	0	259280
0	0	0	0	2	0	1	2	273167
0	0	0	1	1	2	0	0	287541
0	0	0	0	1	0	2	2	302410
0	0	0	1	0	2	0	2	317783
0	0	0	1	2	0	1	0	333669
0	0	0	0	2	2	0	1	350076
0	0	0	2	0	0	2	1	367012
0	0	0	1	2	1	0	0	384485
0	0	0	1	0	0	2	1	402504
0	0	0	0	1	0	1	2	421078
0	0	0	1	2	1	0	0	440215
0	0	0	0	2	1	1	0	459923
0	0	0	1	0	0	1	1	480210
0	0	0	1	1	0	0	1	501085
0	0	0	0	1	1	1	0	522557
0	0	0	0	1	0	1	1	544634
0	0	0	1	0	1	0	1	567324
0	0	0	0	1	1	1	0	590635
0	0	0	0	2	0	0	1	614576
0	0	0	1	0	1	1	0	639156
0	0	0	0	1	1	1	0	664383
0	0	0	1	1	0	0	1	690265
0	0	0	0	1	1	1	0	716810
0	0	0	0	0	1	0	1	744027
0	0	0	1	0	1	0	0	771925
0	0	0	0	1	0	1	0	800512
0	0	0	0	0	1	0	1	829796
0	0	0	0	1	0	1	0	859785
0	0	0	1	0	1	0	0	890488
0	0	0	0	1	0	0	1	921914
0	0	0	1	0	0	1	0	954071
0	0	0	0	1	1	0	0	986967
0	0	0	1	0	0	0	1	1020610
0	0	0	0	1	0	1	0	1055009
0	0	0	1	0	1	0	0	1090173
0	0	0	0	0	0	1	1	1126110
0	0	0	0	1	1	0	0	1162828
0	0	0	1	0	0	1	0	1200335
0	0	0	0	1	0	0	1	1238640
0	0	0	0	0	1	1	0	1277752
0	0	0	1	0	0	0	1	1317679
0	0	0	0	1	0	1	0	1358429
