Condition	Player1	Player2	Player3	Player4	Player5	Player6	Player7	Player8	Player9	Player10
RecoveryFromDown	200	200	200	200	200	100	200	200	200	200
WithPowerCharge	50	50	50	100	50	20	50	50	50	50
WithBuff	50	50	50	150	50	20	100	50	50	50
LowHP	50	50	50	50	50	20	50	50	50	300
LowSP	30	60	30	30	30	20	30	200	60	30
GetShift	60	60	60	60	60	20	60	60	60	60
EnemyHasAilment	40	40	40	40	100	20	40	40	40	40
CriticalWeaponAttack	100	100	250	100	100	50	100	100	150	100
PersonaHitWeakness	100	100	100	100	100	50	100	100	200	100
PersonaCritical	150	100	250	100	100	50	150	100	200	100
PersonaPhysical	130	40	150	100	50	50	200	40	150	100
PersonaMagic	130	50	50	100	100	50	20	100	150	50
PersonaHealing	130	200	40	60	40	50	60	100	40	30
PersonaSupport	130	50	50	80	50	50	100	150	50	50
PersonaHitAilment	40	40	40	40	200	50	40	40	40	40
Analyze	0	0	0	0	0	150	0	0	0	0
EnemyHasDebuff	40	40	40	40	80	20	40	40	60	40
