Condition	Player1	Player2	Player3	Player4	Player5	Player6	Player7	Player8	Player9	Player10
RecoveryFromDown	100	100	100	100	100	20	100	100	100	100
WithPowerCharge	20	20	20	100	20	20	50	20	20	20
WithBuff	30	30	30	150	30	20	60	30	30	30
LowHP	50	50	50	70	50	20	50	50	50	300
LowSP	30	50	30	30	30	20	30	200	30	30
GetShift	30	30	30	30	30	20	30	30	30	50
EnemyHasAilment	20	20	20	20	60	20	20	20	20	30
CriticalWeaponAttack	30	30	100	30	30	20	50	30	100	50
PersonaHitWeakness	40	40	80	40	80	20	50	60	100	50
PersonaCritical	30	30	200	30	30	20	80	30	100	50
PersonaPhysical	50	20	40	30	20	20	120	20	40	100
PersonaMagic	50	50	20	30	40	20	20	60	40	30
PersonaHealing	50	250	20	20	20	20	20	80	20	30
PersonaSupport	50	50	20	20	20	20	40	50	20	30
PersonaHitAilment	20	20	20	20	150	20	20	20	20	30
Analyze	0	0	0	0	0	50	0	0	0	0
EnemyHasDebuff	20	20	20	20	100	20	20	20	40	20
