attr1	attr2	attr3	attr4	attr5	attr6	attr7	attr8	attr9	attr10	attr11	attr12	attr13	attr14	attr15	attr16	attr17	attr18	attr19
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	2048	20	4096	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	2048	256	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	256	20	2048	20	256	20	40	40	40	40	40	40	40	40	40
20	20	20	1024	20	20	2048	20	256	20	40	40	40	40	40	40	40	40	40
20	20	4096	20	4096	20	2048	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	256	2048	20	20	20	20	20	40	40	40	40	40	40	40	40	40
2048	20	20	20	256	20	2048	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	2048	20	20	256	256	20	20	20	256	40	40	40	40	40	40	40	40	40
20	20	20	2048	512	20	20	20	256	20	40	40	40	40	40	40	40	40	40
20	20	20	2048	1024	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	256	20	2048	512	20	20	20	512	512	40	40	40	40	40	40	40	40	40
2048	20	20	2048	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	2048	20	20	20	20	20	40	20	20	20	40	40	40
20	20	20	2048	256	20	20	20	20	20	20	20	40	20	20	20	40	40	40
20	20	512	20	20	20	20	20	20	34816	20	20	40	20	20	20	40	40	40
20	20	20	20	20	1024	20	20	256	34816	20	20	40	20	20	20	40	40	40
20	20	20	20	20	2048	20	20	256	20	20	20	40	20	20	20	40	40	40
20	20	20	2048	4096	20	20	20	256	20	20	20	40	20	20	20	40	40	40
2048	20	20	20	20	256	2048	20	20	4096	20	20	40	20	20	20	40	40	40
20	20	20	2048	512	20	20	20	1024	20	20	20	40	20	20	20	40	40	40
20	20	2048	256	20	4096	2048	20	4096	20	20	20	40	20	20	20	40	40	40
20	20	20	20	512	2048	256	20	20	20	20	20	40	20	20	20	40	40	40
20	20	20	20	20	1024	2048	20	20	1024	20	20	40	20	20	20	40	40	40
20	2048	20	512	2048	20	256	20	20	512	20	20	40	20	20	20	40	40	40
20	20	20	4096	2048	20	20	20	20	20	20	20	40	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
4096	20	2048	20	2048	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	2048	20	34816	256	40	40	40	40	40	40	40	40	40
20	20	2048	20	4096	20	1024	20	20	34816	40	40	40	40	40	40	40	40	40
20	20	2048	20	2048	1024	1024	20	20	20	40	40	40	40	40	40	40	40	40
20	2048	2048	20	4096	4096	256	20	20	20	10	40	10	10	10	10	40	40	40
20	20	20	20	2048	20	256	20	20	20	10	40	10	10	10	10	40	40	40
20	2048	20	20	20	20	1024	20	20	20	10	40	10	10	10	10	40	40	40
20	2048	20	20	20	20	1024	20	20	20	10	40	10	10	10	10	40	40	40
20	20	20	20	4096	20	256	20	34816	1024	20	20	40	20	20	20	40	40	40
20	20	20	256	4096	2048	1024	20	256	20	20	20	40	20	20	20	40	40	40
20	20	20	20	2048	20	512	20	512	20	20	20	40	20	20	20	40	40	40
20	20	20	4096	4096	256	4096	20	512	512	20	20	40	20	20	20	40	40	40
20	2048	20	20	2048	20	4096	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	4096	2048	20	20	20	40	40	40	40	40	40	40	40	40
4096	20	256	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	4096	20	20	256	20	20	20	512	34816	40	40	40	40	40	40	40	40	40
20	20	256	20	256	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	256	2048	256	20	20	20	34816	20	40	20	20	20	20	40	40	40	40
4096	4096	4096	20	20	1024	20	20	20	34816	40	20	20	20	20	40	40	40	40
256	20	256	20	20	512	2048	20	20	20	40	20	20	20	20	40	40	40	40
256	20	256	20	20	512	2048	20	20	20	40	20	20	20	20	40	40	40	40
20	20	20	20	20	256	2048	20	20	20	10	40	10	10	10	10	40	40	40
20	20	20	4096	2048	20	512	20	20	20	10	40	10	10	10	10	40	40	40
20	256	20	256	20	1024	2048	20	20	512	10	40	10	10	10	10	40	40	40
20	20	20	20	20	20	20	20	20	20	10	40	10	10	10	10	40	40	40
20	20	20	20	20	20	20	20	4096	34816	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	4096	2048	20	20	34816	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	256	20	20	34816	256	40	40	40	40	40	40	40	40	40
20	20	20	20	20	1024	20	20	34816	256	40	40	40	40	40	40	40	40	40
20	20	20	20	20	512	20	20	256	2048	40	40	40	40	40	40	40	40	40
20	20	4096	20	20	2048	20	20	20	20	40	20	20	20	20	20	40	40	40
20	2048	20	256	20	20	20	20	256	256	40	20	20	20	20	20	40	40	40
20	20	20	2048	4096	1024	20	20	20	20	40	20	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	20	40	40	40
20	2048	20	20	1024	20	20	20	20	20	40	20	20	20	20	20	40	40	40
20	20	20	1024	2048	20	20	20	256	20	40	20	20	20	20	20	40	40	40
20	20	20	20	20	2048	1024	20	20	20	40	20	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	20	40	40	40
20	2048	20	20	20	4096	2048	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	2048	20	4096	20	20	20	10	20	40	20	40	20	40	40	40
20	20	20	20	2048	20	256	20	20	20	10	20	40	20	40	20	40	40	40
20	20	4096	2048	2048	20	256	20	20	256	8192	20	40	20	40	20	40	40	40
20	2048	20	256	20	20	20	20	20	20	8192	20	40	20	40	20	40	40	40
20	20	20	20	2048	20	1024	20	20	20	8192	20	40	20	40	20	40	40	40
2048	20	2048	20	20	20	256	20	20	20	8192	20	40	20	40	20	40	40	40
20	2048	4096	20	2048	256	20	20	20	20	8192	20	40	20	40	20	40	40	40
20	20	20	20	20	20	20	20	20	20	8192	20	40	20	40	20	40	40	40
20	20	20	20	256	20	2048	20	20	20	10	20	40	20	40	20	40	40	40
20	20	2048	2048	256	20	20	20	20	20	8192	20	40	20	40	20	40	40	40
256	2048	20	20	20	20	2048	20	256	256	8192	20	40	20	40	20	40	40	40
20	20	20	20	20	20	20	20	20	20	8192	20	40	20	40	20	40	40	40
20	20	20	20	2048	20	20	20	4096	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
