flags	race	level	maxhp	maxsp	params1	params2	params3	params4	params5	skill1	skill2	skill3	skill4	skill5	skill6	skill7	skill8	exp	money	itemId1	itemProb1	itemId2	itemProb2	itemId3	itemProb3	itemId4	itemProb4	eventitemEvent	eventitemId	eventitemProb	attackAttr	attackHit	attackPower
0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	4	97	25	4	4	4	3	4	89	0	0	0	0	0	0	0	25	0	24719	35	24645	10	0	0	0	0	0	0	0	1	70	20
0	2	13	237	30	5	10	9	8	14	20	23	89	0	0	0	0	0	75	0	24720	35	24645	10	0	0	0	0	0	0	0	1	80	20
0	2	22	251	40	15	13	14	14	17	126	89	93	0	0	0	0	0	148	0	24721	35	24637	10	0	0	0	0	0	0	0	1	90	30
0	2	36	364	50	27	21	22	24	21	131	11	14	0	0	0	0	0	381	0	24722	35	24637	10	0	0	0	0	0	0	0	1	95	40
0	2	9	162	25	6	9	7	5	7	40	43	85	0	0	0	0	0	35	0	24723	40	24649	5	0	0	0	0	0	0	0	0	70	20
0	2	18	253	40	10	13	12	10	16	11	13	85	91	0	0	0	0	120	0	24724	35	24649	5	24645	5	0	0	0	0	0	0	80	10
0	2	59	500	120	33	33	35	37	77	95	215	216	817	0	0	0	0	1268	0	24725	30	24640	5	24639	5	0	0	0	0	0	0	90	10
0	2	70	500	0	63	48	38	42	33	0	0	0	0	0	0	0	0	0	0	24726	0	0	0	0	0	0	0	0	0	0	0	95	10
0	2	42	472	150	20	32	27	25	22	78	22	206	0	0	0	0	0	856	0	24727	25	24646	10	24639	5	0	0	0	0	0	1	90	20
0	2	48	482	160	24	37	31	32	27	78	79	22	24	206	800	0	0	1038	0	24728	25	24640	10	0	0	0	0	0	0	0	1	90	20
0	2	63	570	200	30	54	34	36	42	79	22	25	206	801	0	0	0	1698	0	24729	25	24642	5	24644	5	0	0	0	0	0	1	90	20
0	2	73	909	320	34	69	45	39	39	80	22	25	186	206	801	818	0	2388	0	24730	25	24644	10	24648	10	0	0	0	0	0	1	90	20
0	2	2	83	20	2	3	3	2	2	20	0	0	0	0	0	0	0	15	0	24707	40	24649	5	0	0	0	0	0	0	0	1	60	5
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
