EnemyID	SkillID
1	40
1	89
2	20
2	23
2	89
3	89
3	93
3	126
4	10
4	11
4	14
4	131
5	40
5	43
5	85
6	11
6	13
6	85
6	91
7	95
7	215
7	216
7	817
9	22
9	78
9	206
10	22
10	24
10	78
10	79
10	206
10	800
11	22
11	25
11	79
11	206
11	801
12	22
12	25
12	80
12	186
12	206
12	801
12	818
13	20
18	10
18	191
19	20
19	23
19	192
20	57
20	60
20	156
20	195
20	196
20	197
21	41
21	44
21	190
21	191
21	192
22	56
22	59
22	180
22	181
23	21
23	23
23	180
23	181
24	41
24	43
24	180
24	181
24	182
25	58
25	61
25	185
25	186
25	187
26	12
26	14
26	187
26	220
27	22
27	24
27	93
27	100
27	221
28	42
28	45
28	115
28	223
28	804
28	819
29	12
29	15
29	62
29	76
29	185
29	220
29	799
30	10
35	30
35	33
35	110
36	71
36	73
36	126
37	31
37	111
37	141
37	182
38	32
38	35
38	114
38	196
38	792
39	31
39	33
39	85
39	91
40	32
40	34
40	192
41	32
41	34
41	156
41	802
43	65
43	72
43	74
43	93
43	100
43	101
43	816
44	12
44	14
44	87
44	91
44	198
45	58
45	61
45	157
47	30
52	125
53	127
53	180
54	57
54	60
54	127
55	80
55	206
56	21
56	141
56	143
56	818
57	41
57	44
57	142
57	180
57	181
57	182
57	819
58	42
58	45
58	142
58	144
58	187
58	205
60	42
60	44
60	185
60	186
61	32
61	35
61	185
61	186
61	802
62	42
62	45
62	185
62	186
62	187
62	805
62	819
64	56
64	59
69	20
70	64
70	71
70	128
70	141
71	41
71	44
71	141
71	143
72	58
72	61
72	144
73	85
73	155
74	57
74	59
74	160
74	216
75	22
75	25
75	161
77	22
77	24
77	181
77	191
78	12
78	15
78	185
78	195
78	798
79	32
79	35
79	187
79	197
79	803
81	41
81	43
81	191
86	30
86	155
87	87
87	140
87	155
88	71
88	91
88	101
88	140
88	156
89	87
89	148
89	180
89	181
89	812
89	813
90	11
90	13
90	87
90	101
90	196
91	12
91	87
91	88
91	91
91	102
91	422
92	12
92	15
92	87
92	90
94	103
94	139
94	155
95	21
95	23
95	103
95	143
95	156
96	15
96	87
96	88
96	145
96	796
96	813
98	103
98	180
98	181
98	182
98	400
103	110
103	126
103	210
104	111
104	113
104	126
104	180
105	12
105	130
105	190
106	22
106	25
106	130
106	818
107	21
107	24
107	127
107	128
107	818
108	142
108	144
108	185
109	114
109	116
109	185
109	205
109	792
111	141
111	142
111	148
111	180
112	12
112	15
112	142
112	144
112	206
112	798
113	146
113	148
113	196
113	205
113	796
115	126
115	128
120	57
