attr1	attr2	attr3	attr4	attr5	attr6	attr7	attr8	attr9	attr10	attr11	attr12	attr13	attr14	attr15	attr16	attr17	attr18	attr19
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	2048	4096	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	2048	256	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	4096	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	256	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	2048	4096	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	2048	256	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	2048	4096	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	2048	256	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	4096	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	256	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	4096	2048	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	256	2048	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	256	20	20	20	20	2048	256	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
