RankID	EffectID	Prob
0	5	5
0	6	5
0	7	5
0	17	85
1	5	10
1	6	10
1	7	10
1	17	50
1	19	20
2	4	15
2	18	20
2	19	65
3	4	10
3	18	30
3	19	55
3	20	5
4	8	40
4	18	20
4	19	30
4	20	10
5	8	20
5	9	35
5	10	20
5	19	20
5	20	5
6	19	35
6	20	15
6	8	10
6	9	20
6	10	20
7	17	25
7	18	10
7	19	20
7	9	10
7	10	5
7	11	30
8	19	15
8	20	5
8	11	35
8	12	40
8	10	5
9	19	30
9	20	5
9	11	20
9	12	20
9	13	14
9	10	10
9	15	1
10	19	20
10	20	10
10	10	10
10	15	2
10	13	20
10	14	38
11	14	25
11	10	18
11	15	2
11	19	20
11	20	15
11	16	20
12	16	15
12	15	15
12	19	25
12	20	45
