Property	Value
DamageMax	99999
CriticalMax	100
CriticalPlayerDamageRate	1.5
CriticalEnemyDamageRate	1.5
KnockdownRateAttackingDownCharacter	50.0
AccuracyMin	50
AccuracyMax	99
BadStatusAccuracyMax	99
EscapeSuccessRateMin	50
EscapeSuccessRateMax	99
DyingHPRatio	25
PhysicsChargePowerRate	2.3
MagicChargePowerRate	2.3
BadStatusRecoveryPlayerRate	70
BadStatusRecoveryEnemyRate	30
GuardProtectRatio	0.4
DamageRatioToDown	1.25
SupportTurnMax	3.0
SkillDamageBonusToDown	1.5
BadHitRatioBonus	1.5
AutoMikiri	0.85
AutoShinMikiri	0.6
AutoBooster	1.25
AutoHighBooster	1.5
AutoBoosterMax	5.0
AutoBadStatusBooster	1.5
AutoCounterOccur	10
AutoHeavyCounterOccur	15
AutoHyperCounterOccur	20
AutoGrowthLowExpRatio	0.25
AutoGrowthMiddleExpRatio	0.5
AutoGrowthhightExpRatio	1.0
AutoAddCritical	5
AutoAddCriticalHigh	15
AutoTGRWeakBooster	1.1
AutoTGRWeakHighBooster	1.2
AutoTGRCriticalBooster	1.2
AutoTGRCriticalHighBooster	1.4
AutoTGRAddCritical	5
AutoTGRAddCriticalHigh	10
AutoTGRPowerBoostAmplify	1.1
AutoTGRPowerBoostHighAmplify	1.3
AutoTGRAddCriticalToBadStatus	7.0
AutoTGRAddCriticalHighToBadStatus	15.0
AutoTGRWeakProtecter	0.9
AutoTGRWeakHighProtecter	0.85
AutoTGRPhisicsBooster	1.1
AutoTGRPhisicsHighBooster	1.2
TGRExpBonusRatio	1.1
TGRGaugeBonusHighRatio	1.5
MinTurnCHARM	1
DefaultTurnOVERHEAT	2
AddCriticalByUPSET	60
AddCriticalByPANIC	20
AddCriticalByFEAR	20
AddCriticalBySHOCK	35
AddCriticalBySWOON	15
PoisonMaxDamage	9999
PoisonDamageRatio	0.2
AccuracyRatioByANGER	0.5
AttackSwoonDownRatio	50
PhysicalSkillSwoonDownRatio	20
MagicalSkillSwoonDownRatio	20
TheurgiaSkillSwoonDownRatio	80
MajorArcanaRationByStrong	15.0
MajorArcanaRationByRare	20.0
MustAppearMajorEncount	8
ShufflePersonaBonusExpRation	1.0
MajorArcanaBasicRation	3.0
MinorArcanaBasicRation	57
PersonaArcanaBasicRation	40
