flag	en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	Io	イオ	이오	伊娥	伊俄	Io	Io	Io	Io	Io	Io	Ио	İo
0	Isis	イシス	이시스	伊西斯	伊西絲	Isis	Isis	Isis	Iside	Izyda	Ísis	Исида	İsis
0	Hermes	ヘルメス	헤르메스	赫耳墨斯	赫密斯	Hermes	Hermes	Hermès	Ermes	Hermes	Hermes	Гермес	Hermes
0	Trismegistus	トリスメギストス	트리스메기스토스	特里斯墨吉斯忒斯	崔斯墨圖	Trismegistus	Trismegistus	Trismegistus	Trismegisto	Trismegistus	Trismegisto	Трисмегист	Trimegistus
0	Polydeuces	ポリデュークス	폴리데우케스	波吕克斯	波呂狄烏刻斯	Polydeuces	Polideuco	Pollux	Polluce	Polideukes	Polideuces	Полидевк	Polydeuces
0	Caesar	カエサル	카이사르	凯萨	凱薩	Caesar	César	César	Cesare	Cezar	César	Цезарь	Sezar
0	Penthesilea	ペンテシレア	펜테실레이아	彭忒西勒亚	彭忒西勒亞	Penthesilea	Pentesilea	Penthésilée	Pentesilea	Pentezylea	Pentesileia	Пентесилея	Penthesilea
0	Artemisia	アルテミシア	아르테미시아	阿尔特米西亚	阿爾特米西亞	Artemisia	Artemisia	Artémise	Artemisia	Artemizja	Artemísia	Артемисия	Artemis
0	Lucia	ルキア	루키아	路济亚	露琪婭	Lucia	Lucía	Lucia	Lucia	Łucja	Lúcia	Луция	Lucia
0	Juno	ユノ	유노	朱诺	茱諾	Juno	Juno	Junon	Giunone	Junona	Juno	Юнона	Juno
0	Palladion	パラディオン	팔라디온	雅典娜神像	智慧女神像	Palladion	Paladio	Palladium	Pallade	Palladion	Paládio	Палладион	Palladion
0	Athena	アテナ	아테나	雅典娜	雅典娜	Athene	Atenea	Athéna	Atena	Atena	Atena	Афина	Athena
0	Nemesis	ネメシス	네메시스	涅墨西斯	涅墨西斯	Nemesis	Némesis	Némésis	Nemesi	Nemezis	Nêmesis	Немезида	Nemesis
0	Kala-Nemi	カーラ・ネミ	칼라네미	伽罗尼弥	伽羅尼彌	Kala-Nemi	Kala-Nemi	Kala-Nemi	Kala-Nemi	Kala-Nemi	Kala-Nemi	Каланеми	Kala-Nemi
0	Castor	カストール	카스토르	卡斯托尔	卡斯托耳	Castor	Castor	Castor	Castore	Kastor	Castor	Кастор	Castor
0	Cerberus	ケルベロス	케르베로스	刻耳柏洛斯	克魯貝洛斯	Zerberus	Cerbero	Cerbère	Cerbero	Cerber	Cérbero	Цербер	Kerberos
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
