en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Makoto	理	마코토	理	理	Makoto	Makoto	Makoto	Makoto	Makoto	Makoto	Макото	Makoto
Yukari	ゆかり	유카리	由加莉	由加莉	Yukari	Yukari	Yukari	Yukari	Yukari	Yukari	Юкари	Yukari
Junpei	順平	준페이	顺平	順平	Junpei	Junpei	Junpei	Junpei	Junpei	Junpei	Дзюмпэй	Junpei
Akihiko	明彦	아키히코	明彦	明彥	Akihiko	Akihiko	Akihiko	Akihiko	Akihiko	Akihiko	Акихико	Akihiko
Mitsuru	美鶴	미츠루	美鹤	美鶴	Mitsuru	Mitsuru	Mitsuru	Mitsuru	Mitsuru	Mitsuru	Мицуру	Mitsuru
Fuuka	風花	후카	风花	風花	Fuuka	Fuuka	Fuuka	Fuuka	Fuuka	Fuuka	Фуука	Fuuka
Aigis	アイギス	아이기스	埃癸斯	埃癸斯	Aigis	Aigis	Aigis	Aigis	Aigis	Aigis	Айгис	Aigis
Ken	乾	켄	乾	乾	Ken	Ken	Ken	Ken	Ken	Ken	Кэн	Ken
Koromaru	コロマル	코로마루	虎狼丸	虎狼丸	Koromaru	Koromaru	Koromaru	Koromaru	Koromaru	Koromaru	Коромару	Koromaru
Shinjiro	真次郎	신지로	真次郎	真次郎	Shinjiro	Shinjiro	Shinjiro	Shinjiro	Shinjiro	Shinjiro	Синдзиро	Shinjiro
Kenji	健二	켄지	健二	健二	Kenji	Kenji	Kenji	Kenji	Kenji	Kenji	Кэндзи	Kenji
Hidetoshi	秀利	히데토시	秀利	秀利	Hidetoshi	Hidetoshi	Hidetoshi	Hidetoshi	Hidetoshi	Hidetoshi	Хидэтоси	Hidetoshi
Bunkichi	文吉	분키치	文吉	文吉	Bunkichi	Bunkichi	Bunkichi	Bunkichi	Bunkichi	Bunkichi	Бункити	Bunkichi
Mitsuko	光子	미츠코	光子	光子	Mitsuko	Mitsuko	Mitsuko	Mitsuko	Mitsuko	Mitsuko	Мицуко	Mitsuko
Kazushi	一志	카즈시	一志	一志	Kazushi	Kazushi	Kazushi	Kazushi	Kazushi	Kazushi	Кадзуси	Kazushi
Yuko	結子	유우코	结子	結子	Yuko	Yuko	Yuko	Yuko	Yuko	Yuko	Юко	Yuko
Maya	Ｙ子	Y양	Ｙ子	Ｙ子	Maya	Maya	Maya	Maya	Maya	Maya	Майя	Maya
Keisuke	慶介	케이스케	庆介	慶介	Keisuke	Keisuke	Keisuke	Keisuke	Keisuke	Keisuke	Кэйсукэ	Keisuke
Chihiro	千尋	치히로	千寻	千尋	Chihiro	Chihiro	Chihiro	Chihiro	Chihiro	Chihiro	Тихиро	Chihiro
Maiko	舞子	마이코	舞子	舞子	Maiko	Maiko	Maiko	Maiko	Maiko	Maiko	Майко	Maiko
Pharos	ファルロス	파로스	法洛斯	法羅斯	Pharos	Pharos	Pharos	Pharos	Pharos	Pharos	Фарос	Pharos
Bebe	ベベ	베베	贝培	貝貝	Bebe	Bebe	Dandy	Bebe	Bebe	Bebe	Бебе	Bebe
Mutatsu	無達	무타츠	无达	無達	Mutatsu	Mutatsu	Mutatsu	Mutatsu	Mutatsu	Mutatsu	Мутацу	Mutatsu
Mamoru	護	마모루	护	護	Mamoru	Mamoru	Mamoru	Mamoru	Mamoru	Mamoru	Мамору	Mamoru
Nozomi	望美	노조미	望美	望美	Nozomi	Nozomi	Nozomi	Nozomi	Nozomi	Nozomi	Нодзоми	Nozomi
Akinari	秋成	아키나리	秋成	秋成	Akinari	Akinari	Akinari	Akinari	Akinari	Akinari	Акинари	Akinari
Takaya	タカヤ	타카야	隆哉	隆也	Takaya	Takaya	Takaya	Takaya	Takaya	Takaya	Такайя	Takaya
Jin	ジン	진	壬	陣	Jin	Jin	Jin	Jin	Jin	Jin	Дзин	Jin
Chidori	チドリ	치도리	千鸟	千鳥	Chidori	Chidori	Chidori	Chidori	Chidori	Chidori	Тидори	Chidori
Ryoji	綾時	료지	绫时	綾時	Ryoji	Ryoji	Ryoji	Ryoji	Ryoji	Ryoji	Рёдзи	Ryoji
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
