en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Unused	Unused	Não usado	Unused	Kullanılmıyor
Yuki	結城	유키	结城	結城	Yuki	Yuki	Yuki	Yuki	Yuki	Yuki	Юки	Yuki
Takeba	岳羽	타케바	岳羽	岳羽	Takeba	Takeba	Takeba	Takeba	Takeba	Takeba	Такэба	Takeba
Iori	伊織	이오리	伊织	伊織	Iori	Iori	Iori	Iori	Iori	Iori	Иори	Iori
Sanada	真田	사나다	真田	真田	Sanada	Sanada	Sanada	Sanada	Sanada	Sanada	Санада	Sanada
Kirijo	桐条	키리조	桐条	桐条	Kirijo	Kirijo	Kirijo	Kirijo	Kirijo	Kirijo	Киридзё	Kirijo
Yamagishi	山岸	야마기시	山岸	山岸	Yamagishi	Yamagishi	Yamagishi	Yamagishi	Yamagishi	Yamagishi	Ямагиси	Yamagishi
Aigis	アイギス	아이기스	埃癸斯	埃癸斯	Aigis	Aigis	Aigis	Aigis	Aigis	Aigis	Айгис	Aigis
Amada	天田	아마다	天田	天田	Amada	Amada	Amada	Amada	Amada	Amada	Амада	Amada
Koromaru	コロマル	코로마루	虎狼丸	虎狼丸	Koromaru	Koromaru	Koromaru	Koromaru	Koromaru	Koromaru	Коромару	Koromaru
Aragaki	荒垣	아라가키	荒垣	荒垣	Aragaki	Aragaki	Aragaki	Aragaki	Aragaki	Aragaki	Арагаки	Aragaki
Tomochika	友近	토모치카	友近	友近	Tomochika	Tomochika	Tomochika	Tomochika	Tomochika	Tomochika	Томотика	Tomochika
Odagiri	小田桐	오다기리	小田桐	小田桐	Odagiri	Odagiri	Odagiri	Odagiri	Odagiri	Odagiri	Одагири	Odagiri
Kitamura	北村	키타무라	北村	北村	Kitamura	Kitamura	Kitamura	Kitamura	Kitamura	Kitamura	Китамура	Kitamura
Kitamura	北村	키타무라	北村	北村	Kitamura	Kitamura	Kitamura	Kitamura	Kitamura	Kitamura	Китамура	Kitamura
Miyamoto	宮本	미야모토	宫本	宮本	Miyamoto	Miyamoto	Miyamoto	Miyamoto	Miyamoto	Miyamoto	Миямото	Miyamoto
Nishiwaki	西脇	니시와키	西胁	西脇	Nishiwaki	Nishiwaki	Nishiwaki	Nishiwaki	Nishiwaki	Nishiwaki	Нисиваки	Nishiwaki
Hiraga	平賀	히라가	平贺	平賀	Hiraga	Hiraga	Hiraga	Hiraga	Hiraga	Hiraga	Хирага	Hiraga
Fushimi	伏見	후시미	伏见	伏見	Fushimi	Fushimi	Fushimi	Fushimi	Fushimi	Fushimi	Фусими	Fushimi
Tanaka	たなか	타나카	田中	田中	Tanaka	Tanaka	Tanaka	Tanaka	Tanaka	Tanaka	Танака	Tanaka
Hayase	早瀬	하야세	早濑	早瀨	Hayase	Hayase	Hayase	Hayase	Hayase	Hayase	Хаясэ	Hayase
Suemitsu	末光	스에미츠	末光	末光	Suemitsu	Suemitsu	Suemitsu	Suemitsu	Suemitsu	Suemitsu	Суэмицу	Suemitsu
Kamiki	神木	카미키	神木	神木	Kamiki	Kamiki	Kamiki	Kamiki	Kamiki	Kamiki	Камики	Kamiki
Elizabeth	エリザベス	엘리자베스	伊莉莎白	伊麗莎白	Elizabeth	Elizabeth	Elizabeth	Elizabeth	Elizabeth	Elizabeth	Элизабет	Elizabeth
Mochizuki	望月	모치즈키	望月	望月	Mochizuki	Mochizuki	Mochizuki	Mochizuki	Mochizuki	Mochizuki	Мотидзуки	Mochizuki
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Unused	Nieużywane	Não usado	Unused	Kullanılmıyor
Unused	未使用	미사용	未使用	未使用	Unused	Sin usar	Non utilisé	Unused	Nieużywane	Não usado	Unused	Kullanılmıyor
