en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Makoto Yuki	結城 理	유키 마코토	结城 理	結城 理	Makoto Yuki	Makoto Yuki	Makoto Yuki	Makoto Yuki	Makoto Yuki	Makoto Yuki	Макото Юки	Makoto Yuki
Yukari Takeba	岳羽 ゆかり	타케바 유카리	岳羽 由加莉	岳羽 由加莉	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Юкари Такэба	Yukari Takeba
Junpei Iori	伊織 順平	이오리 준페이	伊织 顺平	伊織 順平	Junpei Iori	Junpei Iori	Junpei Iori	Junpei Iori	Junpei Iori	Junpei Iori	Дзюмпэй Иори	Junpei Iori
Akihiko Sanada	真田 明彦	사나다 아키히코	真田 明彦	真田 明彥	Akihiko Sanada	Akihiko Sanada	Akihiko Sanada	Akihiko Sanada	Akihiko Sanada	Akihiko Sanada	Акихико Санада	Akihiko Sanada
Mitsuru Kirijo	桐条 美鶴	키리조 미츠루	桐条 美鹤	桐条 美鶴	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Мицуру Киридзё	Mitsuru Kirijo
Fuuka Yamagishi	山岸 風花	야마기시 후카	山岸 风花	山岸 風花	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Фуука Ямагиси	Fuuka Yamagishi
Aigis	アイギス	아이기스	埃癸斯	埃癸斯	Aigis	Aigis	Aigis	Aigis	Aigis	Aigis	Айгис	Aigis
Ken Amada	天田 乾	아마다 켄	天田 乾	天田 乾	Ken Amada	Ken Amada	Ken Amada	Ken Amada	Ken Amada	Ken Amada	Кэн Амада	Ken Amada
Koromaru	コロマル	코로마루	虎狼丸	虎狼丸	Koromaru	Koromaru	Koromaru	Koromaru	Koromaru	Koromaru	Коромару	Koromaru
Shinjiro Aragaki	荒垣 真次郎	아라가키 신지로	荒垣 真次郎	荒垣 真次郎	Shinjiro Aragaki	Shinjiro Aragaki	Shinjiro Aragaki	Shinjiro Aragaki	Shinjiro Aragaki	Shinjiro Aragaki	Синдзиро Арагаки	Shinjiro Aragaki
Kenji Tomochika	友近 健二	토모치카 켄지	友近 健二	友近 健二	Kenji Tomochika	Kenji Tomochika	Kenji Tomochika	Kenji Tomochika	Kenji Tomochika	Kenji Tomochika	Кэндзи Томотика	Kenji Tomochika
Hidetoshi Odagiri	小田桐 秀利	오다기리 히데토시	小田桐 秀利	小田桐 秀利	Hidetoshi Odagiri	Hidetoshi Odagiri	Hidetoshi Odagiri	Hidetoshi Odagiri	Hidetoshi Odagiri	Hidetoshi Odagiri	Хидэтоси Одагири	Hidetoshi Odagiri
Bunkichi Kitamura	北村 文吉	키타무라 분키치	北村 文吉	北村 文吉	Bunkichi Kitamura	Bunkichi Kitamura	Bunkichi Kitamura	Bunkichi Kitamura	Bunkichi Kitamura	Bunkichi Kitamura	Бункити Китамура	Bunkichi Kitamura
Mitsuko Kitamura	北村 光子	키타무라 미츠코	北村 光子	北村 光子	Mitsuko Kitamura	Mitsuko Kitamura	Mitsuko Kitamura	Mitsuko Kitamura	Mitsuko Kitamura	Mitsuko Kitamura	Мицуко Китамура	Mitsuko Kitamura
Kazushi Miyamoto	宮本 一志	미야모토 카즈시	宫本 一志	宮本 一志	Kazushi Miyamoto	Kazushi Miyamoto	Kazushi Miyamoto	Kazushi Miyamoto	Kazushi Miyamoto	Kazushi Miyamoto	Кадзуси Миямото	Kazushi Miyamoto
Yuko Nishiwaki	西脇 結子	니시와키 유우코	西胁 结子	西脇 結子	Yuko Nishiwaki	Yuko Nishiwaki	Yuko Nishiwaki	Yuko Nishiwaki	Yuko Nishiwaki	Yuko Nishiwaki	Юко Нисиваки	Yuko Nishiwaki
Maya	Ｙ子	Y양	Ｙ子	Ｙ子	Maya	Maya	Maya	Maya	Maya	Maya	Майя	Maya
Keisuke Hiraga	平賀 慶介	히라가 케이스케	平贺 庆介	平賀 慶介	Keisuke Hiraga	Keisuke Hiraga	Keisuke Hiraga	Keisuke Hiraga	Keisuke Hiraga	Keisuke Hiraga	Кэйсукэ Хирага	Keisuke Hiraga
Chihiro Fushimi	伏見 千尋	후시미 치히로	伏见 千寻	伏見 千尋	Chihiro Fushimi	Chihiro Fushimi	Chihiro Fushimi	Chihiro Fushimi	Chihiro Fushimi	Chihiro Fushimi	Тихиро Фусими	Chihiro Fushimi
Maiko	舞子	마이코	舞子	舞子	Maiko	Maiko	Maiko	Maiko	Maiko	Maiko	Майко	Maiko
Pharos	ファルロス	파로스	法洛斯	法羅斯	Pharos	Pharos	Pharos	Pharos	Pharos	Pharos	Фарос	Pharos
Bebe	ベベ	베베	贝培	貝貝	Bebe	Bebe	Dandy	Bebe	Bebe	Bebe	Бебе	Bebe
President Tanaka	たなか社長	타나카 사장	田中社长	田中社長	Präsident Tanaka	Presidente Tanaka	Président Tanaka	Presidente Tanaka	Prezes Tanaka	Presidente Tanaka	Президент Танака	Başkan Tanaka
Mutatsu	無達	무타츠	无达	無達	Mutatsu	Mutatsu	Mutatsu	Mutatsu	Mutatsu	Mutatsu	Мутацу	Mutatsu
Mamoru Hayase	早瀬 護	하야세 마모루	早濑 护	早瀨 護	Mamoru Hayase	Mamoru Hayase	Mamoru Hayase	Mamoru Hayase	Mamoru Hayase	Mamoru Hayase	Мамору Хаясэ	Mamoru Hayase
Nozomi Suemitsu	末光 望美	스에미츠 노조미	末光 望美	末光 望美	Nozomi Suemitsu	Nozomi Suemitsu	Nozomi Suemitsu	Nozomi Suemitsu	Nozomi Suemitsu	Nozomi Suemitsu	Нодзоми Суэмицу	Nozomi Suemitsu
Akinari Kamiki	神木 秋成	카미키 아키나리	神木 秋成	神木 秋成	Akinari Kamiki	Akinari Kamiki	Akinari Kamiki	Akinari Kamiki	Akinari Kamiki	Akinari Kamiki	Акинари Камики	Akinari Kamiki
Elizabeth	エリザベス	엘리자베스	伊莉莎白	伊麗莎白	Elizabeth	Elizabeth	Elizabeth	Elizabeth	Elizabeth	Elizabeth	Элизабет	Elizabeth
Takaya	タカヤ	타카야	隆哉	隆也	Takaya	Takaya	Takaya	Takaya	Takaya	Takaya	Такайя	Takaya
Jin	ジン	진	壬	陣	Jin	Jin	Jin	Jin	Jin	Jin	Дзин	Jin
Chidori	チドリ	치도리	千鸟	千鳥	Chidori	Chidori	Chidori	Chidori	Chidori	Chidori	Тидори	Chidori
