en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__	RC_BLANK__
Fool	愚者	광대	愚者	愚者	Narr	del Loco	Le Mat	Matto	Głupiec	Louco	Шут	Joker
SEES	特別課外活動部	특별과외활동부	特别课外活动部	特別課外活動部	SEES	SEES	SEES	SEES	SPOE	S.E.E.S.	SEES	UMDİB
RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___	RC_FOOL___
Magician	魔術師	마술사	魔术师	魔術師	Magier	del Mago	Le Bateleur	Mago	Kuglarz	Mago	Маг	Büyücü
Classmate	クラスメイト	반 친구	同班同学	同班同學	Klassenkamerad	Compi de clase	Camarade	Liceale	Kolega z klasy	Colega de Classe	Одноклассник	Sınıf arkadaşı
RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA	RC_MAGICIA
High Priestess	女教皇	여법황	女教皇	女教皇	Hohepriesterin	de la Sacerdotisa	La Papesse	Papessa	Kapłanka	Sacerdotisa	Верховная жрица	Azize
Fuuka Yamagishi	山岸風花	야마기시 후카	山岸风花	山岸 風花	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Fuuka Yamagishi	Фуука Ямагиси	Fuuka Yamagishi
RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE	RC_PRIESTE
Empress	女帝	여황제	女皇	女皇	Herrscherin	Emperatriz	L'Impératrice	Imperatrice	Cesarzowa	Imperatriz	Императрица	İmparatoriçe
Mitsuru Kirijo	桐条美鶴	키리조 미츠루	桐条美鹤	桐条 美鶴	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Mitsuru Kirijo	Мицуру Киридзё	Mitsuru Kirijo
RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS	RC_EMPRESS
Emperor	皇帝	황제	皇帝	皇帝	Herrscher	Emperador	L'Empereur	Imperatore	Cesarz	Imperador	Император	İmparator
Student Council	生徒会	학생회	学生会	學生會	Schülerrat	Consejo estudiantil	Conseil des élèves	Consiglio studentesco	Samorząd uczniowski	Conselho Estudantil	Совет учеников	Öğrenci Meclisi
RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR	RC_EMPEROR
Hierophant	法王	법황	教皇	教皇	Hierophant	del Hierofante	Le Pape	Ierofante	Kapłan	Hierofante	Верховный жрец	Aziz
Old Couple	古本屋の老夫婦	헌책방 노부부	旧书店老夫妻	舊書店的老夫婦	Altes Paar	Pareja de ancianos	Couple âgé	Coppia di anziani	Starsza para	Casal de Idosos	Пожилая пара	Yaşlı Çift
RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH	RC_HIEROPH
Lovers	恋愛	연인	恋爱	戀愛	Liebende	de los Amantes	L'Amoureux	Amanti	Kochankowie	Enamorados	Влюбленные	Aşıklar
Yukari Takeba	岳羽ゆかり	타케바 유카리	岳羽由加莉	岳羽 由加莉	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Yukari Takeba	Юкари Такэба	Yukari Takeba
RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_	RC_LOVERS_
Chariot	戦車	전차	战车	戰車	Wagen	del Carro	Le Chariot	Carro	Rydwan	Carro	Колесница	Araba
Track Team	運動部	운동부	体育社团	體育社團	Leichtathletikteam	Equipo de atletismo	Équipe d'endurance	Squadra di atletica	Drużyna lekkoatletyczna	Equipe de Atletismo	Команда легкой атлетики	Atletizm Takımı
RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT	RC_CHARIOT
Justice	正義	정의	正义	正義	Gerechtigkeit	de la Justicia	La Justice	Giustizia	Sprawiedliwość	Justiça	Правосудие	Adalet
Treasurer	生徒会会計	학생회 회계	学生会会计	學生會財務	Kassenwartin	Tesorera	Trésorière	Tesoriera	Skarbniczka	Tesoureira	Казначей	Mali İşler Sorumlusu
RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE	RC_JUSTICE
Hermit	隠者	은둔자	隐者	隱士	Eremit	del Ermitaño	L'Hermite	Eremita	Eremita	Eremita	Отшельник	Ermiş
Online Game	インターネット	인터넷	互联网	網路	Online-Gaming	Juego en línea	Jeu en ligne	Gioco online	Gra online	Jogo Online	Онлайн-игра	Çevrimiçi Oyun
