Rank0	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Rank8	Rank9	Rank10
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	15	15	15	15	22	22	22
0	0	0	0	15	22	30	30	35	40	55
0	0	0	0	22	22	22	22	22	22	22
0	0	0	0	0	15	15	15	15	22	22
0	0	0	0	20	20	20	20	20	20	30
0	0	0	0	15	22	22	35	35	40	55
0	0	0	0	15	15	15	15	22	22	22
0	0	0	0	22	22	22	30	30	30	40
0	0	0	0	20	20	20	20	20	20	20
0	0	0	0	15	15	15	15	15	22	22
0	0	0	0	15	15	22	22	35	40	40
0	0	0	0	20	20	20	30	15	30	30
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	15	15	15	15	10	22	22
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	25	25	25	30	30	40	40
0	0	0	0	20	20	20	20	30	30	30
0	0	0	0	15	15	22	22	22	22	15
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	30
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
